BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
安泰,8380,安泰-楠梓,8382,Buy,2408南亞科,"4394","79814","75420"
安泰,8380,安泰-楠梓,8382,Buy,2454聯發科,"3767","3767","0"
安泰,8380,安泰-楠梓,8382,Buy,2317鴻海,"3288","3647","359"
安泰,8380,安泰-楠梓,8382,Buy,2303聯電,"1931","6092","4161"
安泰,8380,安泰-楠梓,8382,Buy,6770力積電,"1925","3014","1089"
安泰,8380,安泰-楠梓,8382,Buy,9914美利達,"1754","1754","0"
安泰,8380,安泰-楠梓,8382,Buy,00981A主動統一台股增長,"1518","1528","10"
安泰,8380,安泰-楠梓,8382,Buy,2451創見,"1473","2071","598"
安泰,8380,安泰-楠梓,8382,Buy,3711日月光投控,"1158","1745","587"
安泰,8380,安泰-楠梓,8382,Buy,00406A主動中信台灣收益,"1113","1252","139"
安泰,8380,安泰-楠梓,8382,Buy,2441超豐,"1111","1226","115"
安泰,8380,安泰-楠梓,8382,Buy,6257矽格,"765","1152","387"
安泰,8380,安泰-楠梓,8382,Buy,8271宇瞻,"724","2556","1832"
安泰,8380,安泰-楠梓,8382,Buy,7769鴻勁,"610","610","0"
安泰,8380,安泰-楠梓,8382,Buy,2337旺宏,"595","595","0"
安泰,8380,安泰-楠梓,8382,Buy,5608四維航,"345","383","38"
安泰,8380,安泰-楠梓,8382,Buy,3211順達,"330","330","0"
安泰,8380,安泰-楠梓,8382,Buy,6693廣閎科,"325","325","0"
安泰,8380,安泰-楠梓,8382,Buy,2492華新科,"255","255","0"
安泰,8380,安泰-楠梓,8382,Buy,8109博大,"252","252","0"
安泰,8380,安泰-楠梓,8382,Buy,2409友達,"250","425","175"
安泰,8380,安泰-楠梓,8382,Buy,2603長榮,"250","250","0"
安泰,8380,安泰-楠梓,8382,Buy,4746台耀,"247","247","0"
安泰,8380,安泰-楠梓,8382,Buy,6488環球晶,"241","1319","1078"
安泰,8380,安泰-楠梓,8382,Buy,2449京元電子,"239","284","45"
安泰,8380,安泰-楠梓,8382,Buy,6182合晶,"221","221","0"
安泰,8380,安泰-楠梓,8382,Buy,3715定穎投控,"210","210","0"
安泰,8380,安泰-楠梓,8382,Buy,2363矽統,"204","204","0"
安泰,8380,安泰-楠梓,8382,Buy,2637慧洋-KY,"197","197","0"
安泰,8380,安泰-楠梓,8382,Buy,6271同欣電,"191","191","0"
安泰,8380,安泰-楠梓,8382,Buy,8033雷虎,"178","178","0"
安泰,8380,安泰-楠梓,8382,Buy,4927泰鼎-KY,"175","175","0"
安泰,8380,安泰-楠梓,8382,Buy,5483中美晶,"174","356","182"
安泰,8380,安泰-楠梓,8382,Buy,8027鈦昇,"163","163","0"
安泰,8380,安泰-楠梓,8382,Buy,2615萬海,"155","155","0"
安泰,8380,安泰-楠梓,8382,Buy,2359所羅門,"143","143","0"
安泰,8380,安泰-楠梓,8382,Buy,00929復華台灣科技優息,"140","140","0"
安泰,8380,安泰-楠梓,8382,Buy,6206飛捷,"140","140","0"
安泰,8380,安泰-楠梓,8382,Buy,6548長科*,"136","136","0"
安泰,8380,安泰-楠梓,8382,Buy,00897富邦基因免疫生技,"133","133","0"
安泰,8380,安泰-楠梓,8382,Buy,2634漢翔,"133","133","0"
安泰,8380,安泰-楠梓,8382,Buy,3049精金,"133","186","53"
安泰,8380,安泰-楠梓,8382,Buy,6568宏觀,"128","128","0"
安泰,8380,安泰-楠梓,8382,Buy,3019亞光,"127","390","263"
安泰,8380,安泰-楠梓,8382,Buy,2009第一銅,"125","125","0"
安泰,8380,安泰-楠梓,8382,Buy,2355敬鵬,"122","122","0"
安泰,8380,安泰-楠梓,8382,Buy,00892富邦台灣半導體,"115","115","0"
安泰,8380,安泰-楠梓,8382,Buy,2426鼎元,"107","546","439"
安泰,8380,安泰-楠梓,8382,Buy,1815富喬,"104","213","109"
安泰,8380,安泰-楠梓,8382,Buy,00918大華優利高填息30,"103","171","68"
