BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
玉山證券,8840,玉山-信義,0038003800340043,Buy,7689大鵬科CLMX,"21316","21316","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2634漢翔,"14177","15246","1069"
玉山證券,8840,玉山-信義,0038003800340043,Buy,6669緯穎,"12618","18939","6321"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2330台積電,"8253","15390","7137"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2308台達電,"7585","7698","113"
玉山證券,8840,玉山-信義,0038003800340043,Buy,6683雍智科技,"6703","6704","1"
玉山證券,8840,玉山-信義,0038003800340043,Buy,0050元大台灣50,"6557","8743","2186"
玉山證券,8840,玉山-信義,0038003800340043,Buy,00981A主動統一台股增長,"5511","6978","1467"
玉山證券,8840,玉山-信義,0038003800340043,Buy,6770力積電,"4696","7910","3214"
玉山證券,8840,玉山-信義,0038003800340043,Buy,1605華新,"4576","4883","307"
玉山證券,8840,玉山-信義,0038003800340043,Buy,3443創意,"4481","5632","1151"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2327國巨*,"4163","13446","9283"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2449京元電子,"3544","4015","471"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2408南亞科,"3423","16341","12918"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2344華邦電,"3102","15211","12109"
玉山證券,8840,玉山-信義,0038003800340043,Buy,8996高力,"2522","2561","39"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2610華航,"2270","2270","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2472立隆電,"2120","2120","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,6488環球晶,"2105","7016","4911"
玉山證券,8840,玉山-信義,0038003800340043,Buy,7751竑騰,"2084","3898","1814"
玉山證券,8840,玉山-信義,0038003800340043,Buy,6182合晶,"2013","4536","2523"
玉山證券,8840,玉山-信義,0038003800340043,Buy,8046南電,"1998","7194","5196"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2324仁寶,"1917","5649","3732"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2303聯電,"1853","6022","4169"
玉山證券,8840,玉山-信義,0038003800340043,Buy,3374精材,"1789","2711","922"
玉山證券,8840,玉山-信義,0038003800340043,Buy,3260威剛,"1780","5520","3740"
玉山證券,8840,玉山-信義,0038003800340043,Buy,009816凱基台灣TOP50,"1766","3641","1875"
玉山證券,8840,玉山-信義,0038003800340043,Buy,8110華東,"1762","1762","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,00403A主動統一升級50,"1725","2309","584"
玉山證券,8840,玉山-信義,0038003800340043,Buy,1608華榮,"1679","1679","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,3231緯創,"1598","2868","1270"
玉山證券,8840,玉山-信義,0038003800340043,Buy,5289宜鼎,"1592","1745","153"
玉山證券,8840,玉山-信義,0038003800340043,Buy,0056元大高股息,"1571","1675","104"
玉山證券,8840,玉山-信義,0038003800340043,Buy,5347世界,"1544","1710","166"
玉山證券,8840,玉山-信義,0038003800340043,Buy,3211順達,"1404","1735","331"
玉山證券,8840,玉山-信義,0038003800340043,Buy,8358金居,"1281","3322","2041"
玉山證券,8840,玉山-信義,0038003800340043,Buy,3491昇達科,"1266","2539","1273"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2454聯發科,"1227","5568","4341"
玉山證券,8840,玉山-信義,0038003800340043,Buy,5904寶雅*,"1207","1207","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,1904正隆,"1126","1126","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,00400A主動國泰動能高息,"1086","1086","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2301光寶科,"1084","5034","3950"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2451創見,"1076","1076","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2368金像電,"1073","4844","3771"
玉山證券,8840,玉山-信義,0038003800340043,Buy,3036文曄,"1055","1055","0"
玉山證券,8840,玉山-信義,0038003800340043,Buy,3711日月光投控,"1029","15923","14894"
玉山證券,8840,玉山-信義,0038003800340043,Buy,2409友達,"1014","2050","1036"
玉山證券,8840,玉山-信義,0038003800340043,Buy,3293鈊象,"1008","1051","43"
玉山證券,8840,玉山-信義,0038003800340043,Buy,6531愛普*,"991","992","1"
玉山證券,8840,玉山-信義,0038003800340043,Buy,00637L元大滬深300正2,"985","985","0"
玉山證券,8840,玉山-信義,0038003800340043,Sell,3008大立光,"-15046","6911","21957"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2493揚博,"-10673","5","10678"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2317鴻海,"-9904","5617","15521"
玉山證券,8840,玉山-信義,0038003800340043,Sell,6805富世達,"-7145","1715","8860"
玉山證券,8840,玉山-信義,0038003800340043,Sell,8039台虹,"-6928","6974","13902"
玉山證券,8840,玉山-信義,0038003800340043,Sell,3324雙鴻,"-5648","3168","8816"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2383台光電,"-5394","313","5707"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2881富邦金,"-4474","828","5302"
玉山證券,8840,玉山-信義,0038003800340043,Sell,1303南亞,"-4174","6428","10602"
玉山證券,8840,玉山-信義,0038003800340043,Sell,0052富邦科技,"-4173","130","4303"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2455全新,"-3330","194","3524"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2464盟立,"-3292","1691","4983"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2884玉山金,"-2809","23","2832"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2606裕民,"-2614","157","2771"
玉山證券,8840,玉山-信義,0038003800340043,Sell,3017奇鋐,"-2553","3562","6115"
玉山證券,8840,玉山-信義,0038003800340043,Sell,3363上詮,"-2348","1202","3550"
玉山證券,8840,玉山-信義,0038003800340043,Sell,6213聯茂,"-2311","2094","4405"
玉山證券,8840,玉山-信義,0038003800340043,Sell,4979華星光,"-2145","1255","3400"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2426鼎元,"-2140","6887","9027"
玉山證券,8840,玉山-信義,0038003800340043,Sell,6672騰輝電子-KY,"-2128","0","2128"
玉山證券,8840,玉山-信義,0038003800340043,Sell,6446藥華藥,"-2060","7482","9542"
玉山證券,8840,玉山-信義,0038003800340043,Sell,5475德宏,"-1805","0","1805"
玉山證券,8840,玉山-信義,0038003800340043,Sell,2360致茂,"-1663","339","2002"
