BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3231緯創,"37310","39467","2157"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,6770力積電,"15108","17848","2740"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,5475德宏,"12261","12261","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3498陽程,"11970","11970","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3532台勝科,"7701","15237","7536"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,7751竑騰,"7318","7322","4"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3008大立光,"6788","6942","154"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3443創意,"5450","5450","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,2317鴻海,"4568","6283","1715"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,2454聯發科,"4386","5725","1339"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3026禾伸堂,"3954","7545","3591"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3661世芯-KY,"3787","3787","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,00981A主動統一台股增長,"3122","4975","1853"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,0050元大台灣50,"2994","4062","1068"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3605宏致,"2861","4129","1268"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,2303聯電,"2736","6923","4187"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,2337旺宏,"2623","3467","844"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,2330台積電,"2621","7682","5061"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3617碩天,"2493","2493","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3163波若威,"2332","6697","4365"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3081聯亞,"2284","5957","3673"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3260威剛,"2283","3432","1149"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3529力旺,"2130","2130","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3006晶豪科,"2090","2438","348"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,2102泰豐,"1851","1851","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,2408南亞科,"1831","25192","23361"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,4991環宇-KY,"1727","1727","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,4971IET-KY,"1656","2176","520"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,6488環球晶,"1627","4657","3030"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,6239力成,"1548","2654","1106"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,1815富喬,"1449","3468","2019"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3413京鼎,"1445","1445","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3167大量,"1395","1395","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,6274台燿,"1389","4319","2930"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,6669緯穎,"1388","1520","132"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3491昇達科,"1279","1279","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,8271宇瞻,"1158","1158","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,2634漢翔,"1153","1822","669"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,6182合晶,"1149","5492","4343"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,2308台達電,"1143","1303","160"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3005神基,"1140","1255","115"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,3037欣興,"1096","3448","2352"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,0056元大高股息,"1019","1072","53"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,00631L元大台灣50正2,"995","1133","138"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,6830汎銓,"982","1470","488"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,6139亞翔,"981","1204","223"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,00685L群益臺灣加權正2,"963","1042","79"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,00406A主動中信台灣收益,"938","984","46"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,5351鈺創,"921","1382","461"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Buy,8086宏捷科,"903","903","0"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2327國巨*,"-38384","10518","48902"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,8033雷虎,"-25211","177","25388"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,3481群創,"-13941","3258","17199"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,8039台虹,"-5442","7232","12674"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,3234光環,"-5233","337","5570"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,3229晟鈦,"-2941","0","2941"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,6213聯茂,"-2607","11558","14165"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,6187萬潤,"-2480","0","2480"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,00919群益台灣精選高息,"-2309","652","2961"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2301光寶科,"-2300","9579","11879"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2882國泰金,"-2280","102","2382"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2489瑞軒,"-2036","4519","6555"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,6278台表科,"-1940","1070","3010"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2615萬海,"-1851","4212","6063"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2881富邦金,"-1719","0","1719"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,00679B元大美債20年,"-1656","1","1657"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,6949沛爾生醫-創,"-1320","0","1320"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2884玉山金,"-1237","0","1237"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,3324雙鴻,"-1221","1086","2307"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,3189景碩,"-1178","27615","28793"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2903遠百,"-1140","0","1140"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,6781AES-KY,"-1050","0","1050"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2404漢唐,"-1048","22","1070"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,8261富鼎,"-1025","17","1042"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2368金像電,"-975","1903","2878"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2481強茂,"-891","22","913"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,6531愛普*,"-837","0","837"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,009816凱基台灣TOP50,"-773","583","1356"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2455全新,"-738","101","839"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,1707葡萄王,"-725","0","725"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,3034聯詠,"-669","1","670"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,3406玉晶光,"-660","0","660"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,4908前鼎,"-632","0","632"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2723美食-KY,"-627","78","705"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2474可成,"-611","0","611"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,6214精誠,"-544","0","544"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,3450聯鈞,"-543","2083","2626"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2883凱基金,"-535","0","535"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2609陽明,"-534","6344","6878"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,6226光鼎,"-531","1838","2369"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,4939亞電,"-509","1018","1527"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,6533晶心科,"-501","0","501"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2101南港,"-501","503","1004"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,8227巨有科技,"-500","637","1137"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,1514亞力,"-493","5","498"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,4958臻鼎-KY,"-478","2255","2733"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2542興富發,"-475","3","478"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,1532勤美,"-458","0","458"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,2612中航,"-444","1068","1512"
群益金鼎,9100,群益金鼎-永和,003900310038004a,Sell,5904寶雅*,"-441","83","524"
