BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-旗山,003900380031006e,Buy,0050元大台灣50,"16311","20073","3762"
元大證券,9800,元大-旗山,003900380031006e,Buy,3665貿聯-KY,"10963","14963","4000"
元大證券,9800,元大-旗山,003900380031006e,Buy,3661世芯-KY,"7862","8527","665"
元大證券,9800,元大-旗山,003900380031006e,Buy,3653健策,"5282","5600","318"
元大證券,9800,元大-旗山,003900380031006e,Buy,3163波若威,"4417","4502","85"
元大證券,9800,元大-旗山,003900380031006e,Buy,5471松翰,"4072","4083","11"
元大證券,9800,元大-旗山,003900380031006e,Buy,2885元大金,"3758","3771","13"
元大證券,9800,元大-旗山,003900380031006e,Buy,4979華星光,"3625","12788","9163"
元大證券,9800,元大-旗山,003900380031006e,Buy,2317鴻海,"3362","5370","2008"
元大證券,9800,元大-旗山,003900380031006e,Buy,2609陽明,"3102","11694","8592"
元大證券,9800,元大-旗山,003900380031006e,Buy,6488環球晶,"2995","4911","1916"
元大證券,9800,元大-旗山,003900380031006e,Buy,3363上詮,"2661","4609","1948"
元大證券,9800,元大-旗山,003900380031006e,Buy,2603長榮,"2437","5243","2806"
元大證券,9800,元大-旗山,003900380031006e,Buy,6789采鈺,"2247","2247","0"
元大證券,9800,元大-旗山,003900380031006e,Buy,3293鈊象,"2178","2178","0"
元大證券,9800,元大-旗山,003900380031006e,Buy,2303聯電,"2133","4008","1875"
元大證券,9800,元大-旗山,003900380031006e,Buy,2345智邦,"2071","2073","2"
元大證券,9800,元大-旗山,003900380031006e,Buy,4931新盛力,"1972","2974","1002"
元大證券,9800,元大-旗山,003900380031006e,Buy,3533嘉澤,"1623","1623","0"
元大證券,9800,元大-旗山,003900380031006e,Buy,7828創新服務,"1530","1530","0"
元大證券,9800,元大-旗山,003900380031006e,Buy,2484希華,"1447","5211","3764"
元大證券,9800,元大-旗山,003900380031006e,Buy,2489瑞軒,"1324","4389","3065"
元大證券,9800,元大-旗山,003900380031006e,Buy,8046南電,"1285","6150","4865"
元大證券,9800,元大-旗山,003900380031006e,Buy,6223旺矽,"1267","1267","0"
元大證券,9800,元大-旗山,003900380031006e,Buy,8996高力,"1222","4747","3525"
元大證券,9800,元大-旗山,003900380031006e,Buy,2313華通,"1186","3269","2083"
元大證券,9800,元大-旗山,003900380031006e,Buy,00981B第一金優選非投債,"1186","1186","0"
元大證券,9800,元大-旗山,003900380031006e,Buy,5483中美晶,"1080","1261","181"
元大證券,9800,元大-旗山,003900380031006e,Buy,3481群創,"1073","3335","2262"
元大證券,9800,元大-旗山,003900380031006e,Buy,2368金像電,"1016","3026","2010"
元大證券,9800,元大-旗山,003900380031006e,Buy,6182合晶,"1009","3368","2359"
元大證券,9800,元大-旗山,003900380031006e,Buy,3324雙鴻,"1006","1177","171"
元大證券,9800,元大-旗山,003900380031006e,Buy,2408南亞科,"972","13381","12409"
元大證券,9800,元大-旗山,003900380031006e,Buy,00830國泰費城半導體,"960","960","0"
元大證券,9800,元大-旗山,003900380031006e,Buy,2367燿華,"956","1284","328"
元大證券,9800,元大-旗山,003900380031006e,Buy,6282康舒,"946","948","2"
元大證券,9800,元大-旗山,003900380031006e,Buy,4916事欣科,"922","1025","103"
元大證券,9800,元大-旗山,003900380031006e,Buy,3605宏致,"905","2147","1242"
