BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3661世芯-KY,"19805","39545","19740"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,7855和運租車,"8690","8690","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,5439高技,"8488","8488","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3293鈊象,"7027","11242","4215"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3163波若威,"6989","11696","4707"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2303聯電,"5838","10404","4566"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2345智邦,"5511","28943","23432"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,1815富喬,"4851","11403","6552"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3711日月光投控,"4778","5995","1217"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2059川湖,"4480","4480","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,6488環球晶,"4449","6370","1921"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,6669緯穎,"4315","32358","28043"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,8111立碁,"3284","3284","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2603長榮,"3090","7350","4260"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3135凌航,"2980","2993","13"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3665貿聯-KY,"2905","4752","1847"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2454聯發科,"2881","4775","1894"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,8358金居,"2787","11136","8349"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2492華新科,"2686","3492","806"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,6223旺矽,"2469","2474","5"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2609陽明,"2355","3899","1544"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,5483中美晶,"2163","4499","2336"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2360致茂,"1914","5809","3895"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3211順達,"1602","8220","6618"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,1717長興,"1517","1807","290"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,6196帆宣,"1443","1993","550"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,4763材料*-KY,"1427","1566","139"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,00632R元大台灣50反1,"1375","1375","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,6789采鈺,"1337","1337","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,1727中華化,"1327","1517","190"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2615萬海,"1322","1592","270"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,7610聯友金屬-創,"1280","1605","325"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3006晶豪科,"1153","2234","1081"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3324雙鴻,"1095","3232","2137"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2327國巨*,"1008","2725","1717"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,6182合晶,"976","1730","754"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2409友達,"973","1641","668"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,6290良維,"957","957","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,4967十銓,"953","1226","273"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3260威剛,"926","1347","421"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2451創見,"891","921","30"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,1714和桐,"813","830","17"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,7402邑錡,"781","781","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,3481群創,"731","3206","2475"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,6177達麗,"722","722","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2049上銀,"712","712","0"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,8028昇陽半導體,"702","1455","753"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,2493揚博,"696","1056","360"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,5904寶雅*,"595","745","150"
兆豐證券,7000,兆豐-公益,003700300030004a,Buy,6831邁科,"563","563","0"
