BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3017奇鋐,"27509","33784","6275"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2345智邦,"22170","22170","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3260威剛,"21750","39266","17516"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2603長榮,"15969","15969","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,6805富世達,"12704","16107","3403"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3081聯亞,"9871","22327","12456"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2303聯電,"6460","7201","741"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,00662富邦NASDAQ,"5976","5976","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,7795長廣,"5869","5869","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3008大立光,"5710","12320","6610"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,00988A主動統一全球創新,"4866","4866","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3010華立,"3855","3855","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,00927群益半導體收益,"3804","3804","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3362先進光,"3769","21629","17860"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2327國巨*,"3140","6403","3263"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3228金麗科,"2964","2964","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2609陽明,"2867","3803","936"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3006晶豪科,"2766","3848","1082"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,6510精測,"2610","2610","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,4979華星光,"2588","5027","2439"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,00990A主動元大AI新經濟,"2123","2123","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2308台達電,"1620","3431","1811"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3234光環,"1595","1775","180"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,5289宜鼎,"1537","3224","1687"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,6182合晶,"1314","1528","214"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2850新產,"1141","1141","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,8046南電,"1130","10535","9405"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2527宏璟,"1064","1278","214"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,8112至上,"1018","1023","5"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3481群創,"1014","1202","188"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2491吉祥全,"995","1228","233"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3037欣興,"913","5672","4759"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3003健和興,"848","848","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3036文曄,"838","838","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,6223旺矽,"793","16333","15540"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,4551智伸科,"793","793","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,6715嘉基,"730","730","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,4919新唐,"726","968","242"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2221大甲,"714","714","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,3293鈊象,"707","1411","704"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2426鼎元,"699","3982","3283"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2882國泰金,"691","2178","1487"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,4741泓瀚,"683","683","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,1560中砂,"682","682","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,00991A主動復華未來50,"635","644","9"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2317鴻海,"596","1403","807"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,2881富邦金,"595","737","142"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,6526達發,"591","591","0"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,6533晶心科,"548","810","262"
兆豐證券,7000,兆豐-南京,0037003000300050,Buy,4958臻鼎-KY,"495","1397","902"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2889國票金,"-23173","487","23660"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2344華邦電,"-22214","1855","24069"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2360致茂,"-18721","244","18965"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2337旺宏,"-18543","613","19156"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,00981A主動統一台股增長,"-15636","623","16259"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2486一詮,"-7356","1536","8892"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,1303南亞,"-7333","5570","12903"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2481強茂,"-6897","3694","10591"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,6415矽力*-KY,"-6495","929","7424"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,8039台虹,"-5799","3093","8892"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,3105穩懋,"-4237","10316","14553"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,1815富喬,"-3990","4830","8820"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,009820元大納斯達克精選,"-3810","48","3858"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2377微星,"-3670","2178","5848"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,3532台勝科,"-3565","378","3943"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,00708L期元大S＆P黃金正2,"-3179","0","3179"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,3229晟鈦,"-2860","120","2980"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,00665L富邦恒生國企正2,"-2758","0","2758"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,6488環球晶,"-2660","1140","3800"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,4991環宇-KY,"-2628","930","3558"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,3363上詮,"-2584","1256","3840"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,1802台玻,"-2567","734","3301"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,00685L群益臺灣加權正2,"-2551","0","2551"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,3211順達,"-2497","0","2497"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2610華航,"-2471","0","2471"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,6669緯穎,"-2410","6365","8775"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,3189景碩,"-2382","7601","9983"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2313華通,"-2253","222","2475"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,6147頎邦,"-2056","521","2577"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,7711永擎,"-1965","983","2948"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,6239力成,"-1964","0","1964"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2357華碩,"-1960","0","1960"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,8358金居,"-1876","14441","16317"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,00987D主動統一美債量化,"-1710","0","1710"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,1301台塑,"-1626","120","1746"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,6226光鼎,"-1576","0","1576"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,3019亞光,"-1516","0","1516"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2376技嘉,"-1406","0","1406"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,3217優群,"-1365","0","1365"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,6770力積電,"-1319","1334","2653"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,6187萬潤,"-1305","0","1305"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2615萬海,"-1287","7850","9137"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,4931新盛力,"-1249","250","1499"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2324仁寶,"-1239","451","1690"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2330台積電,"-1236","5303","6539"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,0050元大台灣50,"-1224","999","2223"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2478大毅,"-1219","1","1220"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,6584南俊國際,"-1202","0","1202"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,3374精材,"-1069","5837","6906"
兆豐證券,7000,兆豐-南京,0037003000300050,Sell,2409友達,"-1001","26","1027"
