BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
亞東,2180,亞東-新竹,2184,Buy,8996高力,"7314","13650","6336"
亞東,2180,亞東-新竹,2184,Buy,4764雙鍵,"5825","5825","0"
亞東,2180,亞東-新竹,2184,Buy,2303聯電,"5574","7139","1565"
亞東,2180,亞東-新竹,2184,Buy,2327國巨*,"5574","8884","3310"
亞東,2180,亞東-新竹,2184,Buy,6223旺矽,"4867","4970","103"
亞東,2180,亞東-新竹,2184,Buy,3163波若威,"2973","4750","1777"
亞東,2180,亞東-新竹,2184,Buy,5269祥碩,"2945","2945","0"
亞東,2180,亞東-新竹,2184,Buy,6510精測,"2725","2725","0"
亞東,2180,亞東-新竹,2184,Buy,3131弘塑,"2490","2490","0"
亞東,2180,亞東-新竹,2184,Buy,00632R元大台灣50反1,"2427","3020","593"
亞東,2180,亞東-新竹,2184,Buy,2634漢翔,"2399","2622","223"
亞東,2180,亞東-新竹,2184,Buy,5243乙盛-KY,"2057","2057","0"
亞東,2180,亞東-新竹,2184,Buy,3665貿聯-KY,"2016","2016","0"
亞東,2180,亞東-新竹,2184,Buy,2345智邦,"1813","2085","272"
亞東,2180,亞東-新竹,2184,Buy,1301台塑,"1748","8836","7088"
亞東,2180,亞東-新竹,2184,Buy,00400A主動國泰動能高息,"1511","1511","0"
亞東,2180,亞東-新竹,2184,Buy,00981B第一金優選非投債,"1284","1284","0"
亞東,2180,亞東-新竹,2184,Buy,2615萬海,"1227","1679","452"
亞東,2180,亞東-新竹,2184,Buy,4979華星光,"1189","1875","686"
亞東,2180,亞東-新竹,2184,Buy,2324仁寶,"1052","1052","0"
亞東,2180,亞東-新竹,2184,Buy,00735國泰臺韓科技,"1029","1043","14"
亞東,2180,亞東-新竹,2184,Buy,2481強茂,"906","1350","444"
亞東,2180,亞東-新竹,2184,Buy,3189景碩,"839","10212","9373"
亞東,2180,亞東-新竹,2184,Buy,2208台船,"786","786","0"
亞東,2180,亞東-新竹,2184,Buy,6753龍德造船,"763","763","0"
亞東,2180,亞東-新竹,2184,Buy,4763材料*-KY,"697","697","0"
亞東,2180,亞東-新竹,2184,Buy,2362藍天,"637","637","0"
亞東,2180,亞東-新竹,2184,Buy,3026禾伸堂,"627","637","10"
亞東,2180,亞東-新竹,2184,Buy,3430奇鈦科,"583","583","0"
亞東,2180,亞東-新竹,2184,Buy,6239力成,"567","567","0"
亞東,2180,亞東-新竹,2184,Buy,2385群光,"540","540","0"
亞東,2180,亞東-新竹,2184,Buy,6727亞泰金屬,"523","523","0"
亞東,2180,亞東-新竹,2184,Buy,6213聯茂,"518","4528","4010"
亞東,2180,亞東-新竹,2184,Buy,2603長榮,"461","690","229"
亞東,2180,亞東-新竹,2184,Buy,00961FT臺灣永續高息,"460","856","396"
亞東,2180,亞東-新竹,2184,Buy,4958臻鼎-KY,"438","6167","5729"
亞東,2180,亞東-新竹,2184,Buy,3260威剛,"419","419","0"
亞東,2180,亞東-新竹,2184,Buy,2233宇隆,"366","366","0"
亞東,2180,亞東-新竹,2184,Buy,8027鈦昇,"361","361","0"
亞東,2180,亞東-新竹,2184,Buy,00882中信中國高股息,"360","360","0"
亞東,2180,亞東-新竹,2184,Buy,00887永豐中國科技50大,"342","342","0"
亞東,2180,亞東-新竹,2184,Buy,8096擎亞,"338","338","0"
亞東,2180,亞東-新竹,2184,Buy,3090日電貿,"337","337","0"
亞東,2180,亞東-新竹,2184,Buy,9904寶成,"324","324","0"
亞東,2180,亞東-新竹,2184,Buy,00929復華台灣科技優息,"322","467","145"
亞東,2180,亞東-新竹,2184,Buy,7712博盛半導體,"306","461","155"
亞東,2180,亞東-新竹,2184,Buy,00752中信中國50,"279","279","0"
亞東,2180,亞東-新竹,2184,Buy,6672騰輝電子-KY,"279","279","0"
亞東,2180,亞東-新竹,2184,Buy,00406A主動中信台灣收益,"272","360","88"
亞東,2180,亞東-新竹,2184,Buy,2486一詮,"265","265","0"
亞東,2180,亞東-新竹,2184,Sell,2330台積電,"-19139","1000","20139"
亞東,2180,亞東-新竹,2184,Sell,2408南亞科,"-6006","3870","9876"
亞東,2180,亞東-新竹,2184,Sell,2609陽明,"-5677","0","5677"
亞東,2180,亞東-新竹,2184,Sell,2383台光電,"-5470","11475","16945"
亞東,2180,亞東-新竹,2184,Sell,2317鴻海,"-5078","2031","7109"
亞東,2180,亞東-新竹,2184,Sell,1717長興,"-3810","152","3962"
亞東,2180,亞東-新竹,2184,Sell,3081聯亞,"-3487","0","3487"
亞東,2180,亞東-新竹,2184,Sell,3037欣興,"-3043","5870","8913"
亞東,2180,亞東-新竹,2184,Sell,3006晶豪科,"-3040","2765","5805"
亞東,2180,亞東-新竹,2184,Sell,00937B群益ESG投等債20,"-2896","0","2896"
亞東,2180,亞東-新竹,2184,Sell,2464盟立,"-2728","0","2728"
亞東,2180,亞東-新竹,2184,Sell,3105穩懋,"-2704","429","3133"
亞東,2180,亞東-新竹,2184,Sell,0050元大台灣50,"-2662","10532","13194"
亞東,2180,亞東-新竹,2184,Sell,2344華邦電,"-2607","3369","5976"
亞東,2180,亞東-新竹,2184,Sell,3529力旺,"-2605","0","2605"
亞東,2180,亞東-新竹,2184,Sell,3374精材,"-2053","2441","4494"
亞東,2180,亞東-新竹,2184,Sell,3008大立光,"-2025","0","2025"
亞東,2180,亞東-新竹,2184,Sell,3450聯鈞,"-1968","577","2545"
亞東,2180,亞東-新竹,2184,Sell,00403A主動統一升級50,"-1864","0","1864"
亞東,2180,亞東-新竹,2184,Sell,5483中美晶,"-1821","0","1821"
亞東,2180,亞東-新竹,2184,Sell,00631L元大台灣50正2,"-1821","400","2221"
亞東,2180,亞東-新竹,2184,Sell,2337旺宏,"-1817","0","1817"
亞東,2180,亞東-新竹,2184,Sell,3455由田,"-1283","0","1283"
亞東,2180,亞東-新竹,2184,Sell,3711日月光投控,"-1205","0","1205"
亞東,2180,亞東-新竹,2184,Sell,3231緯創,"-982","1815","2797"
亞東,2180,亞東-新竹,2184,Sell,3661世芯-KY,"-968","612","1580"
亞東,2180,亞東-新竹,2184,Sell,1519華城,"-966","1","967"
亞東,2180,亞東-新竹,2184,Sell,7822倍利科,"-965","0","965"
亞東,2180,亞東-新竹,2184,Sell,00830國泰費城半導體,"-922","83","1005"
亞東,2180,亞東-新竹,2184,Sell,2301光寶科,"-906","304","1210"
