BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3081聯亞,"161768","166018","4250"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6669緯穎,"68654","68668","14"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3008大立光,"54534","54548","14"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2059川湖,"42230","43245","1015"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2492華新科,"39191","46510","7319"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6147頎邦,"32048","38729","6681"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6770力積電,"21740","23089","1349"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2303聯電,"21661","24388","2727"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6526達發,"18426","18426","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,8299群聯,"17105","21758","4653"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2375凱美,"16896","17282","386"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,5289宜鼎,"14546","22295","7749"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6223旺矽,"11151","16205","5054"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6213聯茂,"9146","80387","71241"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,1303南亞,"6884","21389","14505"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,0050元大台灣50,"5459","10189","4730"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3037欣興,"4258","9779","5521"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3450聯鈞,"4209","8272","4063"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3376新日興,"3981","4428","447"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3714富采,"3806","4058","252"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,5871中租-KY,"3440","3440","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2603長榮,"3185","4822","1637"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3017奇鋐,"3011","4123","1112"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6176瑞儀,"2913","2913","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2324仁寶,"2894","3053","159"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6451訊芯-KY,"2804","8283","5479"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3706神達,"2757","2849","92"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,8027鈦昇,"2710","2894","184"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,4991環宇-KY,"2598","5162","2564"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2330台積電,"2471","3448","977"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,1708東鹼,"2110","2110","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,5880合庫金,"1937","1937","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,5475德宏,"1906","2105","199"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2615萬海,"1737","5283","3546"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3680家登,"1472","1472","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6887寶綠特-KY,"1469","1469","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3293鈊象,"1306","2810","1504"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2481強茂,"1303","4300","2997"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3026禾伸堂,"1188","2507","1319"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,4967十銓,"1113","1527","414"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2385群光,"1090","1090","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3016嘉晶,"910","1110","200"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,8069元太,"796","1119","323"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2368金像電,"793","2081","1288"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,7734印能科技,"750","23740","22990"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2614東森,"740","740","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,6715嘉基,"709","709","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,3563牧德,"699","699","0"
兆豐證券,7000,兆豐-民生,0037003000300063,Buy,2610華航,"643","685","42"
