BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,2303聯電,"24335","34030","9695"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,6274台燿,"16041","23448","7407"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,2887台新新光金,"15644","19630","3986"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,2383台光電,"15035","36910","21875"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,2454聯發科,"11318","13421","2103"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,6488環球晶,"7992","17542","9550"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,6669緯穎,"7026","14135","7109"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,3260威剛,"5570","6917","1347"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,3162精確,"4656","4728","72"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,3661世芯-KY,"4538","9066","4528"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,6442光聖,"4305","8074","3769"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,6282康舒,"3947","4083","136"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,5314世紀*,"3800","3800","0"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,6770力積電,"3657","11202","7545"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,00830國泰費城半導體,"3600","3600","0"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,6944兆聯實業,"3600","3600","0"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,6472保瑞,"3343","3791","448"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,7734印能科技,"3225","6110","2885"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,2618長榮航,"3128","3429","301"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,2301光寶科,"2962","7833","4871"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,2615萬海,"2953","4420","1467"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,2327國巨*,"2703","23431","20728"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,6239力成,"2669","4652","1983"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,00918大華優利高填息30,"2241","2481","240"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,7750新代,"2239","2480","241"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,3037欣興,"2140","34589","32449"
永豐金,9A00,永豐金-新莊,0039004100390048,Buy,3481群創,"1970","5392","3422"
