BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
統一,5850,統一-南京,0035003800350055,Buy,2308台達電,"69391","82540","13149"
統一,5850,統一-南京,0035003800350055,Buy,8996高力,"67113","77256","10143"
統一,5850,統一-南京,0035003800350055,Buy,6173信昌電,"46731","46949","218"
統一,5850,統一-南京,0035003800350055,Buy,2449京元電子,"23622","24921","1299"
統一,5850,統一-南京,0035003800350055,Buy,4979華星光,"22218","32103","9885"
統一,5850,統一-南京,0035003800350055,Buy,2454聯發科,"20883","24974","4091"
統一,5850,統一-南京,0035003800350055,Buy,2426鼎元,"18735","21439","2704"
統一,5850,統一-南京,0035003800350055,Buy,3090日電貿,"17547","17718","171"
統一,5850,統一-南京,0035003800350055,Buy,2351順德,"12384","19341","6957"
統一,5850,統一-南京,0035003800350055,Buy,3189景碩,"11225","39283","28058"
統一,5850,統一-南京,0035003800350055,Buy,8358金居,"10431","17547","7116"
統一,5850,統一-南京,0035003800350055,Buy,5425台半,"10253","29509","19256"
統一,5850,統一-南京,0035003800350055,Buy,4927泰鼎-KY,"10252","10614","362"
統一,5850,統一-南京,0035003800350055,Buy,6213聯茂,"9533","19227","9694"
統一,5850,統一-南京,0035003800350055,Buy,2303聯電,"9207","12528","3321"
統一,5850,統一-南京,0035003800350055,Buy,3017奇鋐,"8691","43333","34642"
統一,5850,統一-南京,0035003800350055,Buy,7788松川精密,"8492","8817","325"
統一,5850,統一-南京,0035003800350055,Buy,3374精材,"8321","21377","13056"
統一,5850,統一-南京,0035003800350055,Buy,8932智通*,"8103","8103","0"
統一,5850,統一-南京,0035003800350055,Buy,6187萬潤,"6481","11649","5168"
統一,5850,統一-南京,0035003800350055,Buy,3450聯鈞,"6465","8869","2404"
統一,5850,統一-南京,0035003800350055,Buy,5475德宏,"5779","7367","1588"
統一,5850,統一-南京,0035003800350055,Buy,6239力成,"5713","5713","0"
統一,5850,統一-南京,0035003800350055,Buy,3526凡甲,"5660","5660","0"
統一,5850,統一-南京,0035003800350055,Buy,6223旺矽,"5142","5152","10"
統一,5850,統一-南京,0035003800350055,Buy,2301光寶科,"4876","5816","940"
統一,5850,統一-南京,0035003800350055,Buy,1597直得,"4868","4868","0"
統一,5850,統一-南京,0035003800350055,Buy,2492華新科,"4693","8056","3363"
統一,5850,統一-南京,0035003800350055,Buy,6442光聖,"4653","4916","263"
統一,5850,統一-南京,0035003800350055,Buy,2344華邦電,"4299","12817","8518"
統一,5850,統一-南京,0035003800350055,Buy,3406玉晶光,"4185","10008","5823"
統一,5850,統一-南京,0035003800350055,Buy,1815富喬,"3800","6830","3030"
統一,5850,統一-南京,0035003800350055,Buy,4958臻鼎-KY,"3781","9012","5231"
統一,5850,統一-南京,0035003800350055,Buy,2455全新,"3501","3947","446"
統一,5850,統一-南京,0035003800350055,Buy,6781AES-KY,"3374","3420","46"
統一,5850,統一-南京,0035003800350055,Buy,6446藥華藥,"2935","3347","412"
統一,5850,統一-南京,0035003800350055,Buy,5291邑昇,"2634","4011","1377"
統一,5850,統一-南京,0035003800350055,Buy,1608華榮,"2631","2670","39"
統一,5850,統一-南京,0035003800350055,Buy,4909新復興,"2617","2617","0"
統一,5850,統一-南京,0035003800350055,Buy,6139亞翔,"2552","2552","0"
統一,5850,統一-南京,0035003800350055,Buy,3006晶豪科,"2495","4154","1659"
統一,5850,統一-南京,0035003800350055,Buy,2327國巨*,"2450","31876","29426"
統一,5850,統一-南京,0035003800350055,Buy,3005神基,"2441","2441","0"
統一,5850,統一-南京,0035003800350055,Buy,00685L群益臺灣加權正2,"2169","2540","371"
統一,5850,統一-南京,0035003800350055,Buy,2464盟立,"2102","5098","2996"
統一,5850,統一-南京,0035003800350055,Buy,2465麗臺,"2007","2294","287"
統一,5850,統一-南京,0035003800350055,Buy,3673TPK-KY,"1633","1769","136"
統一,5850,統一-南京,0035003800350055,Buy,6451訊芯-KY,"1339","2267","928"
統一,5850,統一-南京,0035003800350055,Buy,6271同欣電,"1252","1252","0"
統一,5850,統一-南京,0035003800350055,Buy,2409友達,"1105","1233","128"
