BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
統一,5850,統一-土城,0035003800350059,Buy,1303南亞,"9819","22421","12602"
統一,5850,統一-土城,0035003800350059,Buy,4989榮科,"6401","8862","2461"
統一,5850,統一-土城,0035003800350059,Buy,3081聯亞,"2714","2714","0"
統一,5850,統一-土城,0035003800350059,Buy,6510精測,"2675","2675","0"
統一,5850,統一-土城,0035003800350059,Buy,8046南電,"2576","7736","5160"
統一,5850,統一-土城,0035003800350059,Buy,3702大聯大,"2546","3059","513"
統一,5850,統一-土城,0035003800350059,Buy,3189景碩,"2465","7189","4724"
統一,5850,統一-土城,0035003800350059,Buy,6683雍智科技,"2420","2420","0"
統一,5850,統一-土城,0035003800350059,Buy,5439高技,"2366","2395","29"
統一,5850,統一-土城,0035003800350059,Buy,2344華邦電,"2343","5852","3509"
統一,5850,統一-土城,0035003800350059,Buy,2345智邦,"2105","2105","0"
統一,5850,統一-土城,0035003800350059,Buy,2609陽明,"2088","2313","225"
統一,5850,統一-土城,0035003800350059,Buy,6285啟碁,"2003","2003","0"
統一,5850,統一-土城,0035003800350059,Buy,1709和益,"1743","1925","182"
統一,5850,統一-土城,0035003800350059,Buy,2464盟立,"1720","2548","828"
統一,5850,統一-土城,0035003800350059,Buy,2634漢翔,"1636","2260","624"
統一,5850,統一-土城,0035003800350059,Buy,4991環宇-KY,"1569","3169","1600"
統一,5850,統一-土城,0035003800350059,Buy,5475德宏,"1455","2273","818"
統一,5850,統一-土城,0035003800350059,Buy,2317鴻海,"1407","3428","2021"
統一,5850,統一-土城,0035003800350059,Buy,6206飛捷,"1390","1390","0"
統一,5850,統一-土城,0035003800350059,Buy,5425台半,"1254","2594","1340"
統一,5850,統一-土城,0035003800350059,Buy,6531愛普*,"1017","1017","0"
統一,5850,統一-土城,0035003800350059,Buy,6919康霈*,"996","996","0"
統一,5850,統一-土城,0035003800350059,Buy,8042金山電,"938","2044","1106"
統一,5850,統一-土城,0035003800350059,Buy,00981B第一金優選非投債,"915","915","0"
統一,5850,統一-土城,0035003800350059,Buy,3078僑威,"899","899","0"
統一,5850,統一-土城,0035003800350059,Buy,1305華夏,"847","847","0"
統一,5850,統一-土城,0035003800350059,Buy,8033雷虎,"832","2012","1180"
統一,5850,統一-土城,0035003800350059,Buy,3260威剛,"827","827","0"
統一,5850,統一-土城,0035003800350059,Buy,00406A主動中信台灣收益,"825","1021","196"
統一,5850,統一-土城,0035003800350059,Buy,00984D主動聯博全球非投,"801","801","0"
統一,5850,統一-土城,0035003800350059,Buy,3105穩懋,"798","3627","2829"
統一,5850,統一-土城,0035003800350059,Buy,3583辛耘,"794","794","0"
統一,5850,統一-土城,0035003800350059,Buy,6213聯茂,"719","15155","14436"
統一,5850,統一-土城,0035003800350059,Buy,6449鈺邦,"715","952","237"
統一,5850,統一-土城,0035003800350059,Buy,8299群聯,"697","708","11"
統一,5850,統一-土城,0035003800350059,Buy,3376新日興,"670","1113","443"
統一,5850,統一-土城,0035003800350059,Buy,3441聯一光,"653","1193","540"
統一,5850,統一-土城,0035003800350059,Buy,3645達邁,"643","787","144"
統一,5850,統一-土城,0035003800350059,Buy,3363上詮,"627","2146","1519"
統一,5850,統一-土城,0035003800350059,Buy,2359所羅門,"594","740","146"
統一,5850,統一-土城,0035003800350059,Buy,3162精確,"593","735","142"
統一,5850,統一-土城,0035003800350059,Buy,3532台勝科,"592","5218","4626"
統一,5850,統一-土城,0035003800350059,Buy,9933中鼎,"571","571","0"
統一,5850,統一-土城,0035003800350059,Buy,00919群益台灣精選高息,"542","1169","627"
統一,5850,統一-土城,0035003800350059,Buy,6727亞泰金屬,"520","520","0"
統一,5850,統一-土城,0035003800350059,Buy,2428興勤,"516","516","0"
統一,5850,統一-土城,0035003800350059,Buy,2890永豐金,"482","482","0"
統一,5850,統一-土城,0035003800350059,Buy,5243乙盛-KY,"460","460","0"
統一,5850,統一-土城,0035003800350059,Buy,00708L期元大S＆P黃金正2,"443","443","0"
統一,5850,統一-土城,0035003800350059,Sell,2330台積電,"-51737","5078","56815"
統一,5850,統一-土城,0035003800350059,Sell,2303聯電,"-14837","2596","17433"
統一,5850,統一-土城,0035003800350059,Sell,3017奇鋐,"-9913","436","10349"
統一,5850,統一-土城,0035003800350059,Sell,3324雙鴻,"-8216","1197","9413"
統一,5850,統一-土城,0035003800350059,Sell,3665貿聯-KY,"-6904","333","7237"
統一,5850,統一-土城,0035003800350059,Sell,2327國巨*,"-6123","6725","12848"
統一,5850,統一-土城,0035003800350059,Sell,2301光寶科,"-5957","2497","8454"
統一,5850,統一-土城,0035003800350059,Sell,2308台達電,"-5523","2060","7583"
統一,5850,統一-土城,0035003800350059,Sell,1815富喬,"-4433","3185","7618"
統一,5850,統一-土城,0035003800350059,Sell,6239力成,"-3724","891","4615"
統一,5850,統一-土城,0035003800350059,Sell,2454聯發科,"-3655","398","4053"
統一,5850,統一-土城,0035003800350059,Sell,3037欣興,"-3622","6177","9799"
統一,5850,統一-土城,0035003800350059,Sell,8358金居,"-3539","2849","6388"
統一,5850,統一-土城,0035003800350059,Sell,3450聯鈞,"-3108","6861","9969"
統一,5850,統一-土城,0035003800350059,Sell,00403A主動統一升級50,"-2957","5","2962"
統一,5850,統一-土城,0035003800350059,Sell,0050元大台灣50,"-2577","778","3355"
統一,5850,統一-土城,0035003800350059,Sell,3131弘塑,"-2498","2502","5000"
統一,5850,統一-土城,0035003800350059,Sell,2408南亞科,"-2194","7143","9337"
統一,5850,統一-土城,0035003800350059,Sell,00407A主動凱基台灣,"-2184","0","2184"
統一,5850,統一-土城,0035003800350059,Sell,00981A主動統一台股增長,"-2055","1173","3228"
統一,5850,統一-土城,0035003800350059,Sell,1301台塑,"-2005","398","2403"
統一,5850,統一-土城,0035003800350059,Sell,0056元大高股息,"-2002","113","2115"
統一,5850,統一-土城,0035003800350059,Sell,8261富鼎,"-1738","2159","3897"
統一,5850,統一-土城,0035003800350059,Sell,3715定穎投控,"-1720","238","1958"
統一,5850,統一-土城,0035003800350059,Sell,2486一詮,"-1565","11548","13113"
統一,5850,統一-土城,0035003800350059,Sell,3163波若威,"-1515","3831","5346"
統一,5850,統一-土城,0035003800350059,Sell,3026禾伸堂,"-1474","732","2206"
統一,5850,統一-土城,0035003800350059,Sell,2375凱美,"-1434","1353","2787"
統一,5850,統一-土城,0035003800350059,Sell,6187萬潤,"-1431","683","2114"
統一,5850,統一-土城,0035003800350059,Sell,6173信昌電,"-1429","0","1429"
統一,5850,統一-土城,0035003800350059,Sell,3264欣銓,"-1359","255","1614"
統一,5850,統一-土城,0035003800350059,Sell,2368金像電,"-1271","1107","2378"
統一,5850,統一-土城,0035003800350059,Sell,2492華新科,"-1246","620","1866"
統一,5850,統一-土城,0035003800350059,Sell,5314世紀*,"-1122","33074","34196"
統一,5850,統一-土城,0035003800350059,Sell,6182合晶,"-1008","2488","3496"
統一,5850,統一-土城,0035003800350059,Sell,3711日月光投控,"-972","33","1005"
統一,5850,統一-土城,0035003800350059,Sell,00918大華優利高填息30,"-956","68","1024"
統一,5850,統一-土城,0035003800350059,Sell,3481群創,"-904","3661","4565"
統一,5850,統一-土城,0035003800350059,Sell,5483中美晶,"-886","203","1089"
統一,5850,統一-土城,0035003800350059,Sell,3167大量,"-884","2311","3195"
統一,5850,統一-土城,0035003800350059,Sell,6271同欣電,"-874","218","1092"
統一,5850,統一-土城,0035003800350059,Sell,1326台化,"-822","7","829"
統一,5850,統一-土城,0035003800350059,Sell,2481強茂,"-785","1103","1888"
統一,5850,統一-土城,0035003800350059,Sell,6491晶碩,"-754","0","754"
統一,5850,統一-土城,0035003800350059,Sell,4958臻鼎-KY,"-743","1450","2193"
統一,5850,統一-土城,0035003800350059,Sell,3374精材,"-741","1923","2664"
統一,5850,統一-土城,0035003800350059,Sell,1802台玻,"-738","183","921"
統一,5850,統一-土城,0035003800350059,Sell,8110華東,"-697","0","697"
統一,5850,統一-土城,0035003800350059,Sell,7728光焱科技,"-660","0","660"
統一,5850,統一-土城,0035003800350059,Sell,8926台汽電,"-633","0","633"
