BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
臺銀,1040,臺銀-金山,0031003000340044,Buy,3529力旺,"15450","18030","2580"
臺銀,1040,臺銀-金山,0031003000340044,Buy,8046南電,"8517","18023","9506"
臺銀,1040,臺銀-金山,0031003000340044,Buy,2344華邦電,"8461","20176","11715"
臺銀,1040,臺銀-金山,0031003000340044,Buy,2408南亞科,"6787","30827","24040"
臺銀,1040,臺銀-金山,0031003000340044,Buy,3189景碩,"6596","11142","4546"
臺銀,1040,臺銀-金山,0031003000340044,Buy,3702大聯大,"6525","6626","101"
臺銀,1040,臺銀-金山,0031003000340044,Buy,3376新日興,"6215","7476","1261"
臺銀,1040,臺銀-金山,0031003000340044,Buy,2481強茂,"6053","7810","1757"
臺銀,1040,臺銀-金山,0031003000340044,Buy,2356英業達,"5620","6209","589"
臺銀,1040,臺銀-金山,0031003000340044,Buy,3008大立光,"4624","7452","2828"
臺銀,1040,臺銀-金山,0031003000340044,Buy,00663L國泰臺灣加權正2,"4311","4416","105"
臺銀,1040,臺銀-金山,0031003000340044,Buy,3260威剛,"4130","4167","37"
臺銀,1040,臺銀-金山,0031003000340044,Buy,1303南亞,"3606","13972","10366"
臺銀,1040,臺銀-金山,0031003000340044,Buy,2412中華電,"3248","3255","7"
臺銀,1040,臺銀-金山,0031003000340044,Buy,8070長華*,"3212","3369","157"
臺銀,1040,臺銀-金山,0031003000340044,Buy,4904遠傳,"3109","3109","0"
臺銀,1040,臺銀-金山,0031003000340044,Buy,00830國泰費城半導體,"2945","2945","0"
臺銀,1040,臺銀-金山,0031003000340044,Buy,2618長榮航,"2914","3710","796"
臺銀,1040,臺銀-金山,0031003000340044,Buy,6191精成科,"2897","3156","259"
臺銀,1040,臺銀-金山,0031003000340044,Buy,2609陽明,"2682","3677","995"
臺銀,1040,臺銀-金山,0031003000340044,Buy,2395研華,"2600","6737","4137"
臺銀,1040,臺銀-金山,0031003000340044,Buy,6770力積電,"2435","8114","5679"
臺銀,1040,臺銀-金山,0031003000340044,Buy,8112至上,"2398","2580","182"
臺銀,1040,臺銀-金山,0031003000340044,Buy,3583辛耘,"2303","3892","1589"
臺銀,1040,臺銀-金山,0031003000340044,Buy,8039台虹,"2249","8232","5983"
臺銀,1040,臺銀-金山,0031003000340044,Buy,8996高力,"2017","3320","1303"
臺銀,1040,臺銀-金山,0031003000340044,Buy,6584南俊國際,"1993","2709","716"
臺銀,1040,臺銀-金山,0031003000340044,Buy,2887台新新光金,"1945","2437","492"
臺銀,1040,臺銀-金山,0031003000340044,Buy,7751竑騰,"1922","1940","18"
臺銀,1040,臺銀-金山,0031003000340044,Buy,5475德宏,"1921","2730","809"
臺銀,1040,臺銀-金山,0031003000340044,Buy,6415矽力*-KY,"1874","3691","1817"
