BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-莒光,003900380031004c,Buy,3711日月光投控,"35406","76956","41550"
元大證券,9800,元大-莒光,003900380031004c,Buy,8358金居,"12161","29074","16913"
元大證券,9800,元大-莒光,003900380031004c,Buy,2327國巨*,"10251","30051","19800"
元大證券,9800,元大-莒光,003900380031004c,Buy,2337旺宏,"7576","9325","1749"
元大證券,9800,元大-莒光,003900380031004c,Buy,2330台積電,"7089","16619","9530"
元大證券,9800,元大-莒光,003900380031004c,Buy,7769鴻勁,"6998","7263","265"
元大證券,9800,元大-莒光,003900380031004c,Buy,2303聯電,"6807","13260","6453"
元大證券,9800,元大-莒光,003900380031004c,Buy,3189景碩,"6400","17822","11422"
元大證券,9800,元大-莒光,003900380031004c,Buy,2449京元電子,"6171","8041","1870"
元大證券,9800,元大-莒光,003900380031004c,Buy,6488環球晶,"5930","8012","2082"
元大證券,9800,元大-莒光,003900380031004c,Buy,2383台光電,"5785","5790","5"
元大證券,9800,元大-莒光,003900380031004c,Buy,2454聯發科,"5344","13580","8236"
元大證券,9800,元大-莒光,003900380031004c,Buy,00981A主動統一台股增長,"4604","10156","5552"
元大證券,9800,元大-莒光,003900380031004c,Buy,00406A主動中信台灣收益,"4539","4818","279"
元大證券,9800,元大-莒光,003900380031004c,Buy,8039台虹,"4472","12972","8500"
元大證券,9800,元大-莒光,003900380031004c,Buy,2404漢唐,"4268","4300","32"
元大證券,9800,元大-莒光,003900380031004c,Buy,00685L群益臺灣加權正2,"4254","5243","989"
元大證券,9800,元大-莒光,003900380031004c,Buy,3529力旺,"3818","3818","0"
元大證券,9800,元大-莒光,003900380031004c,Buy,6669緯穎,"3224","3755","531"
元大證券,9800,元大-莒光,003900380031004c,Buy,3081聯亞,"3180","17319","14139"
元大證券,9800,元大-莒光,003900380031004c,Buy,2301光寶科,"3149","5194","2045"
元大證券,9800,元大-莒光,003900380031004c,Buy,00919群益台灣精選高息,"3079","3995","916"
元大證券,9800,元大-莒光,003900380031004c,Buy,0050元大台灣50,"2982","6661","3679"
元大證券,9800,元大-莒光,003900380031004c,Buy,6213聯茂,"2896","11226","8330"
元大證券,9800,元大-莒光,003900380031004c,Buy,2345智邦,"2891","5001","2110"
元大證券,9800,元大-莒光,003900380031004c,Buy,2492華新科,"2760","15919","13159"
元大證券,9800,元大-莒光,003900380031004c,Buy,4991環宇-KY,"2635","6920","4285"
元大證券,9800,元大-莒光,003900380031004c,Buy,6446藥華藥,"2565","2600","35"
元大證券,9800,元大-莒光,003900380031004c,Buy,5475德宏,"2114","2758","644"
元大證券,9800,元大-莒光,003900380031004c,Buy,6415矽力*-KY,"2054","2199","145"
元大證券,9800,元大-莒光,003900380031004c,Buy,8271宇瞻,"2050","2052","2"
元大證券,9800,元大-莒光,003900380031004c,Buy,8046南電,"2006","9988","7982"
元大證券,9800,元大-莒光,003900380031004c,Buy,2317鴻海,"1875","4404","2529"
元大證券,9800,元大-莒光,003900380031004c,Buy,2615萬海,"1648","3980","2332"
元大證券,9800,元大-莒光,003900380031004c,Buy,3105穩懋,"1555","13860","12305"
元大證券,9800,元大-莒光,003900380031004c,Buy,3293鈊象,"1522","1522","0"
元大證券,9800,元大-莒光,003900380031004c,Buy,7749意騰-KY,"1447","1447","0"
元大證券,9800,元大-莒光,003900380031004c,Buy,6196帆宣,"1409","1457","48"
元大證券,9800,元大-莒光,003900380031004c,Buy,3709鑫聯大投控,"1334","1334","0"
元大證券,9800,元大-莒光,003900380031004c,Buy,2481強茂,"1313","4471","3158"
元大證券,9800,元大-莒光,003900380031004c,Buy,2357華碩,"1310","3161","1851"
元大證券,9800,元大-莒光,003900380031004c,Buy,6147頎邦,"1254","1663","409"
元大證券,9800,元大-莒光,003900380031004c,Buy,3026禾伸堂,"1251","12398","11147"
元大證券,9800,元大-莒光,003900380031004c,Buy,6285啟碁,"1241","1494","253"
元大證券,9800,元大-莒光,003900380031004c,Buy,1815富喬,"1240","12036","10796"
元大證券,9800,元大-莒光,003900380031004c,Buy,1307三芳,"1236","1236","0"
元大證券,9800,元大-莒光,003900380031004c,Buy,3406玉晶光,"1230","1318","88"
元大證券,9800,元大-莒光,003900380031004c,Buy,8069元太,"1135","1496","361"
元大證券,9800,元大-莒光,003900380031004c,Buy,7795長廣,"1120","1120","0"
元大證券,9800,元大-莒光,003900380031004c,Buy,2313華通,"1069","12789","11720"
元大證券,9800,元大-莒光,003900380031004c,Sell,1303南亞,"-23187","20905","44092"
元大證券,9800,元大-莒光,003900380031004c,Sell,6770力積電,"-10550","11343","21893"
元大證券,9800,元大-莒光,003900380031004c,Sell,3324雙鴻,"-10247","19","10266"
元大證券,9800,元大-莒光,003900380031004c,Sell,2408南亞科,"-9247","17220","26467"
元大證券,9800,元大-莒光,003900380031004c,Sell,6515穎崴,"-6506","938","7444"
元大證券,9800,元大-莒光,003900380031004c,Sell,3006晶豪科,"-5855","2851","8706"
元大證券,9800,元大-莒光,003900380031004c,Sell,2455全新,"-5214","5804","11018"
元大證券,9800,元大-莒光,003900380031004c,Sell,1717長興,"-5057","2431","7488"
元大證券,9800,元大-莒光,003900380031004c,Sell,1326台化,"-4986","953","5939"
元大證券,9800,元大-莒光,003900380031004c,Sell,3481群創,"-4361","14644","19005"
元大證券,9800,元大-莒光,003900380031004c,Sell,2645長榮航太,"-4135","190","4325"
元大證券,9800,元大-莒光,003900380031004c,Sell,4958臻鼎-KY,"-3719","17598","21317"
元大證券,9800,元大-莒光,003900380031004c,Sell,3450聯鈞,"-3429","3433","6862"
元大證券,9800,元大-莒光,003900380031004c,Sell,3374精材,"-3102","13162","16264"
元大證券,9800,元大-莒光,003900380031004c,Sell,6510精測,"-2876","278","3154"
元大證券,9800,元大-莒光,003900380031004c,Sell,0056元大高股息,"-2755","592","3347"
元大證券,9800,元大-莒光,003900380031004c,Sell,00738U期元大道瓊白銀,"-2591","58","2649"
元大證券,9800,元大-莒光,003900380031004c,Sell,5536聖暉*,"-2578","893","3471"
元大證券,9800,元大-莒光,003900380031004c,Sell,2421建準,"-2546","179","2725"
元大證券,9800,元大-莒光,003900380031004c,Sell,00635U期元大S＆P黃金,"-2442","91","2533"
元大證券,9800,元大-莒光,003900380031004c,Sell,7788松川精密,"-2424","980","3404"
元大證券,9800,元大-莒光,003900380031004c,Sell,3042晶技,"-2289","650","2939"
元大證券,9800,元大-莒光,003900380031004c,Sell,3491昇達科,"-2281","1492","3773"
元大證券,9800,元大-莒光,003900380031004c,Sell,1301台塑,"-2256","1533","3789"
元大證券,9800,元大-莒光,003900380031004c,Sell,2609陽明,"-1724","2198","3922"
元大證券,9800,元大-莒光,003900380031004c,Sell,4169泰宗,"-1521","0","1521"
元大證券,9800,元大-莒光,003900380031004c,Sell,1519華城,"-1499","169","1668"
元大證券,9800,元大-莒光,003900380031004c,Sell,6830汎銓,"-1480","51","1531"
元大證券,9800,元大-莒光,003900380031004c,Sell,2409友達,"-1308","2198","3506"
元大證券,9800,元大-莒光,003900380031004c,Sell,6269台郡,"-1293","388","1681"
元大證券,9800,元大-莒光,003900380031004c,Sell,00403A主動統一升級50,"-1275","633","1908"
元大證券,9800,元大-莒光,003900380031004c,Sell,5314世紀*,"-1212","182","1394"
元大證券,9800,元大-莒光,003900380031004c,Sell,2377微星,"-1078","671","1749"
元大證券,9800,元大-莒光,003900380031004c,Sell,6209今國光,"-1026","946","1972"
元大證券,9800,元大-莒光,003900380031004c,Sell,3706神達,"-980","415","1395"
元大證券,9800,元大-莒光,003900380031004c,Sell,2382廣達,"-973","698","1671"
元大證券,9800,元大-莒光,003900380031004c,Sell,7711永擎,"-973","38","1011"
元大證券,9800,元大-莒光,003900380031004c,Sell,2354鴻準,"-962","835","1797"
元大證券,9800,元大-莒光,003900380031004c,Sell,2887台新新光金,"-944","3","947"
元大證券,9800,元大-莒光,003900380031004c,Sell,2603長榮,"-932","235","1167"
元大證券,9800,元大-莒光,003900380031004c,Sell,2376技嘉,"-914","869","1783"
元大證券,9800,元大-莒光,003900380031004c,Sell,2368金像電,"-905","5215","6120"
元大證券,9800,元大-莒光,003900380031004c,Sell,2312金寶,"-904","65","969"
元大證券,9800,元大-莒光,003900380031004c,Sell,8996高力,"-870","1565","2435"
元大證券,9800,元大-莒光,003900380031004c,Sell,2353宏碁,"-846","170","1016"
元大證券,9800,元大-莒光,003900380031004c,Sell,2883凱基金,"-841","35","876"
元大證券,9800,元大-莒光,003900380031004c,Sell,00878國泰永續高股息,"-833","1200","2033"
元大證券,9800,元大-莒光,003900380031004c,Sell,00632R元大台灣50反1,"-765","98","863"
元大證券,9800,元大-莒光,003900380031004c,Sell,2606裕民,"-712","453","1165"
元大證券,9800,元大-莒光,003900380031004c,Sell,8103瀚荃,"-710","0","710"
