BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-科園,9254,Buy,4958臻鼎-KY,"18309","39526","21217"
凱基,9200,凱基-科園,9254,Buy,3189景碩,"8756","12963","4207"
凱基,9200,凱基-科園,9254,Buy,6669緯穎,"6953","7240","287"
凱基,9200,凱基-科園,9254,Buy,00685L群益臺灣加權正2,"6944","7812","868"
凱基,9200,凱基-科園,9254,Buy,00631L元大台灣50正2,"6415","11485","5070"
凱基,9200,凱基-科園,9254,Buy,6446藥華藥,"6406","8364","1958"
凱基,9200,凱基-科園,9254,Buy,3443創意,"5861","5861","0"
凱基,9200,凱基-科園,9254,Buy,3034聯詠,"5346","5360","14"
凱基,9200,凱基-科園,9254,Buy,2345智邦,"5154","6184","1030"
凱基,9200,凱基-科園,9254,Buy,0050元大台灣50,"4942","8370","3428"
凱基,9200,凱基-科園,9254,Buy,2449京元電子,"4117","6712","2595"
凱基,9200,凱基-科園,9254,Buy,2330台積電,"3900","7409","3509"
凱基,9200,凱基-科園,9254,Buy,3026禾伸堂,"3686","10530","6844"
凱基,9200,凱基-科園,9254,Buy,3711日月光投控,"3671","3671","0"
凱基,9200,凱基-科園,9254,Buy,3376新日興,"3668","6878","3210"
凱基,9200,凱基-科園,9254,Buy,2492華新科,"3413","6663","3250"
凱基,9200,凱基-科園,9254,Buy,3081聯亞,"2985","10330","7345"
凱基,9200,凱基-科園,9254,Buy,6488環球晶,"2743","3713","970"
凱基,9200,凱基-科園,9254,Buy,6274台燿,"2428","2428","0"
凱基,9200,凱基-科園,9254,Buy,1802台玻,"2307","2793","486"
凱基,9200,凱基-科園,9254,Buy,2615萬海,"2296","3866","1570"
凱基,9200,凱基-科園,9254,Buy,2303聯電,"2200","3622","1422"
凱基,9200,凱基-科園,9254,Buy,3665貿聯-KY,"2184","32905","30721"
凱基,9200,凱基-科園,9254,Buy,00670L富邦NASDAQ正2,"2172","2172","0"
凱基,9200,凱基-科園,9254,Buy,4991環宇-KY,"2119","2744","625"
凱基,9200,凱基-科園,9254,Buy,9105泰金寶-DR,"1878","1887","9"
凱基,9200,凱基-科園,9254,Buy,7799禾榮科,"1865","1865","0"
凱基,9200,凱基-科園,9254,Buy,6147頎邦,"1773","2471","698"
凱基,9200,凱基-科園,9254,Buy,00406A主動中信台灣收益,"1724","1724","0"
凱基,9200,凱基-科園,9254,Buy,5289宜鼎,"1504","1504","0"
凱基,9200,凱基-科園,9254,Buy,2454聯發科,"1441","1441","0"
凱基,9200,凱基-科園,9254,Buy,3491昇達科,"1396","1485","89"
凱基,9200,凱基-科園,9254,Buy,4931新盛力,"1376","3807","2431"
凱基,9200,凱基-科園,9254,Buy,7769鴻勁,"1346","1346","0"
凱基,9200,凱基-科園,9254,Buy,2408南亞科,"1293","8178","6885"
凱基,9200,凱基-科園,9254,Buy,6239力成,"1277","1277","0"
凱基,9200,凱基-科園,9254,Buy,2481強茂,"1256","1708","452"
凱基,9200,凱基-科園,9254,Buy,2337旺宏,"1237","1362","125"
凱基,9200,凱基-科園,9254,Buy,3363上詮,"1234","2876","1642"
凱基,9200,凱基-科園,9254,Buy,3005神基,"1172","1172","0"
凱基,9200,凱基-科園,9254,Buy,009816凱基台灣TOP50,"1134","1149","15"
凱基,9200,凱基-科園,9254,Buy,009826貝萊德世界股票,"1068","1078","10"
凱基,9200,凱基-科園,9254,Buy,2489瑞軒,"1003","2391","1388"
凱基,9200,凱基-科園,9254,Buy,2301光寶科,"991","2223","1232"
凱基,9200,凱基-科園,9254,Buy,2317鴻海,"961","1641","680"
凱基,9200,凱基-科園,9254,Buy,6209今國光,"947","1027","80"
凱基,9200,凱基-科園,9254,Buy,2464盟立,"901","910","9"
凱基,9200,凱基-科園,9254,Buy,6716應廣,"886","886","0"
凱基,9200,凱基-科園,9254,Buy,8046南電,"857","37690","36833"
凱基,9200,凱基-科園,9254,Buy,4542科嶠,"836","1191","355"
凱基,9200,凱基-科園,9254,Sell,3008大立光,"-67799","22576","90375"
凱基,9200,凱基-科園,9254,Sell,00708L期元大S＆P黃金正2,"-9544","86","9630"
凱基,9200,凱基-科園,9254,Sell,3324雙鴻,"-8875","3420","12295"
凱基,9200,凱基-科園,9254,Sell,2455全新,"-5561","7781","13342"
凱基,9200,凱基-科園,9254,Sell,3006晶豪科,"-5426","2049","7475"
凱基,9200,凱基-科園,9254,Sell,00663L國泰臺灣加權正2,"-5406","0","5406"
凱基,9200,凱基-科園,9254,Sell,3481群創,"-5248","7509","12757"
凱基,9200,凱基-科園,9254,Sell,3661世芯-KY,"-4262","4155","8417"
凱基,9200,凱基-科園,9254,Sell,6770力積電,"-3866","3621","7487"
凱基,9200,凱基-科園,9254,Sell,2409友達,"-3849","567","4416"
凱基,9200,凱基-科園,9254,Sell,1303南亞,"-3803","5180","8983"
凱基,9200,凱基-科園,9254,Sell,2368金像電,"-3479","4129","7608"
凱基,9200,凱基-科園,9254,Sell,2356英業達,"-3317","67","3384"
凱基,9200,凱基-科園,9254,Sell,6510精測,"-3225","2620","5845"
凱基,9200,凱基-科園,9254,Sell,00988A主動統一全球創新,"-2807","144","2951"
凱基,9200,凱基-科園,9254,Sell,1717長興,"-2681","327","3008"
凱基,9200,凱基-科園,9254,Sell,3374精材,"-2242","3284","5526"
凱基,9200,凱基-科園,9254,Sell,3441聯一光,"-2008","14","2022"
凱基,9200,凱基-科園,9254,Sell,4722國精化,"-1457","0","1457"
凱基,9200,凱基-科園,9254,Sell,8358金居,"-1435","6229","7664"
凱基,9200,凱基-科園,9254,Sell,2377微星,"-1344","149","1493"
凱基,9200,凱基-科園,9254,Sell,3105穩懋,"-1311","2060","3371"
凱基,9200,凱基-科園,9254,Sell,6187萬潤,"-1258","1407","2665"
