BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
台灣企銀,1110,台灣企銀-九如,1113,Buy,3533嘉澤,"11864","11864","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3008大立光,"8058","8389","331"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6669緯穎,"7928","8036","108"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2327國巨*,"7417","12846","5429"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2330台積電,"4147","9205","5058"
台灣企銀,1110,台灣企銀-九如,1113,Buy,00631L元大台灣50正2,"2738","2774","36"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6257矽格,"2737","2737","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3711日月光投控,"2621","7239","4618"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2492華新科,"2126","2419","293"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3665貿聯-KY,"2125","4280","2155"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2301光寶科,"1852","2468","616"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6274台燿,"1765","1765","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3189景碩,"1704","1704","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2449京元電子,"1562","2075","513"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3293鈊象,"1410","1410","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3491昇達科,"1298","1424","126"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2345智邦,"1097","1097","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6488環球晶,"1088","1088","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2408南亞科,"1070","2734","1664"
台灣企銀,1110,台灣企銀-九如,1113,Buy,8028昇陽半導體,"960","960","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6139亞翔,"879","879","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2454聯發科,"823","939","116"
台灣企銀,1110,台灣企銀-九如,1113,Buy,1519華城,"813","813","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,8150南茂,"786","786","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3026禾伸堂,"734","734","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2458義隆,"683","683","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3481群創,"657","1750","1093"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6584南俊國際,"640","640","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3376新日興,"639","639","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6271同欣電,"636","636","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,00411A主動統一前沿科技,"575","575","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,8438昶昕,"574","574","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3450聯鈞,"546","559","13"
台灣企銀,1110,台灣企銀-九如,1113,Buy,0050元大台灣50,"542","648","106"
台灣企銀,1110,台灣企銀-九如,1113,Buy,5386青雲,"542","542","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,4977眾達-KY,"522","522","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,5530龍巖,"508","508","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,00991A主動復華未來50,"501","609","108"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3264欣銓,"452","452","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2912統一超,"435","435","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,3260威剛,"415","415","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6291沛亨,"402","402","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6869雲豹能源,"400","400","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2348A海悅甲特,"382","382","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,00918大華優利高填息30,"375","375","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,8039台虹,"369","1020","651"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2464盟立,"366","366","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,6147頎邦,"352","352","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2347聯強,"341","341","0"
台灣企銀,1110,台灣企銀-九如,1113,Buy,2364倫飛,"329","329","0"
台灣企銀,1110,台灣企銀-九如,1113,Sell,00981A主動統一台股增長,"-24898","233","25131"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2368金像電,"-6194","6","6200"
台灣企銀,1110,台灣企銀-九如,1113,Sell,1303南亞,"-3824","702","4526"
台灣企銀,1110,台灣企銀-九如,1113,Sell,3374精材,"-3771","1299","5070"
台灣企銀,1110,台灣企銀-九如,1113,Sell,009816凱基台灣TOP50,"-2503","15","2518"
台灣企銀,1110,台灣企銀-九如,1113,Sell,8111立碁,"-2447","132","2579"
台灣企銀,1110,台灣企銀-九如,1113,Sell,4938和碩,"-1911","0","1911"
台灣企銀,1110,台灣企銀-九如,1113,Sell,8358金居,"-1825","3486","5311"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2324仁寶,"-1805","0","1805"
台灣企銀,1110,台灣企銀-九如,1113,Sell,00403A主動統一升級50,"-1658","0","1658"
台灣企銀,1110,台灣企銀-九如,1113,Sell,3006晶豪科,"-1452","1699","3151"
台灣企銀,1110,台灣企銀-九如,1113,Sell,6672騰輝電子-KY,"-1383","0","1383"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2887台新新光金,"-1066","8","1074"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2455全新,"-1010","457","1467"
台灣企銀,1110,台灣企銀-九如,1113,Sell,4958臻鼎-KY,"-1006","3982","4988"
台灣企銀,1110,台灣企銀-九如,1113,Sell,00919群益台灣精選高息,"-918","33","951"
台灣企銀,1110,台灣企銀-九如,1113,Sell,6640均華,"-916","0","916"
台灣企銀,1110,台灣企銀-九如,1113,Sell,6290良維,"-766","253","1019"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2317鴻海,"-753","495","1248"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2884玉山金,"-716","0","716"
台灣企銀,1110,台灣企銀-九如,1113,Sell,6944兆聯實業,"-709","0","709"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2609陽明,"-655","57","712"
台灣企銀,1110,台灣企銀-九如,1113,Sell,3019亞光,"-571","1","572"
台灣企銀,1110,台灣企銀-九如,1113,Sell,4991環宇-KY,"-568","1595","2163"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2344華邦電,"-565","1449","2014"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2882國泰金,"-550","0","550"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2313華通,"-549","997","1546"
台灣企銀,1110,台灣企銀-九如,1113,Sell,3231緯創,"-535","1067","1602"
台灣企銀,1110,台灣企銀-九如,1113,Sell,3044健鼎,"-501","0","501"
台灣企銀,1110,台灣企銀-九如,1113,Sell,6829千附精密,"-475","0","475"
台灣企銀,1110,台灣企銀-九如,1113,Sell,2303聯電,"-388","3921","4309"
台灣企銀,1110,台灣企銀-九如,1113,Sell,3135凌航,"-365","0","365"
台灣企銀,1110,台灣企銀-九如,1113,Sell,4939亞電,"-354","0","354"
台灣企銀,1110,台灣企銀-九如,1113,Sell,5314世紀*,"-313","31","344"
