BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
合庫證券,1020,合庫-三重,0031003000320047,Buy,2345智邦,"18726","24816","6090"
合庫證券,1020,合庫-三重,0031003000320047,Buy,2327國巨*,"17029","20414","3385"
合庫證券,1020,合庫-三重,0031003000320047,Buy,2330台積電,"16797","16797","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,2492華新科,"8529","9430","901"
合庫證券,1020,合庫-三重,0031003000320047,Buy,8932智通*,"6897","6993","96"
合庫證券,1020,合庫-三重,0031003000320047,Buy,3711日月光投控,"6731","31810","25079"
合庫證券,1020,合庫-三重,0031003000320047,Buy,3443創意,"5776","11876","6100"
合庫證券,1020,合庫-三重,0031003000320047,Buy,00985B群益ESG投等債0-,"5759","5759","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,6446藥華藥,"5450","8530","3080"
合庫證券,1020,合庫-三重,0031003000320047,Buy,2303聯電,"4464","13071","8607"
合庫證券,1020,合庫-三重,0031003000320047,Buy,2449京元電子,"4174","5195","1021"
合庫證券,1020,合庫-三重,0031003000320047,Buy,3036文曄,"4054","4249","195"
合庫證券,1020,合庫-三重,0031003000320047,Buy,6584南俊國際,"3243","3243","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,5289宜鼎,"2998","4448","1450"
合庫證券,1020,合庫-三重,0031003000320047,Buy,8039台虹,"2972","3636","664"
合庫證券,1020,合庫-三重,0031003000320047,Buy,3653健策,"2934","3050","116"
合庫證券,1020,合庫-三重,0031003000320047,Buy,7734印能科技,"2825","2825","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,3529力旺,"2365","2365","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,00919群益台灣精選高息,"2167","2680","513"
合庫證券,1020,合庫-三重,0031003000320047,Buy,8271宇瞻,"2045","2746","701"
合庫證券,1020,合庫-三重,0031003000320047,Buy,00953B群益優選非投等債,"1828","1828","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,6274台燿,"1825","1825","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,2308台達電,"1821","5530","3709"
合庫證券,1020,合庫-三重,0031003000320047,Buy,8358金居,"1740","8095","6355"
合庫證券,1020,合庫-三重,0031003000320047,Buy,6257矽格,"1725","1725","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,3491昇達科,"1559","1559","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,6239力成,"1545","1545","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,7610聯友金屬-創,"1530","1530","0"
合庫證券,1020,合庫-三重,0031003000320047,Buy,6182合晶,"1402","1724","322"
合庫證券,1020,合庫-三重,0031003000320047,Buy,8996高力,"1401","1401","0"
