BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永興,5600,永興-台中,5603,Buy,2327國巨*,"6352","7976","1624"
永興,5600,永興-台中,5603,Buy,3481群創,"6328","8044","1716"
永興,5600,永興-台中,5603,Buy,2330台積電,"5275","5275","0"
永興,5600,永興-台中,5603,Buy,1301台塑,"3641","4032","391"
永興,5600,永興-台中,5603,Buy,2449京元電子,"3169","3169","0"
永興,5600,永興-台中,5603,Buy,3034聯詠,"2665","2665","0"
永興,5600,永興-台中,5603,Buy,00406A主動中信台灣收益,"2435","2435","0"
永興,5600,永興-台中,5603,Buy,2303聯電,"2366","2894","528"
永興,5600,永興-台中,5603,Buy,3665貿聯-KY,"2170","2170","0"
永興,5600,永興-台中,5603,Buy,5475德宏,"2059","2270","211"
永興,5600,永興-台中,5603,Buy,3189景碩,"1992","4539","2547"
永興,5600,永興-台中,5603,Buy,6239力成,"1932","2750","818"
永興,5600,永興-台中,5603,Buy,6257矽格,"1879","3121","1242"
永興,5600,永興-台中,5603,Buy,6488環球晶,"1875","1875","0"
永興,5600,永興-台中,5603,Buy,0050元大台灣50,"1864","1864","0"
永興,5600,永興-台中,5603,Buy,8046南電,"1827","1827","0"
永興,5600,永興-台中,5603,Buy,5536聖暉*,"1804","1804","0"
永興,5600,永興-台中,5603,Buy,2492華新科,"1799","3328","1529"
永興,5600,永興-台中,5603,Buy,6274台燿,"1798","2090","292"
永興,5600,永興-台中,5603,Buy,6213聯茂,"1679","2218","539"
永興,5600,永興-台中,5603,Buy,8039台虹,"1280","1595","315"
永興,5600,永興-台中,5603,Buy,4119旭富,"1204","1204","0"
永興,5600,永興-台中,5603,Buy,1513中興電,"1150","1150","0"
永興,5600,永興-台中,5603,Buy,3006晶豪科,"1105","1420","315"
永興,5600,永興-台中,5603,Buy,8358金居,"1057","2660","1603"
永興,5600,永興-台中,5603,Buy,2317鴻海,"994","994","0"
永興,5600,永興-台中,5603,Buy,8261富鼎,"920","920","0"
