BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3324雙鴻,"61034","68370","7336"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3081聯亞,"44679","62005","17326"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,2388威盛,"32696","32696","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,2376技嘉,"28090","28090","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,5439高技,"26999","27004","5"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3189景碩,"19034","38239","19205"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,8039台虹,"16303","27779","11476"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3374精材,"16257","31801","15544"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,4908前鼎,"9980","11801","1821"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,6829千附精密,"9744","10000","256"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,2327國巨*,"9386","9968","582"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3491昇達科,"8470","10012","1542"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,6257矽格,"8317","8525","208"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,4991環宇-KY,"7952","7953","1"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3305昇貿,"5709","5709","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3339泰谷,"4960","4960","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,8210勤誠,"4765","4862","97"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,8033雷虎,"4588","4778","190"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,6805富世達,"4570","4570","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,2449京元電子,"4535","7868","3333"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3105穩懋,"3654","9977","6323"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,7828創新服務,"3379","3650","271"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,4541晟田,"3313","3648","335"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,1773勝一,"2978","16329","13351"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,6499益安,"2939","2939","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3555博士旺,"2603","2603","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,6451訊芯-KY,"2274","2718","444"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3234光環,"2224","2394","170"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3711日月光投控,"2159","8664","6505"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,7711永擎,"2140","2675","535"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3141晶宏,"2140","2140","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3665貿聯-KY,"2070","4255","2185"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,2606裕民,"1957","3853","1896"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,2426鼎元,"1914","20374","18460"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,1326台化,"1876","3581","1705"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,00406A主動中信台灣收益,"1857","1857","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,4912聯德控股-KY,"1690","7774","6084"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,3406玉晶光,"1677","15720","14043"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,6756威鋒電子,"1583","1583","0"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,8046南電,"1426","16025","14599"
群益金鼎,9100,群益金鼎-內湖,0039003100380064,Buy,6605帝寶,"1385","1385","0"
