BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2330台積電,"16040","18420","2380"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,5386青雲,"14286","15126","840"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2327國巨*,"9440","11697","2257"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,5439高技,"9393","10214","821"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2301光寶科,"8314","8924","610"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2303聯電,"7722","12319","4597"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,8039台虹,"6233","14827","8594"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,3711日月光投控,"6231","9674","3443"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,1519華城,"5440","5440","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,1503士電,"4223","4223","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,3189景碩,"3781","4828","1047"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2481強茂,"3130","6029","2899"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2449京元電子,"2860","4135","1275"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,5351鈺創,"2817","2817","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,00406A主動中信台灣收益,"2478","2478","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,4931新盛力,"2396","4000","1604"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,5483中美晶,"2325","3208","883"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,8046南電,"2240","10780","8540"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,6781AES-KY,"2235","2235","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,6693廣閎科,"2131","3190","1059"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,6257矽格,"2084","2924","840"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,3211順達,"1954","2343","389"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2492華新科,"1666","4853","3187"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,8996高力,"1602","1602","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,3596智易,"1600","1600","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,8358金居,"1374","15751","14377"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,6415矽力*-KY,"1291","1291","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2634漢翔,"1274","1274","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2368金像電,"1273","3630","2357"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,6683雍智科技,"1210","1210","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,00919群益台灣精選高息,"1195","1653","458"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,00981A主動統一台股增長,"1189","2384","1195"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,3265台星科,"1062","1592","530"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,5475德宏,"1027","1445","418"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,1815富喬,"1011","3647","2636"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,6409旭隼,"999","999","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,5536聖暉*,"988","988","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,3260威剛,"943","943","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,00631L元大台灣50正2,"929","1990","1061"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,8299群聯,"907","1154","247"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,2337旺宏,"864","2624","1760"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,4989榮科,"852","852","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,6643M31,"846","846","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,00918大華優利高填息30,"801","801","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,6712長聖,"788","788","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,8033雷虎,"754","754","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,5347世界,"746","896","150"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,6285啟碁,"742","1248","506"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,3293鈊象,"730","730","0"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Buy,3231緯創,"715","895","180"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,1303南亞,"-10862","3820","14682"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,3406玉晶光,"-4761","1090","5851"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,3019亞光,"-4517","427","4944"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,6770力積電,"-4434","1792","6226"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,3006晶豪科,"-4014","4276","8290"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,1717長興,"-3853","1417","5270"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,2313華通,"-3576","746","4322"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,2455全新,"-2445","1454","3899"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,7750新代,"-2315","0","2315"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,1326台化,"-2130","1260","3390"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,3665貿聯-KY,"-2125","0","2125"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,6531愛普*,"-1845","44","1889"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,6488環球晶,"-1786","3675","5461"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,8436大江,"-1637","0","1637"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,6727亞泰金屬,"-1558","544","2102"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,0056元大高股息,"-1458","39","1497"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,2377微星,"-1352","602","1954"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,3374精材,"-1352","1711","3063"
群益金鼎,9100,群益金鼎-屏東,0039003100330048,Sell,3363上詮,"-1343","71","1414"
