BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國票證券,7790,國票-北投,7792,Buy,2408南亞科,"13758","15421","1663"
國票證券,7790,國票-北投,7792,Buy,2449京元電子,"10229","13436","3207"
國票證券,7790,國票-北投,7792,Buy,1519華城,"9234","9242","8"
國票證券,7790,國票-北投,7792,Buy,3008大立光,"7706","15566","7860"
國票證券,7790,國票-北投,7792,Buy,6770力積電,"7092","8452","1360"
國票證券,7790,國票-北投,7792,Buy,2344華邦電,"5878","6055","177"
國票證券,7790,國票-北投,7792,Buy,1303南亞,"5809","9096","3287"
國票證券,7790,國票-北投,7792,Buy,6451訊芯-KY,"5066","5521","455"
國票證券,7790,國票-北投,7792,Buy,6274台燿,"4357","5817","1460"
國票證券,7790,國票-北投,7792,Buy,3081聯亞,"4191","4191","0"
國票證券,7790,國票-北投,7792,Buy,3406玉晶光,"4180","5215","1035"
國票證券,7790,國票-北投,7792,Buy,1312國喬,"3924","4248","324"
國票證券,7790,國票-北投,7792,Buy,6213聯茂,"3382","3930","548"
國票證券,7790,國票-北投,7792,Buy,6257矽格,"3295","4841","1546"
國票證券,7790,國票-北投,7792,Buy,2351順德,"2697","2697","0"
國票證券,7790,國票-北投,7792,Buy,8996高力,"2367","2367","0"
國票證券,7790,國票-北投,7792,Buy,8299群聯,"2167","2167","0"
國票證券,7790,國票-北投,7792,Buy,3450聯鈞,"1894","7570","5676"
國票證券,7790,國票-北投,7792,Buy,2301光寶科,"1570","1570","0"
國票證券,7790,國票-北投,7792,Buy,2609陽明,"1340","1401","61"
國票證券,7790,國票-北投,7792,Buy,00918大華優利高填息30,"1300","1300","0"
國票證券,7790,國票-北投,7792,Buy,3324雙鴻,"1287","2695","1408"
國票證券,7790,國票-北投,7792,Buy,2889國票金,"1165","1212","47"
國票證券,7790,國票-北投,7792,Buy,5351鈺創,"1054","2375","1321"
國票證券,7790,國票-北投,7792,Buy,8039台虹,"972","1288","316"
國票證券,7790,國票-北投,7792,Buy,2233宇隆,"880","880","0"
國票證券,7790,國票-北投,7792,Buy,6147頎邦,"879","1434","555"
國票證券,7790,國票-北投,7792,Buy,2312金寶,"858","1023","165"
國票證券,7790,國票-北投,7792,Buy,5386青雲,"835","835","0"
國票證券,7790,國票-北投,7792,Buy,3026禾伸堂,"787","787","0"
國票證券,7790,國票-北投,7792,Buy,3167大量,"720","1615","895"
國票證券,7790,國票-北投,7792,Buy,9921巨大,"611","611","0"
國票證券,7790,國票-北投,7792,Buy,6239力成,"569","850","281"
國票證券,7790,國票-北投,7792,Buy,8358金居,"565","5336","4771"
國票證券,7790,國票-北投,7792,Buy,2002中鋼,"513","570","57"
國票證券,7790,國票-北投,7792,Buy,6789采鈺,"486","491","5"
國票證券,7790,國票-北投,7792,Buy,2324仁寶,"476","1516","1040"
國票證券,7790,國票-北投,7792,Buy,6530創威,"468","648","180"
國票證券,7790,國票-北投,7792,Buy,5388中磊,"465","465","0"
國票證券,7790,國票-北投,7792,Buy,6209今國光,"448","653","205"
國票證券,7790,國票-北投,7792,Buy,2481強茂,"446","2621","2175"
國票證券,7790,國票-北投,7792,Buy,1722台肥,"445","445","0"
國票證券,7790,國票-北投,7792,Buy,2420新巨,"440","440","0"
國票證券,7790,國票-北投,7792,Buy,3374精材,"385","1680","1295"
國票證券,7790,國票-北投,7792,Buy,5314世紀*,"368","368","0"
國票證券,7790,國票-北投,7792,Buy,3033威健,"355","355","0"
國票證券,7790,國票-北投,7792,Buy,2010春源,"341","341","0"
國票證券,7790,國票-北投,7792,Buy,2489瑞軒,"340","561","221"
國票證券,7790,國票-北投,7792,Buy,2634漢翔,"338","338","0"
國票證券,7790,國票-北投,7792,Buy,6913鴻呈,"329","492","163"
國票證券,7790,國票-北投,7792,Sell,3037欣興,"-16333","11984","28317"
國票證券,7790,國票-北投,7792,Sell,6531愛普*,"-11520","0","11520"
國票證券,7790,國票-北投,7792,Sell,2330台積電,"-10142","2","10144"
國票證券,7790,國票-北投,7792,Sell,2454聯發科,"-7642","0","7642"
國票證券,7790,國票-北投,7792,Sell,3105穩懋,"-6333","1427","7760"
國票證券,7790,國票-北投,7792,Sell,2303聯電,"-5415","4401","9816"
國票證券,7790,國票-北投,7792,Sell,00735國泰臺韓科技,"-4492","0","4492"
國票證券,7790,國票-北投,7792,Sell,2345智邦,"-4492","0","4492"
國票證券,7790,國票-北投,7792,Sell,3689湧德,"-4440","0","4440"
國票證券,7790,國票-北投,7792,Sell,3661世芯-KY,"-4409","4195","8604"
國票證券,7790,國票-北投,7792,Sell,4958臻鼎-KY,"-4400","3416","7816"
國票證券,7790,國票-北投,7792,Sell,00664R國泰臺灣加權反1,"-4239","0","4239"
國票證券,7790,國票-北投,7792,Sell,1101台泥,"-4135","311","4446"
國票證券,7790,國票-北投,7792,Sell,3189景碩,"-3441","901","4342"
國票證券,7790,國票-北投,7792,Sell,3706神達,"-3351","283","3634"
國票證券,7790,國票-北投,7792,Sell,006208富邦台50,"-3241","1","3242"
國票證券,7790,國票-北投,7792,Sell,3711日月光投控,"-3030","0","3030"
國票證券,7790,國票-北投,7792,Sell,2317鴻海,"-2900","0","2900"
國票證券,7790,國票-北投,7792,Sell,0050元大台灣50,"-2762","108","2870"
國票證券,7790,國票-北投,7792,Sell,00631L元大台灣50正2,"-2708","1","2709"
國票證券,7790,國票-北投,7792,Sell,4971IET-KY,"-2642","0","2642"
國票證券,7790,國票-北投,7792,Sell,3231緯創,"-2534","179","2713"
國票證券,7790,國票-北投,7792,Sell,1326台化,"-2532","1769","4301"
國票證券,7790,國票-北投,7792,Sell,1717長興,"-2209","587","2796"
國票證券,7790,國票-北投,7792,Sell,3665貿聯-KY,"-2195","2435","4630"
國票證券,7790,國票-北投,7792,Sell,2382廣達,"-2121","0","2121"
國票證券,7790,國票-北投,7792,Sell,6488環球晶,"-1919","0","1919"
國票證券,7790,國票-北投,7792,Sell,1504東元,"-1772","295","2067"
國票證券,7790,國票-北投,7792,Sell,1815富喬,"-1752","6358","8110"
國票證券,7790,國票-北投,7792,Sell,2892第一金,"-1667","36","1703"
國票證券,7790,國票-北投,7792,Sell,2887台新新光金,"-1483","0","1483"
國票證券,7790,國票-北投,7792,Sell,2327國巨*,"-1281","203","1484"
國票證券,7790,國票-北投,7792,Sell,6269台郡,"-1274","152","1426"
國票證券,7790,國票-北投,7792,Sell,00400A主動國泰動能高息,"-1200","0","1200"
國票證券,7790,國票-北投,7792,Sell,3264欣銓,"-1187","471","1658"
國票證券,7790,國票-北投,7792,Sell,6271同欣電,"-1163","230","1393"
國票證券,7790,國票-北投,7792,Sell,00403A主動統一升級50,"-1138","167","1305"
