BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-台東,003900320030005a,Buy,6669緯穎,"12936","18231","5295"
凱基,9200,凱基-台東,003900320030005a,Buy,2454聯發科,"6162","20285","14123"
凱基,9200,凱基-台東,003900320030005a,Buy,2327國巨*,"4639","9832","5193"
凱基,9200,凱基-台東,003900320030005a,Buy,2330台積電,"4120","6588","2468"
凱基,9200,凱基-台東,003900320030005a,Buy,6271同欣電,"4077","4077","0"
凱基,9200,凱基-台東,003900320030005a,Buy,6182合晶,"4056","5601","1545"
凱基,9200,凱基-台東,003900320030005a,Buy,2408南亞科,"4007","7623","3616"
凱基,9200,凱基-台東,003900320030005a,Buy,2303聯電,"3883","7147","3264"
凱基,9200,凱基-台東,003900320030005a,Buy,1101台泥,"3252","3331","79"
凱基,9200,凱基-台東,003900320030005a,Buy,0050元大台灣50,"3170","3386","216"
凱基,9200,凱基-台東,003900320030005a,Buy,2317鴻海,"2988","4243","1255"
凱基,9200,凱基-台東,003900320030005a,Buy,3450聯鈞,"2898","6579","3681"
凱基,9200,凱基-台東,003900320030005a,Buy,2308台達電,"2894","3437","543"
凱基,9200,凱基-台東,003900320030005a,Buy,5289宜鼎,"2827","2857","30"
凱基,9200,凱基-台東,003900320030005a,Buy,009828中信台日韓PCB,"2684","3043","359"
凱基,9200,凱基-台東,003900320030005a,Buy,2345智邦,"2144","2242","98"
凱基,9200,凱基-台東,003900320030005a,Buy,4971IET-KY,"2044","3475","1431"
凱基,9200,凱基-台東,003900320030005a,Buy,8039台虹,"1961","5456","3495"
凱基,9200,凱基-台東,003900320030005a,Buy,6213聯茂,"1817","5714","3897"
凱基,9200,凱基-台東,003900320030005a,Buy,00631L元大台灣50正2,"1638","2034","396"
凱基,9200,凱基-台東,003900320030005a,Buy,4958臻鼎-KY,"1620","6275","4655"
凱基,9200,凱基-台東,003900320030005a,Buy,6274台燿,"1515","1529","14"
凱基,9200,凱基-台東,003900320030005a,Buy,3019亞光,"1481","3480","1999"
凱基,9200,凱基-台東,003900320030005a,Buy,2489瑞軒,"1420","2326","906"
凱基,9200,凱基-台東,003900320030005a,Buy,3706神達,"1337","1337","0"
凱基,9200,凱基-台東,003900320030005a,Buy,6257矽格,"1267","2150","883"
凱基,9200,凱基-台東,003900320030005a,Buy,2324仁寶,"1208","1609","401"
凱基,9200,凱基-台東,003900320030005a,Buy,3532台勝科,"1172","1172","0"
凱基,9200,凱基-台東,003900320030005a,Buy,6426統新,"1107","1621","514"
凱基,9200,凱基-台東,003900320030005a,Buy,1815富喬,"1084","4076","2992"
凱基,9200,凱基-台東,003900320030005a,Buy,00918大華優利高填息30,"1074","1110","36"
凱基,9200,凱基-台東,003900320030005a,Buy,00929復華台灣科技優息,"1067","1126","59"
凱基,9200,凱基-台東,003900320030005a,Buy,1560中砂,"1042","1042","0"
凱基,9200,凱基-台東,003900320030005a,Buy,2359所羅門,"1037","1037","0"
凱基,9200,凱基-台東,003900320030005a,Buy,00406A主動中信台灣收益,"1006","1230","224"
凱基,9200,凱基-台東,003900320030005a,Buy,2493揚博,"927","927","0"
凱基,9200,凱基-台東,003900320030005a,Buy,5347世界,"916","1813","897"
凱基,9200,凱基-台東,003900320030005a,Buy,8021尖點,"906","1812","906"
凱基,9200,凱基-台東,003900320030005a,Buy,2449京元電子,"886","4153","3267"
凱基,9200,凱基-台東,003900320030005a,Buy,1326台化,"848","1516","668"
凱基,9200,凱基-台東,003900320030005a,Buy,5351鈺創,"839","839","0"
凱基,9200,凱基-台東,003900320030005a,Buy,2383台光電,"816","838","22"
凱基,9200,凱基-台東,003900320030005a,Buy,2889國票金,"785","976","191"
凱基,9200,凱基-台東,003900320030005a,Buy,3715定穎投控,"767","896","129"
凱基,9200,凱基-台東,003900320030005a,Buy,3711日月光投控,"762","1354","592"
凱基,9200,凱基-台東,003900320030005a,Buy,4973廣穎,"760","760","0"
凱基,9200,凱基-台東,003900320030005a,Buy,3105穩懋,"744","4061","3317"
凱基,9200,凱基-台東,003900320030005a,Buy,4991環宇-KY,"734","2374","1640"
凱基,9200,凱基-台東,003900320030005a,Buy,3036文曄,"731","737","6"
凱基,9200,凱基-台東,003900320030005a,Buy,5904寶雅*,"729","729","0"
凱基,9200,凱基-台東,003900320030005a,Sell,1303南亞,"-68510","11964","80474"
凱基,9200,凱基-台東,003900320030005a,Sell,6526達發,"-4303","1330","5633"
凱基,9200,凱基-台東,003900320030005a,Sell,3231緯創,"-2626","7309","9935"
凱基,9200,凱基-台東,003900320030005a,Sell,4106雃博,"-1984","0","1984"
凱基,9200,凱基-台東,003900320030005a,Sell,6442光聖,"-1967","5175","7142"
凱基,9200,凱基-台東,003900320030005a,Sell,3587閎康,"-1869","0","1869"
凱基,9200,凱基-台東,003900320030005a,Sell,1504東元,"-1830","0","1830"
凱基,9200,凱基-台東,003900320030005a,Sell,7711永擎,"-1819","77","1896"
凱基,9200,凱基-台東,003900320030005a,Sell,2344華邦電,"-1810","15701","17511"
凱基,9200,凱基-台東,003900320030005a,Sell,6415矽力*-KY,"-1784","428","2212"
凱基,9200,凱基-台東,003900320030005a,Sell,2305全友,"-1674","322","1996"
凱基,9200,凱基-台東,003900320030005a,Sell,6187萬潤,"-1405","0","1405"
凱基,9200,凱基-台東,003900320030005a,Sell,6584南俊國際,"-1341","665","2006"
凱基,9200,凱基-台東,003900320030005a,Sell,2455全新,"-1315","5403","6718"
凱基,9200,凱基-台東,003900320030005a,Sell,2356英業達,"-1238","285","1523"
凱基,9200,凱基-台東,003900320030005a,Sell,2467志聖,"-1216","620","1836"
凱基,9200,凱基-台東,003900320030005a,Sell,7751竑騰,"-1214","37","1251"
凱基,9200,凱基-台東,003900320030005a,Sell,00881國泰台灣科技龍頭,"-1184","564","1748"
凱基,9200,凱基-台東,003900320030005a,Sell,3006晶豪科,"-1134","0","1134"
凱基,9200,凱基-台東,003900320030005a,Sell,2368金像電,"-1129","248","1377"
