BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2454聯發科,"51842","57510","5668"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,3231緯創,"42751","51228","8477"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2408南亞科,"12980","25755","12775"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2344華邦電,"8035","14463","6428"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,6291沛亨,"6983","7573","590"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,4958臻鼎-KY,"6464","8913","2449"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2357華碩,"5975","5975","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,3037欣興,"5891","23061","17170"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,3026禾伸堂,"5653","6923","1270"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2353宏碁,"4725","4725","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,8046南電,"3914","8619","4705"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,6669緯穎,"3545","3545","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,6217中探針,"3212","3606","394"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,4707磐亞,"3120","3120","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2330台積電,"3083","3107","24"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,6672騰輝電子-KY,"2915","2915","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,3693營邦,"2831","3521","690"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,5324士開,"2749","2749","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,8033雷虎,"2600","3141","541"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,7750新代,"2504","2504","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,6190萬泰科,"2396","2939","543"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2337旺宏,"2318","6465","4147"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,3293鈊象,"2130","2130","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2486一詮,"1989","3827","1838"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,8358金居,"1854","2244","390"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,00998A主動復華金融股息,"1785","1785","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,1303南亞,"1687","6011","4324"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2301光寶科,"1658","2886","1228"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,3005神基,"1610","1610","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2317鴻海,"1553","2305","752"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,6257矽格,"1541","1959","418"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,5284jpp-KY,"1497","1823","326"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,6683雍智科技,"1410","1410","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,5289宜鼎,"1387","1414","27"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,00988A主動統一全球創新,"1340","1418","78"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2367燿華,"1333","1377","44"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,6446藥華藥,"1283","3993","2710"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,8299群聯,"1267","1267","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,8027鈦昇,"1259","1259","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,3234光環,"1213","1418","205"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,4722國精化,"1204","1204","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2451創見,"1170","1170","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2368金像電,"1153","2296","1143"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,1326台化,"1140","2260","1120"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,4966譜瑞-KY,"1129","1129","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,3324雙鴻,"1113","3798","2685"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,0050元大台灣50,"1112","2190","1078"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,3019亞光,"1100","1544","444"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,2327國巨*,"1011","2083","1072"
兆豐證券,7000,兆豐-天母,003700300030004c,Buy,8210勤誠,"959","959","0"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6451訊芯-KY,"-105035","9290","114325"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2426鼎元,"-20281","1112","21393"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3189景碩,"-19573","3480","23053"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3714富采,"-13340","967","14307"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3481群創,"-7142","11540","18682"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3645達邁,"-7079","71","7150"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2449京元電子,"-6430","10132","16562"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6442光聖,"-4947","7623","12570"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3006晶豪科,"-4437","10776","15213"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,4991環宇-KY,"-4322","926","5248"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6196帆宣,"-4082","505","4587"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,00676R富邦臺灣加權反1,"-3655","88","3743"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2379瑞昱,"-3386","9563","12949"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2465麗臺,"-2720","297","3017"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3105穩懋,"-2294","1961","4255"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,5607遠雄港,"-2280","0","2280"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6147頎邦,"-2184","572","2756"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6274台燿,"-2045","283","2328"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2360致茂,"-2026","0","2026"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,1605華新,"-1901","612","2513"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2313華通,"-1853","797","2650"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2409友達,"-1659","1121","2780"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3680家登,"-1557","1051","2608"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,4510高鋒,"-1379","2369","3748"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2404漢唐,"-1161","0","1161"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,1785光洋科,"-1145","202","1347"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,7610聯友金屬-創,"-1116","3","1119"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2308台達電,"-1110","4430","5540"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,009827玉山未來全球算力,"-1093","0","1093"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,0052富邦科技,"-1037","0","1037"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2801彰銀,"-976","3","979"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6239力成,"-916","7","923"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3551世禾,"-908","0","908"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6426統新,"-824","510","1334"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6533晶心科,"-809","0","809"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2382廣達,"-757","342","1099"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,00919群益台灣精選高息,"-750","65","815"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,4977眾達-KY,"-730","545","1275"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,5274信驊,"-687","0","687"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2395研華,"-684","0","684"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,00761B國泰A級公司債,"-658","0","658"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,8039台虹,"-652","1785","2437"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6830汎銓,"-630","0","630"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2886兆豐金,"-606","0","606"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,00405A主動富邦台灣龍耀,"-601","53","654"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3711日月光投控,"-580","3088","3668"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,00631L元大台灣50正2,"-580","393","973"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,6141柏承,"-572","0","572"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,3675德微,"-565","0","565"
兆豐證券,7000,兆豐-天母,003700300030004c,Sell,2881富邦金,"-564","317","881"
