BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
光和,6380,光和-花壇,6385,Buy,3189景碩,"2806","3612","806"
光和,6380,光和-花壇,6385,Buy,6669緯穎,"2752","2752","0"
光和,6380,光和-花壇,6385,Buy,8046南電,"2253","2253","0"
光和,6380,光和-花壇,6385,Buy,2408南亞科,"2222","4680","2458"
光和,6380,光和-花壇,6385,Buy,2801彰銀,"2154","2821","667"
光和,6380,光和-花壇,6385,Buy,2344華邦電,"1757","2992","1235"
光和,6380,光和-花壇,6385,Buy,3105穩懋,"1592","2542","950"
光和,6380,光和-花壇,6385,Buy,2337旺宏,"1567","1591","24"
光和,6380,光和-花壇,6385,Buy,2327國巨*,"1544","3111","1567"
光和,6380,光和-花壇,6385,Buy,4958臻鼎-KY,"1455","5083","3628"
光和,6380,光和-花壇,6385,Buy,3324雙鴻,"1452","1479","27"
光和,6380,光和-花壇,6385,Buy,006208富邦台50,"1228","1228","0"
光和,6380,光和-花壇,6385,Buy,1303南亞,"1143","2764","1621"
光和,6380,光和-花壇,6385,Buy,2356英業達,"1051","1051","0"
光和,6380,光和-花壇,6385,Buy,5351鈺創,"906","906","0"
光和,6380,光和-花壇,6385,Buy,2883凱基金,"842","2414","1572"
光和,6380,光和-花壇,6385,Buy,2491吉祥全,"839","839","0"
光和,6380,光和-花壇,6385,Buy,1477聚陽,"784","784","0"
光和,6380,光和-花壇,6385,Buy,2887台新新光金,"750","835","85"
光和,6380,光和-花壇,6385,Buy,3019亞光,"699","986","287"
光和,6380,光和-花壇,6385,Buy,1815富喬,"691","4733","4042"
光和,6380,光和-花壇,6385,Buy,5498凱崴,"651","706","55"
光和,6380,光和-花壇,6385,Buy,5880合庫金,"633","666","33"
光和,6380,光和-花壇,6385,Buy,6182合晶,"620","2401","1781"
光和,6380,光和-花壇,6385,Buy,2486一詮,"568","568","0"
光和,6380,光和-花壇,6385,Buy,2645長榮航太,"560","560","0"
光和,6380,光和-花壇,6385,Buy,3034聯詠,"532","532","0"
光和,6380,光和-花壇,6385,Buy,8064東捷,"514","735","221"
光和,6380,光和-花壇,6385,Buy,6209今國光,"512","512","0"
光和,6380,光和-花壇,6385,Buy,2449京元電子,"511","1055","544"
光和,6380,光和-花壇,6385,Buy,8069元太,"477","630","153"
光和,6380,光和-花壇,6385,Buy,5347世界,"448","448","0"
光和,6380,光和-花壇,6385,Buy,00981A主動統一台股增長,"442","442","0"
光和,6380,光和-花壇,6385,Buy,4510高鋒,"423","470","47"
光和,6380,光和-花壇,6385,Buy,3211順達,"384","384","0"
光和,6380,光和-花壇,6385,Buy,8040九暘,"374","374","0"
光和,6380,光和-花壇,6385,Buy,2376技嘉,"362","362","0"
光和,6380,光和-花壇,6385,Buy,8086宏捷科,"359","359","0"
光和,6380,光和-花壇,6385,Buy,3293鈊象,"353","353","0"
光和,6380,光和-花壇,6385,Buy,3090日電貿,"340","340","0"
光和,6380,光和-花壇,6385,Buy,5386青雲,"336","614","278"
光和,6380,光和-花壇,6385,Buy,1513中興電,"330","330","0"
光和,6380,光和-花壇,6385,Buy,1802台玻,"305","367","62"
光和,6380,光和-花壇,6385,Buy,3006晶豪科,"301","1165","864"
光和,6380,光和-花壇,6385,Buy,00631L元大台灣50正2,"288","359","71"
光和,6380,光和-花壇,6385,Buy,2484希華,"284","284","0"
光和,6380,光和-花壇,6385,Buy,00406A主動中信台灣收益,"274","274","0"
光和,6380,光和-花壇,6385,Buy,1101台泥,"271","271","0"
光和,6380,光和-花壇,6385,Buy,8150南茂,"269","451","182"
光和,6380,光和-花壇,6385,Buy,00929復華台灣科技優息,"264","264","0"
光和,6380,光和-花壇,6385,Sell,3231緯創,"-3099","975","4074"
光和,6380,光和-花壇,6385,Sell,2481強茂,"-2942","158","3100"
光和,6380,光和-花壇,6385,Sell,2330台積電,"-2278","2514","4792"
光和,6380,光和-花壇,6385,Sell,2303聯電,"-1694","1068","2762"
光和,6380,光和-花壇,6385,Sell,3339泰谷,"-1406","0","1406"
光和,6380,光和-花壇,6385,Sell,6147頎邦,"-1368","948","2316"
光和,6380,光和-花壇,6385,Sell,2409友達,"-1364","768","2132"
光和,6380,光和-花壇,6385,Sell,2426鼎元,"-1329","1207","2536"
光和,6380,光和-花壇,6385,Sell,3481群創,"-1301","4823","6124"
光和,6380,光和-花壇,6385,Sell,3661世芯-KY,"-1266","143","1409"
光和,6380,光和-花壇,6385,Sell,5608四維航,"-1183","0","1183"
光和,6380,光和-花壇,6385,Sell,3036文曄,"-967","0","967"
光和,6380,光和-花壇,6385,Sell,2392正崴,"-925","0","925"
光和,6380,光和-花壇,6385,Sell,2882國泰金,"-914","0","914"
光和,6380,光和-花壇,6385,Sell,3363上詮,"-795","840","1635"
光和,6380,光和-花壇,6385,Sell,3037欣興,"-772","1082","1854"
光和,6380,光和-花壇,6385,Sell,6139亞翔,"-732","1440","2172"
光和,6380,光和-花壇,6385,Sell,6584南俊國際,"-663","0","663"
光和,6380,光和-花壇,6385,Sell,5328華容,"-662","60","722"
光和,6380,光和-花壇,6385,Sell,3711日月光投控,"-589","0","589"
光和,6380,光和-花壇,6385,Sell,2454聯發科,"-563","225","788"
光和,6380,光和-花壇,6385,Sell,2492華新科,"-556","307","863"
光和,6380,光和-花壇,6385,Sell,00405A主動富邦台灣龍耀,"-497","26","523"
光和,6380,光和-花壇,6385,Sell,3044健鼎,"-491","0","491"
光和,6380,光和-花壇,6385,Sell,2324仁寶,"-350","43","393"
光和,6380,光和-花壇,6385,Sell,3135凌航,"-349","0","349"
光和,6380,光和-花壇,6385,Sell,1301台塑,"-341","134","475"
光和,6380,光和-花壇,6385,Sell,2382廣達,"-341","0","341"
光和,6380,光和-花壇,6385,Sell,00878國泰永續高股息,"-339","101","440"
光和,6380,光和-花壇,6385,Sell,3023信邦,"-339","0","339"
光和,6380,光和-花壇,6385,Sell,8039台虹,"-325","13342","13667"
光和,6380,光和-花壇,6385,Sell,3701大眾控,"-325","0","325"
光和,6380,光和-花壇,6385,Sell,3149正達,"-308","0","308"
光和,6380,光和-花壇,6385,Sell,5534長虹,"-306","0","306"
光和,6380,光和-花壇,6385,Sell,1785光洋科,"-292","312","604"
光和,6380,光和-花壇,6385,Sell,2313華通,"-241","0","241"
光和,6380,光和-花壇,6385,Sell,2030彰源,"-231","0","231"
光和,6380,光和-花壇,6385,Sell,6505台塑化,"-228","80","308"
光和,6380,光和-花壇,6385,Sell,2317鴻海,"-224","278","502"
光和,6380,光和-花壇,6385,Sell,2891中信金,"-217","135","352"
光和,6380,光和-花壇,6385,Sell,2498宏達電,"-214","0","214"
光和,6380,光和-花壇,6385,Sell,4771望隼,"-213","0","213"
光和,6380,光和-花壇,6385,Sell,3714富采,"-211","128","339"
光和,6380,光和-花壇,6385,Sell,1503士電,"-203","0","203"
光和,6380,光和-花壇,6385,Sell,3362先進光,"-200","0","200"
光和,6380,光和-花壇,6385,Sell,2612中航,"-196","0","196"
光和,6380,光和-花壇,6385,Sell,00919群益台灣精選高息,"-192","233","425"
光和,6380,光和-花壇,6385,Sell,1609大亞,"-185","0","185"
光和,6380,光和-花壇,6385,Sell,2609陽明,"-176","58","234"
光和,6380,光和-花壇,6385,Sell,2377微星,"-174","0","174"
