BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2408南亞科,"12157","14815","2658"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3008大立光,"6602","7367","765"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,6451訊芯-KY,"6384","6457","73"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,6831邁科,"4753","4753","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,5289宜鼎,"4654","4654","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,4958臻鼎-KY,"4536","7030","2494"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2303聯電,"3790","5954","2164"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,6442光聖,"3669","7577","3908"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2301光寶科,"3412","4056","644"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3189景碩,"3292","11940","8648"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2376技嘉,"3266","3631","365"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,6274台燿,"3159","5135","1976"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3167大量,"3045","3045","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2337旺宏,"2809","3296","487"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2327國巨*,"2482","6610","4128"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3529力旺,"2475","14445","11970"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,8046南電,"2377","3569","1192"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2317鴻海,"2265","2800","535"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3665貿聯-KY,"2203","2268","65"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3037欣興,"2100","6804","4704"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,1303南亞,"1978","3541","1563"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,7828創新服務,"1945","3700","1755"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2344華邦電,"1791","4332","2541"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,5347世界,"1790","1790","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,5351鈺創,"1273","1615","342"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,8358金居,"1261","1310","49"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,7711永擎,"1172","1172","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,5425台半,"1074","1074","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2637慧洋-KY,"1019","1020","1"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,009828中信台日韓PCB,"868","1105","237"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3363上詮,"835","2511","1676"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,00631L元大台灣50正2,"827","827","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,009816凱基台灣TOP50,"819","820","1"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3105穩懋,"813","3885","3072"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,4749新應材,"809","809","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,6505台塑化,"787","787","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,8081致新,"774","774","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,1815富喬,"763","1534","771"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,6669緯穎,"756","3321","2565"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,6224聚鼎,"691","691","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2882國泰金,"671","901","230"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,0056元大高股息,"638","862","224"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,1604聲寶,"638","638","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2606裕民,"633","791","158"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3042晶技,"593","593","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,6182合晶,"578","698","120"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,2489瑞軒,"538","579","41"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,8021尖點,"515","931","416"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,3702大聯大,"512","512","0"
聯邦商銀,8580,聯邦-忠孝,8583,Buy,6219富旺,"505","505","0"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3163波若威,"-14053","1461","15514"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3045台灣大,"-10565","0","10565"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2383台光電,"-9675","6435","16110"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,4991環宇-KY,"-7669","3296","10965"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2454聯發科,"-7382","764","8146"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3498陽程,"-6137","0","6137"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3081聯亞,"-5877","6988","12865"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3481群創,"-3996","2753","6749"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3017奇鋐,"-3889","10","3899"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3450聯鈞,"-3459","1181","4640"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3217優群,"-3350","0","3350"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2368金像電,"-3284","45","3329"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3661世芯-KY,"-3081","0","3081"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,009825聯邦美國金融創新,"-2851","0","2851"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3231緯創,"-1951","2883","4834"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2486一詮,"-1340","2277","3617"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3036文曄,"-1235","10","1245"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,6830汎銓,"-1221","0","1221"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,6285啟碁,"-1210","0","1210"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,5880合庫金,"-1120","1","1121"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2887Z1台新新光己特,"-1037","0","1037"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,8932智通*,"-904","273","1177"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,00919群益台灣精選高息,"-903","277","1180"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2330台積電,"-830","368","1198"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3260威剛,"-808","2029","2837"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,6217中探針,"-790","200","990"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2409友達,"-782","0","782"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,4971IET-KY,"-590","1504","2094"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,6239力成,"-553","279","832"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3035智原,"-539","186","725"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2609陽明,"-532","58","590"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,5274信驊,"-516","54","570"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,4576大銀微系統,"-504","235","739"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2385群光,"-434","109","543"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3374精材,"-420","0","420"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2885元大金,"-413","2","415"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,6277宏正,"-398","0","398"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2002中鋼,"-381","0","381"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,4977眾達-KY,"-365","0","365"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,5469瀚宇博,"-362","74","436"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2356英業達,"-343","332","675"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2382廣達,"-341","0","341"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2455全新,"-332","2141","2473"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3090日電貿,"-330","0","330"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,6243迅杰,"-311","0","311"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,6026福邦證,"-305","302","607"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,3094聯傑,"-293","42","335"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,2395研華,"-273","0","273"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,00751B元大AAA至A公司債,"-273","0","273"
聯邦商銀,8580,聯邦-忠孝,8583,Sell,00770國泰北美科技,"-269","0","269"
