BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
臺銀,1040,臺銀-民權,1043,Buy,2603長榮,"14565","16417","1852"
臺銀,1040,臺銀-民權,1043,Buy,2368金像電,"8745","9378","633"
臺銀,1040,臺銀-民權,1043,Buy,1303南亞,"8036","13696","5660"
臺銀,1040,臺銀-民權,1043,Buy,6669緯穎,"7054","7429","375"
臺銀,1040,臺銀-民權,1043,Buy,6147頎邦,"5088","8850","3762"
臺銀,1040,臺銀-民權,1043,Buy,00670L富邦NASDAQ正2,"4789","4790","1"
臺銀,1040,臺銀-民權,1043,Buy,3037欣興,"4608","25047","20439"
臺銀,1040,臺銀-民權,1043,Buy,1815富喬,"4324","7321","2997"
臺銀,1040,臺銀-民權,1043,Buy,3044健鼎,"3950","4431","481"
臺銀,1040,臺銀-民權,1043,Buy,8299群聯,"3895","5135","1240"
臺銀,1040,臺銀-民權,1043,Buy,2409友達,"3546","7317","3771"
臺銀,1040,臺銀-民權,1043,Buy,3583辛耘,"3424","3424","0"
臺銀,1040,臺銀-民權,1043,Buy,2481強茂,"3239","10887","7648"
臺銀,1040,臺銀-民權,1043,Buy,3711日月光投控,"3123","4899","1776"
臺銀,1040,臺銀-民權,1043,Buy,3105穩懋,"2863","5124","2261"
臺銀,1040,臺銀-民權,1043,Buy,2881富邦金,"2635","5645","3010"
臺銀,1040,臺銀-民權,1043,Buy,4958臻鼎-KY,"2583","6716","4133"
臺銀,1040,臺銀-民權,1043,Buy,3211順達,"2497","2879","382"
臺銀,1040,臺銀-民權,1043,Buy,5289宜鼎,"2204","2488","284"
臺銀,1040,臺銀-民權,1043,Buy,2451創見,"2190","2190","0"
臺銀,1040,臺銀-民權,1043,Buy,3661世芯-KY,"2092","2666","574"
臺銀,1040,臺銀-民權,1043,Buy,3481群創,"1854","5778","3924"
臺銀,1040,臺銀-民權,1043,Buy,1802台玻,"1837","2540","703"
臺銀,1040,臺銀-民權,1043,Buy,1434福懋,"1801","1801","0"
臺銀,1040,臺銀-民權,1043,Buy,3036文曄,"1729","2305","576"
臺銀,1040,臺銀-民權,1043,Buy,2498宏達電,"1722","1722","0"
臺銀,1040,臺銀-民權,1043,Buy,3529力旺,"1632","2387","755"
臺銀,1040,臺銀-民權,1043,Buy,1710東聯,"1590","1590","0"
臺銀,1040,臺銀-民權,1043,Buy,6683雍智科技,"1509","1530","21"
臺銀,1040,臺銀-民權,1043,Buy,4977眾達-KY,"1493","2037","544"
臺銀,1040,臺銀-民權,1043,Buy,4967十銓,"1383","2204","821"
臺銀,1040,臺銀-民權,1043,Buy,3260威剛,"1336","1495","159"
臺銀,1040,臺銀-民權,1043,Buy,2308台達電,"1251","5762","4511"
臺銀,1040,臺銀-民權,1043,Buy,00676R富邦臺灣加權反1,"1213","1213","0"
臺銀,1040,臺銀-民權,1043,Buy,00918大華優利高填息30,"1179","1610","431"
臺銀,1040,臺銀-民權,1043,Buy,00929復華台灣科技優息,"1153","1351","198"
臺銀,1040,臺銀-民權,1043,Buy,6446藥華藥,"1141","2528","1387"
臺銀,1040,臺銀-民權,1043,Buy,6139亞翔,"1086","1167","81"
臺銀,1040,臺銀-民權,1043,Buy,00685L群益臺灣加權正2,"1084","2313","1229"
臺銀,1040,臺銀-民權,1043,Buy,2404漢唐,"1069","1085","16"
臺銀,1040,臺銀-民權,1043,Buy,2449京元電子,"1038","2510","1472"
臺銀,1040,臺銀-民權,1043,Buy,2103台橡,"1001","1282","281"
臺銀,1040,臺銀-民權,1043,Buy,009828中信台日韓PCB,"996","996","0"
臺銀,1040,臺銀-民權,1043,Buy,2634漢翔,"958","1107","149"
臺銀,1040,臺銀-民權,1043,Buy,6197佳必琪,"947","948","1"
臺銀,1040,臺銀-民權,1043,Buy,00632R元大台灣50反1,"920","6316","5396"
臺銀,1040,臺銀-民權,1043,Buy,6274台燿,"903","2283","1380"
臺銀,1040,臺銀-民權,1043,Buy,3030德律,"873","873","0"
臺銀,1040,臺銀-民權,1043,Buy,00964中信亞太高股息,"869","869","0"
臺銀,1040,臺銀-民權,1043,Buy,2489瑞軒,"731","895","164"
臺銀,1040,臺銀-民權,1043,Sell,2327國巨*,"-42897","9764","52661"
臺銀,1040,臺銀-民權,1043,Sell,2330台積電,"-15353","8766","24119"
臺銀,1040,臺銀-民權,1043,Sell,2357華碩,"-14160","29","14189"
臺銀,1040,臺銀-民權,1043,Sell,2317鴻海,"-13692","358","14050"
臺銀,1040,臺銀-民權,1043,Sell,00937B群益ESG投等債20,"-12681","414","13095"
臺銀,1040,臺銀-民權,1043,Sell,2492華新科,"-12036","1197","13233"
臺銀,1040,臺銀-民權,1043,Sell,3231緯創,"-8986","3515","12501"
臺銀,1040,臺銀-民權,1043,Sell,2303聯電,"-8535","1958","10493"
臺銀,1040,臺銀-民權,1043,Sell,00631L元大台灣50正2,"-8460","1876","10336"
臺銀,1040,臺銀-民權,1043,Sell,3017奇鋐,"-6803","3932","10735"
臺銀,1040,臺銀-民權,1043,Sell,2324仁寶,"-6709","2486","9195"
臺銀,1040,臺銀-民權,1043,Sell,3189景碩,"-6511","9149","15660"
臺銀,1040,臺銀-民權,1043,Sell,5388中磊,"-6171","978","7149"
臺銀,1040,臺銀-民權,1043,Sell,3081聯亞,"-6060","743","6803"
臺銀,1040,臺銀-民權,1043,Sell,7734印能科技,"-5934","0","5934"
臺銀,1040,臺銀-民權,1043,Sell,8996高力,"-5729","4895","10624"
臺銀,1040,臺銀-民權,1043,Sell,0050元大台灣50,"-5470","1231","6701"
臺銀,1040,臺銀-民權,1043,Sell,2382廣達,"-4722","438","5160"
臺銀,1040,臺銀-民權,1043,Sell,2353宏碁,"-4357","681","5038"
臺銀,1040,臺銀-民權,1043,Sell,2313華通,"-4257","6146","10403"
臺銀,1040,臺銀-民權,1043,Sell,7744崴寶,"-3668","0","3668"
臺銀,1040,臺銀-民權,1043,Sell,00881國泰台灣科技龍頭,"-3362","54","3416"
臺銀,1040,臺銀-民權,1043,Sell,3090日電貿,"-3296","0","3296"
臺銀,1040,臺銀-民權,1043,Sell,2377微星,"-3088","1410","4498"
臺銀,1040,臺銀-民權,1043,Sell,00878國泰永續高股息,"-2971","570","3541"
臺銀,1040,臺銀-民權,1043,Sell,3680家登,"-2671","6","2677"
臺銀,1040,臺銀-民權,1043,Sell,3213茂訊,"-2577","0","2577"
臺銀,1040,臺銀-民權,1043,Sell,0056元大高股息,"-2560","284","2844"
臺銀,1040,臺銀-民權,1043,Sell,6213聯茂,"-2559","3636","6195"
臺銀,1040,臺銀-民權,1043,Sell,4938和碩,"-2480","1307","3787"
臺銀,1040,臺銀-民權,1043,Sell,6831邁科,"-2422","0","2422"
