BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
統一,5850,統一-台南,5855,Buy,1519華城,"88045","89036","991"
統一,5850,統一-台南,5855,Buy,3661世芯-KY,"8303","8513","210"
統一,5850,統一-台南,5855,Buy,3037欣興,"4089","11638","7549"
統一,5850,統一-台南,5855,Buy,6285啟碁,"4086","5060","974"
統一,5850,統一-台南,5855,Buy,8210勤誠,"3809","3809","0"
統一,5850,統一-台南,5855,Buy,6488環球晶,"2967","2973","6"
統一,5850,統一-台南,5855,Buy,00919群益台灣精選高息,"2831","3960","1129"
統一,5850,統一-台南,5855,Buy,3189景碩,"2561","4194","1633"
統一,5850,統一-台南,5855,Buy,2301光寶科,"2513","2815","302"
統一,5850,統一-台南,5855,Buy,3605宏致,"2229","2229","0"
統一,5850,統一-台南,5855,Buy,00918大華優利高填息30,"2200","2200","0"
統一,5850,統一-台南,5855,Buy,6278台表科,"1965","1965","0"
統一,5850,統一-台南,5855,Buy,4979華星光,"1825","2523","698"
統一,5850,統一-台南,5855,Buy,6669緯穎,"1713","1911","198"
統一,5850,統一-台南,5855,Buy,6442光聖,"1711","1714","3"
統一,5850,統一-台南,5855,Buy,00992A主動群益科技創新,"1703","1703","0"
統一,5850,統一-台南,5855,Buy,8069元太,"1638","1788","150"
統一,5850,統一-台南,5855,Buy,6446藥華藥,"1447","1447","0"
統一,5850,統一-台南,5855,Buy,2395研華,"1431","2796","1365"
統一,5850,統一-台南,5855,Buy,2426鼎元,"1394","2432","1038"
統一,5850,統一-台南,5855,Buy,5443均豪,"1370","1884","514"
統一,5850,統一-台南,5855,Buy,6207雷科,"1360","1475","115"
統一,5850,統一-台南,5855,Buy,6271同欣電,"1159","1449","290"
統一,5850,統一-台南,5855,Buy,2317鴻海,"1129","12008","10879"
統一,5850,統一-台南,5855,Buy,00878國泰永續高股息,"1116","1911","795"
統一,5850,統一-台南,5855,Buy,2324仁寶,"1112","1114","2"
統一,5850,統一-台南,5855,Buy,3008大立光,"1050","2665","1615"
統一,5850,統一-台南,5855,Buy,2221大甲,"1036","1214","178"
統一,5850,統一-台南,5855,Buy,2474可成,"1035","1035","0"
統一,5850,統一-台南,5855,Buy,4991環宇-KY,"1010","1010","0"
統一,5850,統一-台南,5855,Buy,2481強茂,"988","2963","1975"
統一,5850,統一-台南,5855,Buy,00981A主動統一台股增長,"959","1452","493"
統一,5850,統一-台南,5855,Buy,6588東典光電,"948","2367","1419"
統一,5850,統一-台南,5855,Buy,6579研揚,"912","912","0"
統一,5850,統一-台南,5855,Buy,6213聯茂,"897","1410","513"
統一,5850,統一-台南,5855,Buy,5009榮剛,"886","886","0"
統一,5850,統一-台南,5855,Buy,3090日電貿,"881","1228","347"
統一,5850,統一-台南,5855,Buy,1477聚陽,"796","796","0"
統一,5850,統一-台南,5855,Buy,6414樺漢,"794","1573","779"
統一,5850,統一-台南,5855,Buy,2850新產,"785","785","0"
統一,5850,統一-台南,5855,Buy,6716應廣,"735","853","118"
統一,5850,統一-台南,5855,Buy,6166凌華,"706","706","0"
統一,5850,統一-台南,5855,Buy,3135凌航,"694","694","0"
統一,5850,統一-台南,5855,Buy,8383千附,"668","668","0"
統一,5850,統一-台南,5855,Buy,6182合晶,"668","1340","672"
統一,5850,統一-台南,5855,Buy,3438類比科,"647","647","0"
統一,5850,統一-台南,5855,Buy,009828中信台日韓PCB,"600","1388","788"
統一,5850,統一-台南,5855,Buy,8042金山電,"593","710","117"
統一,5850,統一-台南,5855,Buy,6830汎銓,"588","588","0"
統一,5850,統一-台南,5855,Buy,3450聯鈞,"584","584","0"
統一,5850,統一-台南,5855,Sell,2330台積電,"-37243","6609","43852"
統一,5850,統一-台南,5855,Sell,2454聯發科,"-36966","526","37492"
統一,5850,統一-台南,5855,Sell,7769鴻勁,"-19254","176","19430"
統一,5850,統一-台南,5855,Sell,2303聯電,"-15515","2014","17529"
統一,5850,統一-台南,5855,Sell,3711日月光投控,"-11200","68","11268"
統一,5850,統一-台南,5855,Sell,5536聖暉*,"-9660","0","9660"
統一,5850,統一-台南,5855,Sell,3481群創,"-9354","12397","21751"
統一,5850,統一-台南,5855,Sell,4958臻鼎-KY,"-8401","7020","15421"
統一,5850,統一-台南,5855,Sell,3105穩懋,"-8251","0","8251"
統一,5850,統一-台南,5855,Sell,2408南亞科,"-6921","3152","10073"
統一,5850,統一-台南,5855,Sell,3006晶豪科,"-4480","300","4780"
統一,5850,統一-台南,5855,Sell,2409友達,"-3931","8484","12415"
統一,5850,統一-台南,5855,Sell,6526達發,"-3900","0","3900"
統一,5850,統一-台南,5855,Sell,00403A主動統一升級50,"-3673","219","3892"
統一,5850,統一-台南,5855,Sell,3363上詮,"-3448","1644","5092"
統一,5850,統一-台南,5855,Sell,6770力積電,"-3392","8022","11414"
統一,5850,統一-台南,5855,Sell,0050元大台灣50,"-3089","782","3871"
統一,5850,統一-台南,5855,Sell,3034聯詠,"-3088","0","3088"
統一,5850,統一-台南,5855,Sell,3441聯一光,"-2917","266","3183"
統一,5850,統一-台南,5855,Sell,2327國巨*,"-2173","4736","6909"
統一,5850,統一-台南,5855,Sell,6944兆聯實業,"-2170","0","2170"
統一,5850,統一-台南,5855,Sell,8299群聯,"-2082","2088","4170"
統一,5850,統一-台南,5855,Sell,2354鴻準,"-1760","132","1892"
統一,5850,統一-台南,5855,Sell,00999A主動野村臺灣高息,"-1749","0","1749"
統一,5850,統一-台南,5855,Sell,2344華邦電,"-1650","1271","2921"
統一,5850,統一-台南,5855,Sell,1815富喬,"-1514","506","2020"
統一,5850,統一-台南,5855,Sell,2855統一證,"-1453","1","1454"
統一,5850,統一-台南,5855,Sell,6274台燿,"-1355","1405","2760"
統一,5850,統一-台南,5855,Sell,6683雍智科技,"-1348","72","1420"
統一,5850,統一-台南,5855,Sell,00631L元大台灣50正2,"-1316","188","1504"
統一,5850,統一-台南,5855,Sell,2368金像電,"-1195","1082","2277"
統一,5850,統一-台南,5855,Sell,3033威健,"-1083","0","1083"
統一,5850,統一-台南,5855,Sell,2492華新科,"-1061","1601","2662"
統一,5850,統一-台南,5855,Sell,3406玉晶光,"-981","4","985"
統一,5850,統一-台南,5855,Sell,6531愛普*,"-972","1898","2870"
統一,5850,統一-台南,5855,Sell,1326台化,"-940","957","1897"
統一,5850,統一-台南,5855,Sell,3374精材,"-930","940","1870"
統一,5850,統一-台南,5855,Sell,00735國泰臺韓科技,"-852","0","852"
統一,5850,統一-台南,5855,Sell,5351鈺創,"-851","1068","1919"
統一,5850,統一-台南,5855,Sell,8064東捷,"-837","112","949"
統一,5850,統一-台南,5855,Sell,3532台勝科,"-820","399","1219"
統一,5850,統一-台南,5855,Sell,2486一詮,"-819","0","819"
統一,5850,統一-台南,5855,Sell,00685L群益臺灣加權正2,"-785","225","1010"
統一,5850,統一-台南,5855,Sell,3026禾伸堂,"-778","0","778"
統一,5850,統一-台南,5855,Sell,5274信驊,"-768","19","787"
統一,5850,統一-台南,5855,Sell,5347世界,"-756","16","772"
統一,5850,統一-台南,5855,Sell,2337旺宏,"-724","397","1121"
統一,5850,統一-台南,5855,Sell,7711永擎,"-662","0","662"
統一,5850,統一-台南,5855,Sell,1727中華化,"-655","0","655"
統一,5850,統一-台南,5855,Sell,1303南亞,"-609","5633","6242"
