BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-員林中山,9835,Buy,5274信驊,"37811","38195","384"
元大證券,9800,元大-員林中山,9835,Buy,2327國巨*,"24540","37009","12469"
元大證券,9800,元大-員林中山,9835,Buy,2303聯電,"24301","31846","7545"
元大證券,9800,元大-員林中山,9835,Buy,2351順德,"22523","23085","562"
元大證券,9800,元大-員林中山,9835,Buy,2317鴻海,"22399","24641","2242"
元大證券,9800,元大-員林中山,9835,Buy,3026禾伸堂,"22144","26853","4709"
元大證券,9800,元大-員林中山,9835,Buy,8039台虹,"15216","18424","3208"
元大證券,9800,元大-員林中山,9835,Buy,2492華新科,"13429","18976","5547"
元大證券,9800,元大-員林中山,9835,Buy,2345智邦,"10339","18367","8028"
元大證券,9800,元大-員林中山,9835,Buy,6770力積電,"10331","19931","9600"
元大證券,9800,元大-員林中山,9835,Buy,1605華新,"10270","10423","153"
元大證券,9800,元大-員林中山,9835,Buy,3231緯創,"7233","11540","4307"
元大證券,9800,元大-員林中山,9835,Buy,00918大華優利高填息30,"6374","6516","142"
元大證券,9800,元大-員林中山,9835,Buy,6173信昌電,"6220","8180","1960"
元大證券,9800,元大-員林中山,9835,Buy,00929復華台灣科技優息,"5263","5292","29"
元大證券,9800,元大-員林中山,9835,Buy,6488環球晶,"4331","6351","2020"
元大證券,9800,元大-員林中山,9835,Buy,00919群益台灣精選高息,"3824","3988","164"
元大證券,9800,元大-員林中山,9835,Buy,8996高力,"3791","11268","7477"
元大證券,9800,元大-員林中山,9835,Buy,3450聯鈞,"2981","3561","580"
元大證券,9800,元大-員林中山,9835,Buy,8261富鼎,"2930","3101","171"
元大證券,9800,元大-員林中山,9835,Buy,2337旺宏,"2635","6808","4173"
元大證券,9800,元大-員林中山,9835,Buy,1303南亞,"2479","14273","11794"
元大證券,9800,元大-員林中山,9835,Buy,2368金像電,"2412","2532","120"
元大證券,9800,元大-員林中山,9835,Buy,00981A主動統一台股增長,"2301","2824","523"
元大證券,9800,元大-員林中山,9835,Buy,2481強茂,"2246","2816","570"
元大證券,9800,元大-員林中山,9835,Buy,8150南茂,"2215","2305","90"
元大證券,9800,元大-員林中山,9835,Buy,2379瑞昱,"2115","2823","708"
元大證券,9800,元大-員林中山,9835,Buy,3006晶豪科,"2084","4757","2673"
