BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-土城,9897,Buy,6182合晶,"48484","49661","1177"
元大證券,9800,元大-土城,9897,Buy,3006晶豪科,"39464","39776","312"
元大證券,9800,元大-土城,9897,Buy,2303聯電,"18306","24002","5696"
元大證券,9800,元大-土城,9897,Buy,2454聯發科,"15486","23570","8084"
元大證券,9800,元大-土城,9897,Buy,2059川湖,"13856","14067","211"
元大證券,9800,元大-土城,9897,Buy,2383台光電,"12175","12202","27"
元大證券,9800,元大-土城,9897,Buy,2357華碩,"11516","13545","2029"
元大證券,9800,元大-土城,9897,Buy,2345智邦,"10734","10734","0"
元大證券,9800,元大-土城,9897,Buy,3008大立光,"7474","8362","888"
元大證券,9800,元大-土城,9897,Buy,2317鴻海,"7421","8176","755"
元大證券,9800,元大-土城,9897,Buy,3017奇鋐,"7058","13939","6881"
元大證券,9800,元大-土城,9897,Buy,2409友達,"5782","13181","7399"
元大證券,9800,元大-土城,9897,Buy,3653健策,"5394","5618","224"
元大證券,9800,元大-土城,9897,Buy,3481群創,"5297","9392","4095"
元大證券,9800,元大-土城,9897,Buy,8996高力,"5032","6366","1334"
元大證券,9800,元大-土城,9897,Buy,6173信昌電,"5020","5047","27"
元大證券,9800,元大-土城,9897,Buy,3532台勝科,"4920","7422","2502"
元大證券,9800,元大-土城,9897,Buy,3231緯創,"4826","10692","5866"
元大證券,9800,元大-土城,9897,Buy,3037欣興,"4602","10587","5985"
元大證券,9800,元大-土城,9897,Buy,6669緯穎,"4293","4302","9"
元大證券,9800,元大-土城,9897,Buy,2327國巨*,"4061","10265","6204"
元大證券,9800,元大-土城,9897,Buy,8028昇陽半導體,"3980","5658","1678"
元大證券,9800,元大-土城,9897,Buy,2313華通,"3869","5864","1995"
元大證券,9800,元大-土城,9897,Buy,6488環球晶,"3810","5770","1960"
元大證券,9800,元大-土城,9897,Buy,6613朋億*,"3672","3672","0"
元大證券,9800,元大-土城,9897,Buy,2481強茂,"3559","4807","1248"
元大證券,9800,元大-土城,9897,Buy,2609陽明,"3328","3328","0"
元大證券,9800,元大-土城,9897,Buy,3491昇達科,"3043","4537","1494"
元大證券,9800,元大-土城,9897,Buy,6770力積電,"2955","9883","6928"
