BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-文心,9297,Buy,2308台達電,"107852","107870","18"
凱基,9200,凱基-文心,9297,Buy,1314中石化,"45255","45255","0"
凱基,9200,凱基-文心,9297,Buy,00918大華優利高填息30,"11850","11850","0"
凱基,9200,凱基-文心,9297,Buy,00919群益台灣精選高息,"10105","10432","327"
凱基,9200,凱基-文心,9297,Buy,3529力旺,"8338","11631","3293"
凱基,9200,凱基-文心,9297,Buy,2383台光電,"7248","7248","0"
凱基,9200,凱基-文心,9297,Buy,2303聯電,"6871","15799","8928"
凱基,9200,凱基-文心,9297,Buy,6274台燿,"6788","9583","2795"
凱基,9200,凱基-文心,9297,Buy,00929復華台灣科技優息,"6609","6609","0"
凱基,9200,凱基-文心,9297,Buy,3653健策,"5522","5550","28"
凱基,9200,凱基-文心,9297,Buy,5351鈺創,"5436","6160","724"
凱基,9200,凱基-文心,9297,Buy,8996高力,"4840","4840","0"
凱基,9200,凱基-文心,9297,Buy,2317鴻海,"4478","4779","301"
凱基,9200,凱基-文心,9297,Buy,2464盟立,"4095","4563","468"
凱基,9200,凱基-文心,9297,Buy,3017奇鋐,"3301","3501","200"
凱基,9200,凱基-文心,9297,Buy,2059川湖,"3219","16129","12910"
凱基,9200,凱基-文心,9297,Buy,2201裕隆,"3085","3085","0"
凱基,9200,凱基-文心,9297,Buy,2382廣達,"2877","3905","1028"
凱基,9200,凱基-文心,9297,Buy,2327國巨*,"2708","3973","1265"
凱基,9200,凱基-文心,9297,Buy,3081聯亞,"2617","6274","3657"
凱基,9200,凱基-文心,9297,Buy,3665貿聯-KY,"2460","2460","0"
凱基,9200,凱基-文心,9297,Buy,4958臻鼎-KY,"2423","9685","7262"
凱基,9200,凱基-文心,9297,Buy,6488環球晶,"2156","4099","1943"
凱基,9200,凱基-文心,9297,Buy,3189景碩,"2129","3247","1118"
凱基,9200,凱基-文心,9297,Buy,3481群創,"2090","3917","1827"
凱基,9200,凱基-文心,9297,Buy,8039台虹,"2079","3335","1256"
凱基,9200,凱基-文心,9297,Buy,7711永擎,"1790","1826","36"
凱基,9200,凱基-文心,9297,Buy,3605宏致,"1752","1873","121"
凱基,9200,凱基-文心,9297,Buy,2454聯發科,"1746","7005","5259"
凱基,9200,凱基-文心,9297,Buy,2345智邦,"1451","1451","0"
凱基,9200,凱基-文心,9297,Buy,00409A主動復華全球50,"1251","1251","0"
凱基,9200,凱基-文心,9297,Buy,5498凱崴,"1240","1240","0"
凱基,9200,凱基-文心,9297,Buy,1802台玻,"1215","2235","1020"
凱基,9200,凱基-文心,9297,Buy,5475德宏,"1145","1145","0"
凱基,9200,凱基-文心,9297,Buy,00981A主動統一台股增長,"1130","1487","357"
凱基,9200,凱基-文心,9297,Buy,6213聯茂,"1107","3177","2070"
凱基,9200,凱基-文心,9297,Buy,2376技嘉,"1095","1095","0"
凱基,9200,凱基-文心,9297,Buy,2492華新科,"1022","5651","4629"
凱基,9200,凱基-文心,9297,Buy,2605新興,"940","977","37"
凱基,9200,凱基-文心,9297,Buy,00685L群益臺灣加權正2,"913","1034","121"
凱基,9200,凱基-文心,9297,Buy,009816凱基台灣TOP50,"885","982","97"
凱基,9200,凱基-文心,9297,Buy,8021尖點,"882","4503","3621"
凱基,9200,凱基-文心,9297,Buy,2481強茂,"864","1170","306"
凱基,9200,凱基-文心,9297,Buy,3231緯創,"847","1966","1119"
凱基,9200,凱基-文心,9297,Buy,2324仁寶,"817","4722","3905"
凱基,9200,凱基-文心,9297,Buy,1301台塑,"785","851","66"
凱基,9200,凱基-文心,9297,Buy,3163波若威,"774","774","0"
凱基,9200,凱基-文心,9297,Buy,6829千附精密,"750","750","0"
凱基,9200,凱基-文心,9297,Buy,3709鑫聯大投控,"690","690","0"
凱基,9200,凱基-文心,9297,Buy,2409友達,"685","3005","2320"
凱基,9200,凱基-文心,9297,Sell,2313華通,"-86077","2115","88192"
凱基,9200,凱基-文心,9297,Sell,3008大立光,"-25294","7410","32704"
凱基,9200,凱基-文心,9297,Sell,2330台積電,"-22702","5212","27914"
凱基,9200,凱基-文心,9297,Sell,2449京元電子,"-13698","2570","16268"
凱基,9200,凱基-文心,9297,Sell,2344華邦電,"-12413","11763","24176"
凱基,9200,凱基-文心,9297,Sell,2363矽統,"-11009","369","11378"
凱基,9200,凱基-文心,9297,Sell,2408南亞科,"-6508","8645","15153"
凱基,9200,凱基-文心,9297,Sell,6223旺矽,"-5877","6","5883"
凱基,9200,凱基-文心,9297,Sell,6139亞翔,"-2988","74","3062"
凱基,9200,凱基-文心,9297,Sell,3167大量,"-2942","2737","5679"
凱基,9200,凱基-文心,9297,Sell,00670L富邦NASDAQ正2,"-2825","0","2825"
凱基,9200,凱基-文心,9297,Sell,1815富喬,"-2333","3085","5418"
凱基,9200,凱基-文心,9297,Sell,8299群聯,"-2298","2","2300"
凱基,9200,凱基-文心,9297,Sell,6805富世達,"-2135","15","2150"
凱基,9200,凱基-文心,9297,Sell,8358金居,"-2073","27","2100"
凱基,9200,凱基-文心,9297,Sell,00952凱基台灣AI50,"-1708","92","1800"
凱基,9200,凱基-文心,9297,Sell,3026禾伸堂,"-1530","846","2376"
凱基,9200,凱基-文心,9297,Sell,6187萬潤,"-1517","4160","5677"
凱基,9200,凱基-文心,9297,Sell,3260威剛,"-1273","2","1275"
凱基,9200,凱基-文心,9297,Sell,0050元大台灣50,"-1099","1264","2363"
凱基,9200,凱基-文心,9297,Sell,6588東典光電,"-1083","120","1203"
凱基,9200,凱基-文心,9297,Sell,9910豐泰,"-1083","0","1083"
凱基,9200,凱基-文心,9297,Sell,3090日電貿,"-1008","0","1008"
凱基,9200,凱基-文心,9297,Sell,3714富采,"-1001","0","1001"
凱基,9200,凱基-文心,9297,Sell,6531愛普*,"-982","0","982"
凱基,9200,凱基-文心,9297,Sell,1303南亞,"-977","5677","6654"
凱基,9200,凱基-文心,9297,Sell,00950B凱基A級公司債,"-956","0","956"
凱基,9200,凱基-文心,9297,Sell,8210勤誠,"-869","45","914"
凱基,9200,凱基-文心,9297,Sell,3711日月光投控,"-777","253","1030"
凱基,9200,凱基-文心,9297,Sell,2337旺宏,"-756","1216","1972"
凱基,9200,凱基-文心,9297,Sell,6693廣閎科,"-706","0","706"
凱基,9200,凱基-文心,9297,Sell,2467志聖,"-652","6","658"
凱基,9200,凱基-文心,9297,Sell,2489瑞軒,"-638","366","1004"
凱基,9200,凱基-文心,9297,Sell,4979華星光,"-625","605","1230"
凱基,9200,凱基-文心,9297,Sell,6830汎銓,"-571","591","1162"
凱基,9200,凱基-文心,9297,Sell,8064東捷,"-565","0","565"
凱基,9200,凱基-文心,9297,Sell,00915凱基優選高股息30,"-556","0","556"
凱基,9200,凱基-文心,9297,Sell,5483中美晶,"-534","366","900"
凱基,9200,凱基-文心,9297,Sell,2412中華電,"-513","41442","41955"
凱基,9200,凱基-文心,9297,Sell,3450聯鈞,"-510","55","565"
凱基,9200,凱基-文心,9297,Sell,6196帆宣,"-501","0","501"
凱基,9200,凱基-文心,9297,Sell,2615萬海,"-480","0","480"
凱基,9200,凱基-文心,9297,Sell,7717萊德光電-KY,"-477","0","477"
凱基,9200,凱基-文心,9297,Sell,5443均豪,"-475","120","595"
凱基,9200,凱基-文心,9297,Sell,1605華新,"-438","77","515"
凱基,9200,凱基-文心,9297,Sell,3532台勝科,"-414","1278","1692"
凱基,9200,凱基-文心,9297,Sell,3715定穎投控,"-397","0","397"
凱基,9200,凱基-文心,9297,Sell,7769鴻勁,"-372","96","468"
凱基,9200,凱基-文心,9297,Sell,6108競國,"-338","0","338"
凱基,9200,凱基-文心,9297,Sell,00706L期元大S＆P日圓正2,"-334","0","334"
