BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-市政,9239,Buy,2834臺企銀,"32728","32750","22"
凱基,9200,凱基-市政,9239,Buy,2344華邦電,"13165","27465","14300"
凱基,9200,凱基-市政,9239,Buy,1815富喬,"11082","13798","2716"
凱基,9200,凱基-市政,9239,Buy,00712復華富時不動產,"9987","9987","0"
凱基,9200,凱基-市政,9239,Buy,6669緯穎,"9596","26172","16576"
凱基,9200,凱基-市政,9239,Buy,7769鴻勁,"8670","36204","27534"
凱基,9200,凱基-市政,9239,Buy,3708上緯投控,"7465","7465","0"
凱基,9200,凱基-市政,9239,Buy,2454聯發科,"6666","16760","10094"
凱基,9200,凱基-市政,9239,Buy,2330台積電,"5439","22171","16732"
凱基,9200,凱基-市政,9239,Buy,3665貿聯-KY,"4119","4119","0"
凱基,9200,凱基-市政,9239,Buy,6187萬潤,"3673","5535","1862"
凱基,9200,凱基-市政,9239,Buy,00919群益台灣精選高息,"3114","3343","229"
凱基,9200,凱基-市政,9239,Buy,5289宜鼎,"2845","4440","1595"
凱基,9200,凱基-市政,9239,Buy,0050元大台灣50,"2791","4089","1298"
凱基,9200,凱基-市政,9239,Buy,8358金居,"2676","5070","2394"
凱基,9200,凱基-市政,9239,Buy,2368金像電,"2415","4794","2379"
凱基,9200,凱基-市政,9239,Buy,2301光寶科,"2357","3832","1475"
凱基,9200,凱基-市政,9239,Buy,8299群聯,"2300","2300","0"
凱基,9200,凱基-市政,9239,Buy,6231系微,"2265","2265","0"
凱基,9200,凱基-市政,9239,Buy,3661世芯-KY,"2123","2899","776"
凱基,9200,凱基-市政,9239,Buy,3706神達,"2018","2182","164"
凱基,9200,凱基-市政,9239,Buy,00988A主動統一全球創新,"1792","2037","245"
凱基,9200,凱基-市政,9239,Buy,0055元大MSCI金融,"1712","1809","97"
凱基,9200,凱基-市政,9239,Buy,6274台燿,"1524","1524","0"
凱基,9200,凱基-市政,9239,Buy,2884玉山金,"1449","1540","91"
凱基,9200,凱基-市政,9239,Buy,6937天虹,"1391","1440","49"
凱基,9200,凱基-市政,9239,Buy,8112至上,"1355","1484","129"
凱基,9200,凱基-市政,9239,Buy,2883凱基金,"1354","2089","735"
凱基,9200,凱基-市政,9239,Buy,6861睿生光電,"1309","1309","0"
凱基,9200,凱基-市政,9239,Buy,3491昇達科,"1249","1593","344"
凱基,9200,凱基-市政,9239,Buy,1303南亞,"1203","15327","14124"
凱基,9200,凱基-市政,9239,Buy,009829大華韓國KOSPI5,"1170","1170","0"
凱基,9200,凱基-市政,9239,Buy,2027大成鋼,"1167","1314","147"
凱基,9200,凱基-市政,9239,Buy,5483中美晶,"1099","1099","0"
凱基,9200,凱基-市政,9239,Buy,00663L國泰臺灣加權正2,"1097","1152","55"
凱基,9200,凱基-市政,9239,Buy,7722LINEPAY,"1088","1088","0"
凱基,9200,凱基-市政,9239,Buy,6196帆宣,"1080","2108","1028"
凱基,9200,凱基-市政,9239,Buy,00918大華優利高填息30,"1041","1095","54"
凱基,9200,凱基-市政,9239,Buy,1326台化,"1034","2408","1374"
凱基,9200,凱基-市政,9239,Buy,2313華通,"978","3031","2053"
凱基,9200,凱基-市政,9239,Buy,2359所羅門,"951","951","0"
凱基,9200,凱基-市政,9239,Buy,1802台玻,"923","2542","1619"
凱基,9200,凱基-市政,9239,Buy,4939亞電,"905","905","0"
凱基,9200,凱基-市政,9239,Buy,3189景碩,"895","4277","3382"
凱基,9200,凱基-市政,9239,Buy,7822倍利科,"895","903","8"
凱基,9200,凱基-市政,9239,Buy,3374精材,"864","1434","570"
凱基,9200,凱基-市政,9239,Buy,2449京元電子,"842","2118","1276"
凱基,9200,凱基-市政,9239,Buy,6139亞翔,"842","849","7"
凱基,9200,凱基-市政,9239,Buy,6715嘉基,"834","12515","11681"
凱基,9200,凱基-市政,9239,Buy,4908前鼎,"826","2114","1288"
凱基,9200,凱基-市政,9239,Sell,3037欣興,"-24905","25251","50156"
凱基,9200,凱基-市政,9239,Sell,4971IET-KY,"-10424","0","10424"
凱基,9200,凱基-市政,9239,Sell,00937B群益ESG投等債20,"-9824","43","9867"
凱基,9200,凱基-市政,9239,Sell,2376技嘉,"-8465","4217","12682"
凱基,9200,凱基-市政,9239,Sell,2049上銀,"-8215","781","8996"
凱基,9200,凱基-市政,9239,Sell,3711日月光投控,"-8098","5434","13532"
凱基,9200,凱基-市政,9239,Sell,3481群創,"-7781","22802","30583"
凱基,9200,凱基-市政,9239,Sell,00984D主動聯博全球非投,"-6714","98","6812"
凱基,9200,凱基-市政,9239,Sell,3026禾伸堂,"-5459","3025","8484"
凱基,9200,凱基-市政,9239,Sell,6223旺矽,"-4942","734","5676"
凱基,9200,凱基-市政,9239,Sell,2303聯電,"-4695","18979","23674"
凱基,9200,凱基-市政,9239,Sell,009816凱基台灣TOP50,"-4489","1743","6232"
凱基,9200,凱基-市政,9239,Sell,7828創新服務,"-4287","2166","6453"
凱基,9200,凱基-市政,9239,Sell,6805富世達,"-4155","2754","6909"
凱基,9200,凱基-市政,9239,Sell,6505台塑化,"-3997","334","4331"
凱基,9200,凱基-市政,9239,Sell,3605宏致,"-3977","257","4234"
凱基,9200,凱基-市政,9239,Sell,3008大立光,"-3853","46254","50107"
凱基,9200,凱基-市政,9239,Sell,2409友達,"-3775","12111","15886"
凱基,9200,凱基-市政,9239,Sell,8046南電,"-3741","7709","11450"
凱基,9200,凱基-市政,9239,Sell,7610聯友金屬-創,"-3729","2149","5878"
凱基,9200,凱基-市政,9239,Sell,3231緯創,"-3660","6639","10299"
凱基,9200,凱基-市政,9239,Sell,2436偉詮電,"-3648","203","3851"
凱基,9200,凱基-市政,9239,Sell,6531愛普*,"-3577","1389","4966"
凱基,9200,凱基-市政,9239,Sell,3105穩懋,"-3571","8993","12564"
凱基,9200,凱基-市政,9239,Sell,2615萬海,"-3420","4883","8303"
凱基,9200,凱基-市政,9239,Sell,1709和益,"-3321","355","3676"
凱基,9200,凱基-市政,9239,Sell,2382廣達,"-3080","1816","4896"
凱基,9200,凱基-市政,9239,Sell,2317鴻海,"-3021","2348","5369"
