BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
合庫證券,1020,合庫-基隆,1025,Buy,2330台積電,"13548","18810","5262"
合庫證券,1020,合庫-基隆,1025,Buy,3363上詮,"8078","8870","792"
合庫證券,1020,合庫-基隆,1025,Buy,00919群益台灣精選高息,"7598","9688","2090"
合庫證券,1020,合庫-基隆,1025,Buy,2344華邦電,"7565","11506","3941"
合庫證券,1020,合庫-基隆,1025,Buy,6223旺矽,"4237","5637","1400"
合庫證券,1020,合庫-基隆,1025,Buy,1815富喬,"3852","4498","646"
合庫證券,1020,合庫-基隆,1025,Buy,1722台肥,"3647","3647","0"
合庫證券,1020,合庫-基隆,1025,Buy,2492華新科,"3189","3858","669"
合庫證券,1020,合庫-基隆,1025,Buy,1476儒鴻,"2955","2955","0"
合庫證券,1020,合庫-基隆,1025,Buy,2327國巨*,"2728","3402","674"
合庫證券,1020,合庫-基隆,1025,Buy,3081聯亞,"2661","2690","29"
合庫證券,1020,合庫-基隆,1025,Buy,6446藥華藥,"2616","4131","1515"
合庫證券,1020,合庫-基隆,1025,Buy,00406A主動中信台灣收益,"2393","2442","49"
合庫證券,1020,合庫-基隆,1025,Buy,3661世芯-KY,"2342","2483","141"
合庫證券,1020,合庫-基隆,1025,Buy,2368金像電,"2280","3387","1107"
合庫證券,1020,合庫-基隆,1025,Buy,5425台半,"2027","2208","181"
合庫證券,1020,合庫-基隆,1025,Buy,3167大量,"1808","2697","889"
合庫證券,1020,合庫-基隆,1025,Buy,2405輔信,"1801","1801","0"
合庫證券,1020,合庫-基隆,1025,Buy,3443創意,"1599","1623","24"
合庫證券,1020,合庫-基隆,1025,Buy,5289宜鼎,"1522","1536","14"
合庫證券,1020,合庫-基隆,1025,Buy,3211順達,"1498","2625","1127"
合庫證券,1020,合庫-基隆,1025,Buy,6416瑞祺電通,"1476","1476","0"
合庫證券,1020,合庫-基隆,1025,Buy,6669緯穎,"1446","6181","4735"
合庫證券,1020,合庫-基隆,1025,Buy,8996高力,"1318","2668","1350"
合庫證券,1020,合庫-基隆,1025,Buy,8042金山電,"1125","1125","0"
合庫證券,1020,合庫-基隆,1025,Buy,2313華通,"1054","2224","1170"
合庫證券,1020,合庫-基隆,1025,Buy,8112至上,"1033","1119","86"
合庫證券,1020,合庫-基隆,1025,Buy,1609大亞,"1024","1062","38"
合庫證券,1020,合庫-基隆,1025,Buy,6488環球晶,"1001","1961","960"
合庫證券,1020,合庫-基隆,1025,Buy,6515穎崴,"894","910","16"
合庫證券,1020,合庫-基隆,1025,Buy,1303南亞,"874","9652","8778"
合庫證券,1020,合庫-基隆,1025,Buy,3706神達,"816","816","0"
合庫證券,1020,合庫-基隆,1025,Buy,1477聚陽,"783","980","197"
合庫證券,1020,合庫-基隆,1025,Buy,6146耕興,"726","726","0"
合庫證券,1020,合庫-基隆,1025,Buy,2464盟立,"689","786","97"
合庫證券,1020,合庫-基隆,1025,Buy,6672騰輝電子-KY,"615","1224","609"
合庫證券,1020,合庫-基隆,1025,Buy,3406玉晶光,"612","1001","389"
合庫證券,1020,合庫-基隆,1025,Buy,2455全新,"611","611","0"
合庫證券,1020,合庫-基隆,1025,Buy,3234光環,"594","798","204"
合庫證券,1020,合庫-基隆,1025,Buy,2449京元電子,"545","2759","2214"
合庫證券,1020,合庫-基隆,1025,Buy,6530創威,"538","840","302"
合庫證券,1020,合庫-基隆,1025,Buy,6533晶心科,"511","511","0"
