BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2330台積電,"40861","61795","20934"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2344華邦電,"30600","76848","46248"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2454聯發科,"29124","81499","52375"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2049上銀,"16002","27560","11558"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6515穎崴,"15052","17647","2595"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3081聯亞,"13925","33268","19343"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6223旺矽,"11702","19165","7463"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3362先進光,"10263","19395","9132"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3026禾伸堂,"9621","16951","7330"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2408南亞科,"9600","26413","16813"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,00919群益台灣精選高息,"9539","10727","1188"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3661世芯-KY,"8886","52752","43866"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2727王品,"8260","8263","3"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3529力旺,"8187","8303","116"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,00918大華優利高填息30,"7756","8928","1172"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2059川湖,"7655","8230","575"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2492華新科,"7519","25275","17756"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2327國巨*,"6846","25173","18327"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,1815富喬,"6778","12395","5617"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3450聯鈞,"6017","8142","2125"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3665貿聯-KY,"5835","6432","597"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,4958臻鼎-KY,"5473","13184","7711"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6669緯穎,"5459","8342","2883"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3131弘塑,"5449","11190","5741"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6488環球晶,"5209","11170","5961"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2313華通,"5123","14206","9083"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,8358金居,"4037","6994","2957"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2303聯電,"4013","51746","47733"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6173信昌電,"3947","13788","9841"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6274台燿,"3935","12009","8074"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2884玉山金,"3897","4132","235"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,8383千附,"3857","4350","493"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2481強茂,"3829","9771","5942"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,00646元大S＆P500,"3496","3542","46"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,1476儒鴻,"3421","3421","0"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6182合晶,"3395","6069","2674"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,4967十銓,"3333","4263","930"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3708上緯投控,"2989","2989","0"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,00640L富邦日本正2,"2972","2972","0"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3167大量,"2957","20413","17456"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,1409新纖,"2835","9233","6398"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2891中信金,"2813","2813","0"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3363上詮,"2810","8525","5715"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,3498陽程,"2756","3710","954"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6139亞翔,"2726","4156","1430"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,00673R期元大S＆P原油反1,"2707","2761","54"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,8028昇陽半導體,"2431","2927","496"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,2426鼎元,"2429","9577","7148"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6830汎銓,"2424","3579","1155"
永豐金,9A00,永豐金-市政,0039004100390057,Buy,6805富世達,"2421","2777","356"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,1303南亞,"-48497","29557","78054"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,3711日月光投控,"-34159","2351","36510"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,2382廣達,"-32861","2876","35737"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,6147頎邦,"-28255","21410","49665"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,00631L元大台灣50正2,"-25261","10385","35646"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,6442光聖,"-24751","38610","63361"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,3037欣興,"-19153","23670","42823"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,8996高力,"-19060","5045","24105"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,3481群創,"-17435","18195","35630"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,3406玉晶光,"-16686","8526","25212"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,3105穩懋,"-16518","19266","35784"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,2369菱生,"-15319","152","15471"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,6196帆宣,"-15099","1602","16701"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,6271同欣電,"-9826","683","10509"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,3231緯創,"-9798","12231","22029"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,3189景碩,"-9020","9973","18993"
永豐金,9A00,永豐金-市政,0039004100390057,Sell,6510精測,"-8113","112","8225"
