BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,2454聯發科,"20699","38898","18199"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,2344華邦電,"13019","28904","15885"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3008大立光,"7894","15758","7864"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,2308台達電,"7857","9534","1677"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,00919群益台灣精選高息,"7471","7601","130"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,2891中信金,"7214","13914","6700"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6217中探針,"6875","9595","2720"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,1815富喬,"6055","12441","6386"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6526達發,"5730","5831","101"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3017奇鋐,"5509","5630","121"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,2408南亞科,"5124","14137","9013"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6187萬潤,"4783","9628","4845"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3081聯亞,"4344","4562","218"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,5289宜鼎,"4154","8401","4247"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,2330台積電,"3706","11914","8208"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6669緯穎,"3599","6016","2417"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,4977眾達-KY,"2941","3920","979"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6182合晶,"2871","4427","1556"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3661世芯-KY,"2684","6848","4164"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6207雷科,"2520","3015","495"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,8299群聯,"2480","3363","883"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,8103瀚荃,"2395","2406","11"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3706神達,"2369","2370","1"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,00712復華富時不動產,"2100","2100","0"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3704合勤控,"2085","2085","0"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3665貿聯-KY,"2058","2060","2"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,1476儒鴻,"1922","1922","0"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6488環球晶,"1741","3230","1489"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,2451創見,"1725","1725","0"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3189景碩,"1693","24385","22692"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6442光聖,"1588","3580","1992"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,8210勤誠,"1554","1591","37"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3380明泰,"1522","1522","0"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,2313華通,"1510","3342","1832"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6179亞通,"1457","1884","427"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,00918大華優利高填息30,"1371","1442","71"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,5274信驊,"1362","1362","0"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,3163波若威,"1319","1590","271"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6643M31,"1253","1384","131"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6672騰輝電子-KY,"1229","1860","631"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,4908前鼎,"1189","1426","237"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,5234達興材料,"1184","1184","0"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6919康霈*,"1057","1633","576"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,8358金居,"1012","1117","105"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,2464盟立,"998","1645","647"
永豐金,9A00,永豐金-新竹,0039004100390037,Buy,6005群益證,"969","969","0"
