BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
第一金,5380,第一金-台南,5384,Buy,3661世芯-KY,"21936","25896","3960"
第一金,5380,第一金-台南,5384,Buy,2344華邦電,"16455","24748","8293"
第一金,5380,第一金-台南,5384,Buy,2327國巨*,"13867","41674","27807"
第一金,5380,第一金-台南,5384,Buy,2408南亞科,"8333","18308","9975"
第一金,5380,第一金-台南,5384,Buy,2376技嘉,"7487","7839","352"
第一金,5380,第一金-台南,5384,Buy,5880合庫金,"6666","6719","53"
第一金,5380,第一金-台南,5384,Buy,00919群益台灣精選高息,"6533","7466","933"
第一金,5380,第一金-台南,5384,Buy,6446藥華藥,"6113","6127","14"
第一金,5380,第一金-台南,5384,Buy,3037欣興,"5554","13303","7749"
第一金,5380,第一金-台南,5384,Buy,7610聯友金屬-創,"5265","5992","727"
第一金,5380,第一金-台南,5384,Buy,2454聯發科,"5153","21593","16440"
第一金,5380,第一金-台南,5384,Buy,1815富喬,"5065","11278","6213"
第一金,5380,第一金-台南,5384,Buy,6187萬潤,"4807","6157","1350"
第一金,5380,第一金-台南,5384,Buy,00918大華優利高填息30,"4592","4592","0"
第一金,5380,第一金-台南,5384,Buy,2313華通,"3710","6232","2522"
第一金,5380,第一金-台南,5384,Buy,3363上詮,"3694","5165","1471"
第一金,5380,第一金-台南,5384,Buy,8069元太,"3280","3280","0"
第一金,5380,第一金-台南,5384,Buy,3167大量,"3212","9593","6381"
第一金,5380,第一金-台南,5384,Buy,6672騰輝電子-KY,"3204","8232","5028"
第一金,5380,第一金-台南,5384,Buy,00891中信關鍵半導體,"3098","4321","1223"
第一金,5380,第一金-台南,5384,Buy,4967十銓,"3059","4241","1182"
第一金,5380,第一金-台南,5384,Buy,1303南亞,"2709","11094","8385"
第一金,5380,第一金-台南,5384,Buy,8112至上,"2629","4448","1819"
第一金,5380,第一金-台南,5384,Buy,2492華新科,"2463","9053","6590"
第一金,5380,第一金-台南,5384,Buy,1301台塑,"2270","3337","1067"
第一金,5380,第一金-台南,5384,Buy,6669緯穎,"2175","4802","2627"
