BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
第一金,5380,第一金-員林,5381,Buy,6213聯茂,"7921","11143","3222"
第一金,5380,第一金-員林,5381,Buy,2344華邦電,"3555","7942","4387"
第一金,5380,第一金-員林,5381,Buy,00919群益台灣精選高息,"3028","3225","197"
第一金,5380,第一金-員林,5381,Buy,3081聯亞,"2837","3229","392"
第一金,5380,第一金-員林,5381,Buy,1815富喬,"2509","6289","3780"
第一金,5380,第一金-員林,5381,Buy,2308台達電,"1975","2122","147"
第一金,5380,第一金-員林,5381,Buy,2327國巨*,"1943","6220","4277"
第一金,5380,第一金-員林,5381,Buy,6446藥華藥,"1802","3207","1405"
第一金,5380,第一金-員林,5381,Buy,2330台積電,"1797","2469","672"
第一金,5380,第一金-員林,5381,Buy,1303南亞,"1760","6592","4832"
第一金,5380,第一金-員林,5381,Buy,6187萬潤,"1592","2922","1330"
第一金,5380,第一金-員林,5381,Buy,2481強茂,"1579","3561","1982"
第一金,5380,第一金-員林,5381,Buy,2605新興,"1485","3867","2382"
第一金,5380,第一金-員林,5381,Buy,7828創新服務,"1321","1321","0"
第一金,5380,第一金-員林,5381,Buy,6207雷科,"1195","1195","0"
第一金,5380,第一金-員林,5381,Buy,2464盟立,"1172","1567","395"
第一金,5380,第一金-員林,5381,Buy,4576大銀微系統,"1122","1122","0"
第一金,5380,第一金-員林,5381,Buy,2882國泰金,"1108","1218","110"
第一金,5380,第一金-員林,5381,Buy,2408南亞科,"1061","4823","3762"
第一金,5380,第一金-員林,5381,Buy,2409友達,"1023","8129","7106"
第一金,5380,第一金-員林,5381,Buy,6409旭隼,"947","947","0"
第一金,5380,第一金-員林,5381,Buy,6890來億-KY,"944","1102","158"
第一金,5380,第一金-員林,5381,Buy,6547高端疫苗,"890","1820","930"
第一金,5380,第一金-員林,5381,Buy,2049上銀,"850","1287","437"
第一金,5380,第一金-員林,5381,Buy,5314世紀*,"838","1848","1010"
第一金,5380,第一金-員林,5381,Buy,6669緯穎,"829","5640","4811"
第一金,5380,第一金-員林,5381,Buy,6139亞翔,"765","1511","746"
第一金,5380,第一金-員林,5381,Buy,6515穎崴,"750","750","0"
第一金,5380,第一金-員林,5381,Buy,3260威剛,"742","830","88"
第一金,5380,第一金-員林,5381,Buy,2881富邦金,"738","738","0"
第一金,5380,第一金-員林,5381,Buy,2615萬海,"713","1063","350"
第一金,5380,第一金-員林,5381,Buy,8112至上,"708","802","94"
第一金,5380,第一金-員林,5381,Buy,6770力積電,"646","3627","2981"
第一金,5380,第一金-員林,5381,Buy,6197佳必琪,"609","609","0"
第一金,5380,第一金-員林,5381,Buy,3055蔚華科,"606","606","0"
第一金,5380,第一金-員林,5381,Buy,2887台新新光金,"604","604","0"
