BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3661世芯-KY,"23320","40173","16853"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,2344華邦電,"21825","27607","5782"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,2408南亞科,"9669","15652","5983"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,00984D主動聯博全球非投,"8746","8775","29"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,4931新盛力,"7171","8378","1207"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,2454聯發科,"5802","7511","1709"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3305昇貿,"5728","5728","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,8039台虹,"5034","10223","5189"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,6173信昌電,"3873","6591","2718"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,7795長廣,"3854","3854","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,1815富喬,"3764","6635","2871"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,2345智邦,"3757","4025","268"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3035智原,"3580","3580","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,5351鈺創,"3314","3785","471"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,6274台燿,"3259","14131","10872"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,6683雍智科技,"3063","4578","1515"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3189景碩,"3004","4552","1548"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,4958臻鼎-KY,"2644","9847","7203"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,8064東捷,"2430","6413","3983"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3583辛耘,"2236","2236","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,2492華新科,"1979","8737","6758"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,4967十銓,"1909","3949","2040"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,2313華通,"1792","2936","1144"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,8112至上,"1722","1722","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3016嘉晶,"1700","2005","305"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3167大量,"1683","3727","2044"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,2367燿華,"1590","1675","85"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,8042金山電,"1590","1820","230"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,4739康普,"1559","1863","304"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3363上詮,"1473","2207","734"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,00918大華優利高填息30,"1431","1822","391"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3217優群,"1417","1417","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,6187萬潤,"1401","1401","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,1303南亞,"1369","24427","23058"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,6271同欣電,"1351","1803","452"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,6669緯穎,"1322","1395","73"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,3714富采,"1300","1824","524"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,00712復華富時不動產,"1291","1721","430"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,00989B台新美國非投等債,"1219","1219","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,6706惠特,"1111","1111","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,4760勤凱,"1092","1092","0"
群益金鼎,9100,群益金鼎-中壢,0039003100380041,Buy,2464盟立,"1074","1270","196"
