BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
陽信,8710,陽信-台中,8715,Buy,3167大量,"1862","1862","0"
陽信,8710,陽信-台中,8715,Buy,2027大成鋼,"975","975","0"
陽信,8710,陽信-台中,8715,Buy,2605新興,"737","737","0"
陽信,8710,陽信-台中,8715,Buy,2492華新科,"681","4158","3477"
陽信,8710,陽信-台中,8715,Buy,8064東捷,"680","680","0"
陽信,8710,陽信-台中,8715,Buy,2409友達,"560","1311","751"
陽信,8710,陽信-台中,8715,Buy,3441聯一光,"416","416","0"
陽信,8710,陽信-台中,8715,Buy,00918大華優利高填息30,"355","355","0"
陽信,8710,陽信-台中,8715,Buy,3430奇鈦科,"315","315","0"
陽信,8710,陽信-台中,8715,Buy,8039台虹,"305","883","578"
陽信,8710,陽信-台中,8715,Buy,5864致和證,"295","295","0"
陽信,8710,陽信-台中,8715,Buy,6173信昌電,"278","278","0"
陽信,8710,陽信-台中,8715,Buy,6533晶心科,"257","257","0"
陽信,8710,陽信-台中,8715,Buy,1815富喬,"254","254","0"
陽信,8710,陽信-台中,8715,Buy,2603長榮,"229","229","0"
陽信,8710,陽信-台中,8715,Buy,1718中纖,"214","214","0"
陽信,8710,陽信-台中,8715,Buy,2344華邦電,"191","373","182"
陽信,8710,陽信-台中,8715,Buy,3231緯創,"189","189","0"
陽信,8710,陽信-台中,8715,Buy,2330台積電,"186","186","0"
陽信,8710,陽信-台中,8715,Buy,2609陽明,"175","175","0"
陽信,8710,陽信-台中,8715,Buy,2327國巨*,"169","738","569"
陽信,8710,陽信-台中,8715,Buy,3661世芯-KY,"165","4100","3935"
陽信,8710,陽信-台中,8715,Buy,2481強茂,"151","151","0"
陽信,8710,陽信-台中,8715,Buy,6182合晶,"110","110","0"
陽信,8710,陽信-台中,8715,Buy,2812台中銀,"96","191","95"
陽信,8710,陽信-台中,8715,Buy,5340建榮,"86","86","0"
陽信,8710,陽信-台中,8715,Buy,3706神達,"82","82","0"
陽信,8710,陽信-台中,8715,Buy,00712復華富時不動產,"69","69","0"
陽信,8710,陽信-台中,8715,Buy,1802台玻,"60","181","121"
陽信,8710,陽信-台中,8715,Buy,9945潤泰新,"56","56","0"
陽信,8710,陽信-台中,8715,Buy,3033威健,"42","42","0"
