BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
陽信,8710,陽信-石牌,8711,Buy,2330台積電,"52958","67399","14441"
陽信,8710,陽信-石牌,8711,Buy,2492華新科,"15824","17107","1283"
陽信,8710,陽信-石牌,8711,Buy,5274信驊,"9380","9380","0"
陽信,8710,陽信-石牌,8711,Buy,2344華邦電,"8174","14289","6115"
陽信,8710,陽信-石牌,8711,Buy,00933B國泰10Y+金融債,"6920","6920","0"
陽信,8710,陽信-石牌,8711,Buy,2812台中銀,"5297","5297","0"
陽信,8710,陽信-石牌,8711,Buy,1590亞德客-KY,"5180","5180","0"
陽信,8710,陽信-石牌,8711,Buy,1815富喬,"4942","7232","2290"
陽信,8710,陽信-石牌,8711,Buy,00919群益台灣精選高息,"4483","4744","261"
陽信,8710,陽信-石牌,8711,Buy,2059川湖,"3763","3763","0"
陽信,8710,陽信-石牌,8711,Buy,00406A主動中信台灣收益,"3745","4281","536"
陽信,8710,陽信-石牌,8711,Buy,0050元大台灣50,"3672","10102","6430"
陽信,8710,陽信-石牌,8711,Buy,2408南亞科,"3487","7914","4427"
陽信,8710,陽信-石牌,8711,Buy,3661世芯-KY,"3379","15099","11720"
陽信,8710,陽信-石牌,8711,Buy,2357華碩,"2932","2932","0"
陽信,8710,陽信-石牌,8711,Buy,2303聯電,"2658","11145","8487"
陽信,8710,陽信-石牌,8711,Buy,2353宏碁,"2581","2928","347"
陽信,8710,陽信-石牌,8711,Buy,6830汎銓,"1710","2308","598"
陽信,8710,陽信-石牌,8711,Buy,2027大成鋼,"1697","1751","54"
陽信,8710,陽信-石牌,8711,Buy,6788華景電,"1651","3069","1418"
陽信,8710,陽信-石牌,8711,Buy,6907雅特力-KY,"1597","1794","197"
陽信,8710,陽信-石牌,8711,Buy,3450聯鈞,"1571","1571","0"
陽信,8710,陽信-石牌,8711,Buy,6442光聖,"1524","1700","176"
陽信,8710,陽信-石牌,8711,Buy,6727亞泰金屬,"1505","2035","530"
陽信,8710,陽信-石牌,8711,Buy,3491昇達科,"1495","2995","1500"
陽信,8710,陽信-石牌,8711,Buy,00937B群益ESG投等債20,"1433","1433","0"
陽信,8710,陽信-石牌,8711,Buy,3363上詮,"1433","1433","0"
陽信,8710,陽信-石牌,8711,Buy,6683雍智科技,"1390","1390","0"
陽信,8710,陽信-石牌,8711,Buy,00679B元大美債20年,"1278","1278","0"
陽信,8710,陽信-石牌,8711,Buy,4967十銓,"1125","1410","285"
陽信,8710,陽信-石牌,8711,Buy,6173信昌電,"1117","2194","1077"
陽信,8710,陽信-石牌,8711,Buy,2883凱基金,"972","2984","2012"
陽信,8710,陽信-石牌,8711,Buy,00981D主動中信非投等債,"939","939","0"
陽信,8710,陽信-石牌,8711,Buy,2399映泰,"913","913","0"
陽信,8710,陽信-石牌,8711,Buy,6426統新,"905","1200","295"
陽信,8710,陽信-石牌,8711,Buy,3706神達,"896","896","0"
陽信,8710,陽信-石牌,8711,Buy,2392正崴,"850","850","0"
陽信,8710,陽信-石牌,8711,Buy,4749新應材,"770","770","0"
陽信,8710,陽信-石牌,8711,Buy,00795B中信美國公債20年,"770","770","0"
陽信,8710,陽信-石牌,8711,Buy,6640均華,"749","1190","441"
陽信,8710,陽信-石牌,8711,Buy,00896中信綠能及電動車,"718","718","0"
陽信,8710,陽信-石牌,8711,Buy,00918大華優利高填息30,"710","710","0"
陽信,8710,陽信-石牌,8711,Buy,4903聯光通,"691","691","0"
陽信,8710,陽信-石牌,8711,Buy,2425承啟,"672","672","0"
陽信,8710,陽信-石牌,8711,Buy,5009榮剛,"650","650","0"
陽信,8710,陽信-石牌,8711,Buy,3441聯一光,"607","2956","2349"
陽信,8710,陽信-石牌,8711,Buy,00961FT臺灣永續高息,"606","606","0"
陽信,8710,陽信-石牌,8711,Buy,6770力積電,"592","6159","5567"
陽信,8710,陽信-石牌,8711,Buy,2634漢翔,"588","588","0"
陽信,8710,陽信-石牌,8711,Buy,6949沛爾生醫*-創,"561","840","279"
