BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-北投,0039003800390041,Buy,2308台達電,"41548","46931","5383"
元大證券,9800,元大-北投,0039003800390041,Buy,1301台塑,"33415","33481","66"
元大證券,9800,元大-北投,0039003800390041,Buy,3037欣興,"21865","39460","17595"
元大證券,9800,元大-北投,0039003800390041,Buy,7610聯友金屬-創,"19581","21799","2218"
元大證券,9800,元大-北投,0039003800390041,Buy,3231緯創,"15076","18270","3194"
元大證券,9800,元大-北投,0039003800390041,Buy,2324仁寶,"13736","22883","9147"
元大證券,9800,元大-北投,0039003800390041,Buy,00679B元大美債20年,"7484","7662","178"
元大證券,9800,元大-北投,0039003800390041,Buy,2454聯發科,"7123","87578","80455"
元大證券,9800,元大-北投,0039003800390041,Buy,6451訊芯-KY,"6897","6897","0"
元大證券,9800,元大-北投,0039003800390041,Buy,6488環球晶,"6741","8767","2026"
元大證券,9800,元大-北投,0039003800390041,Buy,6409旭隼,"6428","6428","0"
元大證券,9800,元大-北投,0039003800390041,Buy,2368金像電,"5658","9849","4191"
元大證券,9800,元大-北投,0039003800390041,Buy,9904寶成,"5616","5616","0"
元大證券,9800,元大-北投,0039003800390041,Buy,2327國巨*,"5306","17041","11735"
元大證券,9800,元大-北投,0039003800390041,Buy,2344華邦電,"4986","8058","3072"
元大證券,9800,元大-北投,0039003800390041,Buy,3376新日興,"4850","5805","955"
元大證券,9800,元大-北投,0039003800390041,Buy,3036文曄,"4469","4664","195"
元大證券,9800,元大-北投,0039003800390041,Buy,6271同欣電,"4460","4898","438"
元大證券,9800,元大-北投,0039003800390041,Buy,00685L群益臺灣加權正2,"3981","3993","12"
元大證券,9800,元大-北投,0039003800390041,Buy,2345智邦,"3779","3779","0"
元大證券,9800,元大-北投,0039003800390041,Buy,2409友達,"3735","16232","12497"
元大證券,9800,元大-北投,0039003800390041,Buy,8046南電,"3557","3557","0"
元大證券,9800,元大-北投,0039003800390041,Buy,2609陽明,"3455","4116","661"
元大證券,9800,元大-北投,0039003800390041,Buy,009816凱基台灣TOP50,"3380","3620","240"
元大證券,9800,元大-北投,0039003800390041,Buy,3715定穎投控,"3141","4542","1401"
元大證券,9800,元大-北投,0039003800390041,Buy,4958臻鼎-KY,"3043","5588","2545"
元大證券,9800,元大-北投,0039003800390041,Buy,2356英業達,"2936","3062","126"
元大證券,9800,元大-北投,0039003800390041,Buy,5314世紀*,"2845","3228","383"
元大證券,9800,元大-北投,0039003800390041,Buy,2889國票金,"2759","2760","1"
元大證券,9800,元大-北投,0039003800390041,Buy,6683雍智科技,"2642","2642","0"
元大證券,9800,元大-北投,0039003800390041,Buy,2049上銀,"2604","2969","365"
元大證券,9800,元大-北投,0039003800390041,Buy,6442光聖,"2568","9220","6652"
元大證券,9800,元大-北投,0039003800390041,Buy,4979華星光,"2401","5978","3577"
元大證券,9800,元大-北投,0039003800390041,Buy,3042晶技,"2327","5726","3399"
