BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-大同,0039003800390047,Buy,4958臻鼎-KY,"50005","54083","4078"
元大證券,9800,元大-大同,0039003800390047,Buy,2451創見,"41372","41372","0"
元大證券,9800,元大-大同,0039003800390047,Buy,2308台達電,"29409","31651","2242"
元大證券,9800,元大-大同,0039003800390047,Buy,6147頎邦,"26142","30989","4847"
元大證券,9800,元大-大同,0039003800390047,Buy,8112至上,"24335","24591","256"
元大證券,9800,元大-大同,0039003800390047,Buy,5289宜鼎,"19750","22340","2590"
元大證券,9800,元大-大同,0039003800390047,Buy,3042晶技,"17683","19270","1587"
元大證券,9800,元大-大同,0039003800390047,Buy,2408南亞科,"16222","21440","5218"
元大證券,9800,元大-大同,0039003800390047,Buy,7734印能科技,"14482","17292","2810"
元大證券,9800,元大-大同,0039003800390047,Buy,8046南電,"10374","12525","2151"
元大證券,9800,元大-大同,0039003800390047,Buy,3017奇鋐,"10024","27764","17740"
元大證券,9800,元大-大同,0039003800390047,Buy,3037欣興,"9891","29330","19439"
元大證券,9800,元大-大同,0039003800390047,Buy,2330台積電,"6958","13585","6627"
元大證券,9800,元大-大同,0039003800390047,Buy,6446藥華藥,"5568","6883","1315"
元大證券,9800,元大-大同,0039003800390047,Buy,2049上銀,"5353","5843","490"
元大證券,9800,元大-大同,0039003800390047,Buy,3231緯創,"5219","9145","3926"
元大證券,9800,元大-大同,0039003800390047,Buy,00918大華優利高填息30,"5149","5202","53"
元大證券,9800,元大-大同,0039003800390047,Buy,3293鈊象,"5093","5093","0"
元大證券,9800,元大-大同,0039003800390047,Buy,3491昇達科,"4475","4475","0"
元大證券,9800,元大-大同,0039003800390047,Buy,3693營邦,"4121","8341","4220"
元大證券,9800,元大-大同,0039003800390047,Buy,5536聖暉*,"4079","4079","0"
元大證券,9800,元大-大同,0039003800390047,Buy,3481群創,"3843","6377","2534"
元大證券,9800,元大-大同,0039003800390047,Buy,6510精測,"3801","3838","37"
元大證券,9800,元大-大同,0039003800390047,Buy,8299群聯,"3724","4565","841"
元大證券,9800,元大-大同,0039003800390047,Buy,3167大量,"3602","8016","4414"
元大證券,9800,元大-大同,0039003800390047,Buy,00406A主動中信台灣收益,"3501","3573","72"
元大證券,9800,元大-大同,0039003800390047,Buy,3605宏致,"3310","4206","896"
元大證券,9800,元大-大同,0039003800390047,Buy,3376新日興,"3299","5503","2204"
元大證券,9800,元大-大同,0039003800390047,Buy,6505台塑化,"2961","15896","12935"
元大證券,9800,元大-大同,0039003800390047,Buy,00919群益台灣精選高息,"2882","3159","277"
元大證券,9800,元大-大同,0039003800390047,Buy,3529力旺,"2754","5548","2794"
元大證券,9800,元大-大同,0039003800390047,Buy,6187萬潤,"2707","5277","2570"
元大證券,9800,元大-大同,0039003800390047,Buy,1409新纖,"2552","4184","1632"
元大證券,9800,元大-大同,0039003800390047,Buy,6488環球晶,"2355","4215","1860"
元大證券,9800,元大-大同,0039003800390047,Buy,2645長榮航太,"2262","2262","0"
元大證券,9800,元大-大同,0039003800390047,Buy,1504東元,"2253","2253","0"
元大證券,9800,元大-大同,0039003800390047,Buy,7828創新服務,"2245","2245","0"
元大證券,9800,元大-大同,0039003800390047,Buy,2313華通,"2101","3032","931"
元大證券,9800,元大-大同,0039003800390047,Buy,8069元太,"2078","2078","0"
元大證券,9800,元大-大同,0039003800390047,Buy,2891中信金,"1945","2012","67"
元大證券,9800,元大-大同,0039003800390047,Buy,4961天鈺,"1725","1725","0"
元大證券,9800,元大-大同,0039003800390047,Buy,2324仁寶,"1648","1764","116"
元大證券,9800,元大-大同,0039003800390047,Buy,8054安國,"1567","1567","0"
元大證券,9800,元大-大同,0039003800390047,Buy,00882中信中國高股息,"1554","1598","44"
元大證券,9800,元大-大同,0039003800390047,Buy,7751竑騰,"1540","1540","0"
元大證券,9800,元大-大同,0039003800390047,Buy,2337旺宏,"1535","2524","989"
元大證券,9800,元大-大同,0039003800390047,Buy,6937天虹,"1470","4214","2744"
元大證券,9800,元大-大同,0039003800390047,Buy,2615萬海,"1453","3595","2142"
元大證券,9800,元大-大同,0039003800390047,Buy,6781AES-KY,"1410","1410","0"
元大證券,9800,元大-大同,0039003800390047,Buy,5388中磊,"1366","1366","0"
元大證券,9800,元大-大同,0039003800390047,Sell,2303聯電,"-41020","18454","59474"
元大證券,9800,元大-大同,0039003800390047,Sell,2454聯發科,"-29618","2254","31872"
元大證券,9800,元大-大同,0039003800390047,Sell,5347世界,"-22876","2561","25437"
元大證券,9800,元大-大同,0039003800390047,Sell,3363上詮,"-16970","16553","33523"
元大證券,9800,元大-大同,0039003800390047,Sell,00933B國泰10Y+金融債,"-16915","31","16946"
元大證券,9800,元大-大同,0039003800390047,Sell,2344華邦電,"-15571","28023","43594"
元大證券,9800,元大-大同,0039003800390047,Sell,6173信昌電,"-13694","4858","18552"
元大證券,9800,元大-大同,0039003800390047,Sell,6532瑞耘,"-9718","0","9718"
元大證券,9800,元大-大同,0039003800390047,Sell,6442光聖,"-9011","12","9023"
元大證券,9800,元大-大同,0039003800390047,Sell,3443創意,"-6038","766","6804"
元大證券,9800,元大-大同,0039003800390047,Sell,3008大立光,"-5934","7771","13705"
元大證券,9800,元大-大同,0039003800390047,Sell,3081聯亞,"-5583","3152","8735"
元大證券,9800,元大-大同,0039003800390047,Sell,3189景碩,"-5465","4081","9546"
元大證券,9800,元大-大同,0039003800390047,Sell,7610聯友金屬-創,"-5390","460","5850"
元大證券,9800,元大-大同,0039003800390047,Sell,6770力積電,"-4787","2700","7487"
元大證券,9800,元大-大同,0039003800390047,Sell,3711日月光投控,"-4616","1168","5784"
元大證券,9800,元大-大同,0039003800390047,Sell,00632R元大台灣50反1,"-4376","88","4464"
元大證券,9800,元大-大同,0039003800390047,Sell,3026禾伸堂,"-3985","4164","8149"
元大證券,9800,元大-大同,0039003800390047,Sell,3661世芯-KY,"-3731","9265","12996"
元大證券,9800,元大-大同,0039003800390047,Sell,2327國巨*,"-3576","7090","10666"
元大證券,9800,元大-大同,0039003800390047,Sell,5386青雲,"-3576","0","3576"
元大證券,9800,元大-大同,0039003800390047,Sell,6531愛普*,"-3445","11529","14974"
元大證券,9800,元大-大同,0039003800390047,Sell,5483中美晶,"-2844","546","3390"
元大證券,9800,元大-大同,0039003800390047,Sell,1815富喬,"-2488","4378","6866"
元大證券,9800,元大-大同,0039003800390047,Sell,3406玉晶光,"-2388","9662","12050"
元大證券,9800,元大-大同,0039003800390047,Sell,2492華新科,"-1931","6701","8632"
元大證券,9800,元大-大同,0039003800390047,Sell,1303南亞,"-1690","9196","10886"
元大證券,9800,元大-大同,0039003800390047,Sell,3019亞光,"-1547","0","1547"
元大證券,9800,元大-大同,0039003800390047,Sell,6257矽格,"-1506","1796","3302"
元大證券,9800,元大-大同,0039003800390047,Sell,2731雄獅,"-1445","142","1587"
元大證券,9800,元大-大同,0039003800390047,Sell,2845遠東銀,"-1327","13","1340"
元大證券,9800,元大-大同,0039003800390047,Sell,00878國泰永續高股息,"-1284","369","1653"
元大證券,9800,元大-大同,0039003800390047,Sell,00888永豐台灣ESG,"-1283","0","1283"
元大證券,9800,元大-大同,0039003800390047,Sell,3264欣銓,"-1211","1818","3029"
元大證券,9800,元大-大同,0039003800390047,Sell,00929復華台灣科技優息,"-1132","174","1306"
元大證券,9800,元大-大同,0039003800390047,Sell,3362先進光,"-1087","24","1111"
元大證券,9800,元大-大同,0039003800390047,Sell,3006晶豪科,"-1061","8172","9233"
元大證券,9800,元大-大同,0039003800390047,Sell,00400A主動國泰動能高息,"-1023","89","1112"
元大證券,9800,元大-大同,0039003800390047,Sell,6291沛亨,"-1013","5935","6948"
元大證券,9800,元大-大同,0039003800390047,Sell,6789采鈺,"-938","0","938"
元大證券,9800,元大-大同,0039003800390047,Sell,4915致伸,"-931","124","1055"
元大證券,9800,元大-大同,0039003800390047,Sell,6213聯茂,"-923","1183","2106"
元大證券,9800,元大-大同,0039003800390047,Sell,3702大聯大,"-883","834","1717"
元大證券,9800,元大-大同,0039003800390047,Sell,5234達興材料,"-873","0","873"
元大證券,9800,元大-大同,0039003800390047,Sell,00631L元大台灣50正2,"-826","1689","2515"
元大證券,9800,元大-大同,0039003800390047,Sell,2464盟立,"-789","409","1198"
元大證券,9800,元大-大同,0039003800390047,Sell,00891中信關鍵半導體,"-754","50","804"
元大證券,9800,元大-大同,0039003800390047,Sell,3016嘉晶,"-753","557","1310"
元大證券,9800,元大-大同,0039003800390047,Sell,2305全友,"-746","190","936"
元大證券,9800,元大-大同,0039003800390047,Sell,3149正達,"-723","3","726"
