BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-景美,0039003800340048,Buy,2308台達電,"21488","25184","3696"
元大證券,9800,元大-景美,0039003800340048,Buy,2492華新科,"12686","15929","3243"
元大證券,9800,元大-景美,0039003800340048,Buy,2303聯電,"6098","14690","8592"
元大證券,9800,元大-景美,0039003800340048,Buy,5483中美晶,"5363","5363","0"
元大證券,9800,元大-景美,0039003800340048,Buy,3661世芯-KY,"5189","5209","20"
元大證券,9800,元大-景美,0039003800340048,Buy,3026禾伸堂,"4541","11892","7351"
元大證券,9800,元大-景美,0039003800340048,Buy,6147頎邦,"4514","7838","3324"
元大證券,9800,元大-景美,0039003800340048,Buy,3167大量,"4236","5109","873"
元大證券,9800,元大-景美,0039003800340048,Buy,2337旺宏,"3839","4582","743"
元大證券,9800,元大-景美,0039003800340048,Buy,6442光聖,"3499","7038","3539"
元大證券,9800,元大-景美,0039003800340048,Buy,3081聯亞,"3220","8903","5683"
元大證券,9800,元大-景美,0039003800340048,Buy,2368金像電,"3071","3331","260"
元大證券,9800,元大-景美,0039003800340048,Buy,2356英業達,"3032","3479","447"
元大證券,9800,元大-景美,0039003800340048,Buy,8040九暘,"2843","3244","401"
元大證券,9800,元大-景美,0039003800340048,Buy,00909國泰數位支付服務,"2804","2804","0"
元大證券,9800,元大-景美,0039003800340048,Buy,00981A主動統一台股增長,"2732","3824","1092"
元大證券,9800,元大-景美,0039003800340048,Buy,1409新纖,"2727","2882","155"
元大證券,9800,元大-景美,0039003800340048,Buy,8996高力,"2693","7898","5205"
元大證券,9800,元大-景美,0039003800340048,Buy,2330台積電,"2550","2859","309"
元大證券,9800,元大-景美,0039003800340048,Buy,3374精材,"2528","3023","495"
元大證券,9800,元大-景美,0039003800340048,Buy,3037欣興,"2492","14953","12461"
元大證券,9800,元大-景美,0039003800340048,Buy,6139亞翔,"2449","2449","0"
元大證券,9800,元大-景美,0039003800340048,Buy,8046南電,"2311","9876","7565"
元大證券,9800,元大-景美,0039003800340048,Buy,2377微星,"2280","2429","149"
元大證券,9800,元大-景美,0039003800340048,Buy,3532台勝科,"2218","2628","410"
元大證券,9800,元大-景美,0039003800340048,Buy,7610聯友金屬-創,"2118","2130","12"
元大證券,9800,元大-景美,0039003800340048,Buy,2887台新新光金,"1900","1900","0"
元大證券,9800,元大-景美,0039003800340048,Buy,6488環球晶,"1867","2838","971"
元大證券,9800,元大-景美,0039003800340048,Buy,00406A主動中信台灣收益,"1828","1830","2"
元大證券,9800,元大-景美,0039003800340048,Buy,5536聖暉*,"1740","1740","0"
元大證券,9800,元大-景美,0039003800340048,Buy,3450聯鈞,"1595","1595","0"
元大證券,9800,元大-景美,0039003800340048,Buy,5386青雲,"1555","1555","0"
元大證券,9800,元大-景美,0039003800340048,Buy,00929復華台灣科技優息,"1540","1540","0"
元大證券,9800,元大-景美,0039003800340048,Buy,3491昇達科,"1419","1419","0"
元大證券,9800,元大-景美,0039003800340048,Buy,3231緯創,"1361","3883","2522"
元大證券,9800,元大-景美,0039003800340048,Buy,00919群益台灣精選高息,"1337","1435","98"
元大證券,9800,元大-景美,0039003800340048,Buy,2344華邦電,"1241","4179","2938"
元大證券,9800,元大-景美,0039003800340048,Buy,3211順達,"1227","1605","378"
元大證券,9800,元大-景美,0039003800340048,Buy,3189景碩,"1158","5319","4161"
元大證券,9800,元大-景美,0039003800340048,Buy,00918大華優利高填息30,"1127","1339","212"
元大證券,9800,元大-景美,0039003800340048,Buy,2603長榮,"1111","4630","3519"
元大證券,9800,元大-景美,0039003800340048,Buy,00687B國泰20年美債,"1096","1096","0"
元大證券,9800,元大-景美,0039003800340048,Buy,1785光洋科,"1086","1185","99"
元大證券,9800,元大-景美,0039003800340048,Buy,6919康霈*,"1084","1338","254"
元大證券,9800,元大-景美,0039003800340048,Buy,2801彰銀,"1078","1086","8"
元大證券,9800,元大-景美,0039003800340048,Buy,7795長廣,"1078","1078","0"
元大證券,9800,元大-景美,0039003800340048,Buy,3042晶技,"1069","1418","349"
元大證券,9800,元大-景美,0039003800340048,Buy,009817國泰日本不動產,"1046","1046","0"
元大證券,9800,元大-景美,0039003800340048,Buy,00685L群益臺灣加權正2,"1018","1361","343"
元大證券,9800,元大-景美,0039003800340048,Buy,2027大成鋼,"1016","1016","0"
元大證券,9800,元大-景美,0039003800340048,Sell,2327國巨*,"-16083","7552","23635"
元大證券,9800,元大-景美,0039003800340048,Sell,1303南亞,"-7255","4347","11602"
元大證券,9800,元大-景美,0039003800340048,Sell,4979華星光,"-6475","5617","12092"
元大證券,9800,元大-景美,0039003800340048,Sell,1560中砂,"-5929","0","5929"
元大證券,9800,元大-景美,0039003800340048,Sell,2345智邦,"-5836","59","5895"
元大證券,9800,元大-景美,0039003800340048,Sell,3702大聯大,"-5782","0","5782"
元大證券,9800,元大-景美,0039003800340048,Sell,2454聯發科,"-3740","470","4210"
元大證券,9800,元大-景美,0039003800340048,Sell,3017奇鋐,"-3363","17284","20647"
元大證券,9800,元大-景美,0039003800340048,Sell,00830國泰費城半導體,"-3357","124","3481"
元大證券,9800,元大-景美,0039003800340048,Sell,6213聯茂,"-3106","1554","4660"
元大證券,9800,元大-景美,0039003800340048,Sell,2485兆赫,"-2297","80","2377"
元大證券,9800,元大-景美,0039003800340048,Sell,3209全科,"-2077","0","2077"
元大證券,9800,元大-景美,0039003800340048,Sell,8039台虹,"-1969","1960","3929"
元大證券,9800,元大-景美,0039003800340048,Sell,7828創新服務,"-1966","46","2012"
元大證券,9800,元大-景美,0039003800340048,Sell,00738U期元大道瓊白銀,"-1771","0","1771"
元大證券,9800,元大-景美,0039003800340048,Sell,3324雙鴻,"-1473","0","1473"
元大證券,9800,元大-景美,0039003800340048,Sell,6274台燿,"-1392","69","1461"
元大證券,9800,元大-景美,0039003800340048,Sell,6907雅特力-KY,"-1359","0","1359"
元大證券,9800,元大-景美,0039003800340048,Sell,6770力積電,"-1346","3098","4444"
元大證券,9800,元大-景美,0039003800340048,Sell,2409友達,"-1231","7824","9055"
元大證券,9800,元大-景美,0039003800340048,Sell,1215卜蜂,"-1222","0","1222"
元大證券,9800,元大-景美,0039003800340048,Sell,3006晶豪科,"-1009","2398","3407"
元大證券,9800,元大-景美,0039003800340048,Sell,3443創意,"-1004","130","1134"
元大證券,9800,元大-景美,0039003800340048,Sell,2883凱基金,"-971","964","1935"
元大證券,9800,元大-景美,0039003800340048,Sell,8299群聯,"-964","287","1251"
元大證券,9800,元大-景美,0039003800340048,Sell,3016嘉晶,"-870","207","1077"
元大證券,9800,元大-景美,0039003800340048,Sell,8358金居,"-849","190","1039"
元大證券,9800,元大-景美,0039003800340048,Sell,3711日月光投控,"-843","5488","6331"
元大證券,9800,元大-景美,0039003800340048,Sell,3388崇越電,"-830","0","830"
元大證券,9800,元大-景美,0039003800340048,Sell,2406國碩,"-808","0","808"
元大證券,9800,元大-景美,0039003800340048,Sell,6257矽格,"-805","526","1331"
元大證券,9800,元大-景美,0039003800340048,Sell,6173信昌電,"-798","2302","3100"
元大證券,9800,元大-景美,0039003800340048,Sell,2615萬海,"-743","1222","1965"
元大證券,9800,元大-景美,0039003800340048,Sell,2379瑞昱,"-709","2","711"
元大證券,9800,元大-景美,0039003800340048,Sell,6830汎銓,"-708","0","708"
元大證券,9800,元大-景美,0039003800340048,Sell,1519華城,"-682","253","935"
元大證券,9800,元大-景美,0039003800340048,Sell,8103瀚荃,"-654","0","654"
元大證券,9800,元大-景美,0039003800340048,Sell,6937天虹,"-612","0","612"
元大證券,9800,元大-景美,0039003800340048,Sell,2313華通,"-599","1671","2270"
元大證券,9800,元大-景美,0039003800340048,Sell,00993A主動安聯台灣,"-536","0","536"
元大證券,9800,元大-景美,0039003800340048,Sell,5876上海商銀,"-526","0","526"
元大證券,9800,元大-景美,0039003800340048,Sell,5347世界,"-498","162","660"
元大證券,9800,元大-景美,0039003800340048,Sell,00409A主動復華全球50,"-488","0","488"
元大證券,9800,元大-景美,0039003800340048,Sell,2882國泰金,"-443","110","553"
元大證券,9800,元大-景美,0039003800340048,Sell,6811宏碁資訊,"-441","0","441"
元大證券,9800,元大-景美,0039003800340048,Sell,00865B國泰US短期公債,"-435","0","435"
元大證券,9800,元大-景美,0039003800340048,Sell,6239力成,"-428","2278","2706"
元大證券,9800,元大-景美,0039003800340048,Sell,2885元大金,"-424","5","429"
元大證券,9800,元大-景美,0039003800340048,Sell,2412中華電,"-418","1","419"
元大證券,9800,元大-景美,0039003800340048,Sell,1514亞力,"-410","0","410"
