BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
美林,1440,美林,1440,Buy,2884玉山金,"732059","765353","33294"
美林,1440,美林,1440,Buy,2330台積電,"532365","1937186","1404821"
美林,1440,美林,1440,Buy,2327國巨*,"519352","687004","167652"
美林,1440,美林,1440,Buy,1303南亞,"478178","645731","167553"
美林,1440,美林,1440,Buy,2059川湖,"471645","509170","37525"
美林,1440,美林,1440,Buy,3037欣興,"392767","596652","203885"
美林,1440,美林,1440,Buy,3711日月光投控,"331963","861674","529711"
美林,1440,美林,1440,Buy,5347世界,"301165","302925","1760"
美林,1440,美林,1440,Buy,2360致茂,"215375","302495","87120"
美林,1440,美林,1440,Buy,2357華碩,"206670","275503","68833"
美林,1440,美林,1440,Buy,2454聯發科,"171159","728272","557113"
美林,1440,美林,1440,Buy,3231緯創,"166581","746624","580043"
美林,1440,美林,1440,Buy,2609陽明,"141468","155186","13718"
美林,1440,美林,1440,Buy,2301光寶科,"141364","241970","100606"
美林,1440,美林,1440,Buy,6415矽力*-KY,"140694","164768","24074"
美林,1440,美林,1440,Buy,2603長榮,"134379","161869","27490"
美林,1440,美林,1440,Buy,2049上銀,"115371","165196","49825"
美林,1440,美林,1440,Buy,2345智邦,"111786","175563","63777"
美林,1440,美林,1440,Buy,3450聯鈞,"106276","111952","5676"
美林,1440,美林,1440,Buy,2303聯電,"104017","344515","240498"
美林,1440,美林,1440,Buy,3363上詮,"85466","99826","14360"
美林,1440,美林,1440,Buy,5274信驊,"83128","505958","422830"
美林,1440,美林,1440,Buy,7828創新服務,"79328","89768","10440"
美林,1440,美林,1440,Buy,3006晶豪科,"79101","159306","80205"
美林,1440,美林,1440,Buy,3189景碩,"77631","191801","114170"
美林,1440,美林,1440,Buy,3264欣銓,"72114","158242","86128"
美林,1440,美林,1440,Buy,2481強茂,"69716","122066","52350"
美林,1440,美林,1440,Buy,6257矽格,"63415","97185","33770"
美林,1440,美林,1440,Buy,6531愛普*,"63313","91883","28570"
美林,1440,美林,1440,Buy,2891中信金,"60649","96342","35693"
美林,1440,美林,1440,Buy,6449鈺邦,"59107","82072","22965"
美林,1440,美林,1440,Buy,2883凱基金,"52862","68574","15712"
美林,1440,美林,1440,Buy,3533嘉澤,"50935","69965","19030"
美林,1440,美林,1440,Buy,2912統一超,"48468","48468","0"
美林,1440,美林,1440,Buy,3036文曄,"44865","56387","11522"
美林,1440,美林,1440,Buy,2354鴻準,"44528","45042","514"
美林,1440,美林,1440,Buy,1605華新,"43666","47760","4094"
美林,1440,美林,1440,Buy,2344華邦電,"43127","187812","144685"
美林,1440,美林,1440,Buy,1301台塑,"39948","65444","25496"
美林,1440,美林,1440,Buy,3034聯詠,"35831","53245","17414"
美林,1440,美林,1440,Buy,2395研華,"34216","50555","16339"
美林,1440,美林,1440,Buy,6213聯茂,"30872","32410","1538"
美林,1440,美林,1440,Buy,6442光聖,"29550","81940","52390"
美林,1440,美林,1440,Buy,4904遠傳,"29271","29271","0"
美林,1440,美林,1440,Buy,1503士電,"28932","35459","6527"
美林,1440,美林,1440,Buy,2356英業達,"27247","55635","28388"
美林,1440,美林,1440,Buy,5314世紀*,"27207","27580","373"
美林,1440,美林,1440,Buy,2351順德,"26628","45247","18619"
美林,1440,美林,1440,Buy,2812台中銀,"26452","26586","134"
美林,1440,美林,1440,Buy,1312國喬,"22597","27456","4859"
美林,1440,美林,1440,Sell,2308台達電,"-2411647","438883","2850530"
美林,1440,美林,1440,Sell,3008大立光,"-445620","216510","662130"
美林,1440,美林,1440,Sell,3406玉晶光,"-225115","58315","283430"
美林,1440,美林,1440,Sell,6274台燿,"-201990","1360","203350"
美林,1440,美林,1440,Sell,2886兆豐金,"-199200","8790","207990"
美林,1440,美林,1440,Sell,2409友達,"-194619","144110","338729"
美林,1440,美林,1440,Sell,6515穎崴,"-184940","21160","206100"
美林,1440,美林,1440,Sell,2615萬海,"-168441","107836","276277"
美林,1440,美林,1440,Sell,3042晶技,"-138050","41298","179348"
美林,1440,美林,1440,Sell,2887台新新光金,"-133759","8784","142543"
美林,1440,美林,1440,Sell,3491昇達科,"-121330","0","121330"
美林,1440,美林,1440,Sell,2317鴻海,"-117653","398958","516611"
美林,1440,美林,1440,Sell,2382廣達,"-115588","54281","169869"
美林,1440,美林,1440,Sell,3443創意,"-105750","127665","233415"
美林,1440,美林,1440,Sell,1590亞德客-KY,"-101820","41745","143565"
美林,1440,美林,1440,Sell,6223旺矽,"-101155","50405","151560"
美林,1440,美林,1440,Sell,2337旺宏,"-96808","14608","111416"
美林,1440,美林,1440,Sell,2412中華電,"-90485","6274","96759"
美林,1440,美林,1440,Sell,7610聯友金屬-創,"-89095","0","89095"
美林,1440,美林,1440,Sell,2455全新,"-86910","0","86910"
美林,1440,美林,1440,Sell,8358金居,"-84100","0","84100"
美林,1440,美林,1440,Sell,3105穩懋,"-81246","6898","88144"
美林,1440,美林,1440,Sell,8996高力,"-80935","69120","150055"
美林,1440,美林,1440,Sell,1815富喬,"-76301","42124","118425"
美林,1440,美林,1440,Sell,6285啟碁,"-75299","17636","92935"
美林,1440,美林,1440,Sell,6139亞翔,"-73057","1506","74563"
美林,1440,美林,1440,Sell,3260威剛,"-72677","0","72677"
美林,1440,美林,1440,Sell,4979華星光,"-71861","82404","154265"
美林,1440,美林,1440,Sell,8046南電,"-67840","63660","131500"
美林,1440,美林,1440,Sell,3017奇鋐,"-64524","124676","189200"
美林,1440,美林,1440,Sell,00981A主動統一台股增長,"-64285","60","64345"
