BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
致和證券,7030,致和-台北,7031,Buy,3443創意,"12110","12110","0"
致和證券,7030,致和-台北,7031,Buy,6515穎崴,"7220","7220","0"
致和證券,7030,致和-台北,7031,Buy,3037欣興,"4845","4845","0"
致和證券,7030,致和-台北,7031,Buy,3481群創,"1207","1256","49"
致和證券,7030,致和-台北,7031,Buy,2356英業達,"1008","1008","0"
致和證券,7030,致和-台北,7031,Buy,6147頎邦,"743","763","20"
致和證券,7030,致和-台北,7031,Buy,3583辛耘,"708","708","0"
致和證券,7030,致和-台北,7031,Buy,8358金居,"516","516","0"
致和證券,7030,致和-台北,7031,Buy,2308台達電,"485","485","0"
致和證券,7030,致和-台北,7031,Buy,2027大成鋼,"432","432","0"
致和證券,7030,致和-台北,7031,Buy,6643M31,"427","427","0"
致和證券,7030,致和-台北,7031,Buy,8473山林水,"396","396","0"
致和證券,7030,致和-台北,7031,Buy,2049上銀,"361","361","0"
致和證券,7030,致和-台北,7031,Buy,2376技嘉,"353","353","0"
致和證券,7030,致和-台北,7031,Buy,4306炎洲,"299","299","0"
致和證券,7030,致和-台北,7031,Buy,6525捷敏-KY,"262","262","0"
致和證券,7030,致和-台北,7031,Buy,6456GIS-KY,"257","257","0"
致和證券,7030,致和-台北,7031,Buy,2337旺宏,"247","247","0"
致和證券,7030,致和-台北,7031,Buy,8028昇陽半導體,"230","230","0"
致和證券,7030,致和-台北,7031,Buy,6166凌華,"227","227","0"
致和證券,7030,致和-台北,7031,Buy,2542興富發,"186","186","0"
致和證券,7030,致和-台北,7031,Buy,2344華邦電,"179","179","0"
致和證券,7030,致和-台北,7031,Buy,7711永擎,"177","177","0"
致和證券,7030,致和-台北,7031,Buy,7734印能科技,"169","169","0"
致和證券,7030,致和-台北,7031,Buy,4973廣穎,"144","144","0"
致和證券,7030,致和-台北,7031,Buy,6446藥華藥,"133","133","0"
致和證券,7030,致和-台北,7031,Buy,9802鈺齊-KY,"132","132","0"
致和證券,7030,致和-台北,7031,Buy,00919群益台灣精選高息,"130","130","0"
致和證券,7030,致和-台北,7031,Buy,3715定穎投控,"130","130","0"
致和證券,7030,致和-台北,7031,Buy,1815富喬,"128","128","0"
致和證券,7030,致和-台北,7031,Buy,8104錸寶,"119","119","0"
致和證券,7030,致和-台北,7031,Buy,2882國泰金,"111","111","0"
致和證券,7030,致和-台北,7031,Buy,0050元大台灣50,"109","109","0"
致和證券,7030,致和-台北,7031,Buy,2413環科,"103","103","0"
致和證券,7030,致和-台北,7031,Buy,009825聯邦美國金融創新,"100","100","0"
致和證券,7030,致和-台北,7031,Buy,6669緯穎,"92","92","0"
致和證券,7030,致和-台北,7031,Buy,6488環球晶,"91","91","0"
致和證券,7030,致和-台北,7031,Buy,3706神達,"82","82","0"
致和證券,7030,致和-台北,7031,Buy,2324仁寶,"77","77","0"
致和證券,7030,致和-台北,7031,Buy,8111立碁,"72","72","0"
致和證券,7030,致和-台北,7031,Buy,00918大華優利高填息30,"71","71","0"
致和證券,7030,致和-台北,7031,Buy,2436偉詮電,"70","70","0"
致和證券,7030,致和-台北,7031,Buy,6269台郡,"66","66","0"
致和證券,7030,致和-台北,7031,Buy,3718中光電投控,"66","66","0"
致和證券,7030,致和-台北,7031,Buy,1301台塑,"64","130","66"
致和證券,7030,致和-台北,7031,Buy,3673TPK-KY,"62","62","0"
致和證券,7030,致和-台北,7031,Buy,4989榮科,"62","62","0"
致和證券,7030,致和-台北,7031,Buy,00981A主動統一台股增長,"59","59","0"
致和證券,7030,致和-台北,7031,Buy,8926台汽電,"59","59","0"
致和證券,7030,致和-台北,7031,Buy,0056元大高股息,"56","56","0"
致和證券,7030,致和-台北,7031,Sell,3231緯創,"-19308","743","20051"
致和證券,7030,致和-台北,7031,Sell,2330台積電,"-9790","0","9790"
致和證券,7030,致和-台北,7031,Sell,1303南亞,"-2445","0","2445"
致和證券,7030,致和-台北,7031,Sell,3374精材,"-1944","0","1944"
致和證券,7030,致和-台北,7031,Sell,3711日月光投控,"-1624","0","1624"
致和證券,7030,致和-台北,7031,Sell,006208富邦台50,"-1245","0","1245"
致和證券,7030,致和-台北,7031,Sell,6531愛普*,"-1040","0","1040"
致和證券,7030,致和-台北,7031,Sell,2357華碩,"-987","0","987"
致和證券,7030,致和-台北,7031,Sell,3026禾伸堂,"-806","0","806"
致和證券,7030,致和-台北,7031,Sell,2492華新科,"-677","306","983"
致和證券,7030,致和-台北,7031,Sell,6770力積電,"-515","145","660"
致和證券,7030,致和-台北,7031,Sell,2408南亞科,"-515","0","515"
致和證券,7030,致和-台北,7031,Sell,8131福懋科,"-498","0","498"
致和證券,7030,致和-台北,7031,Sell,2454聯發科,"-376","94","470"
致和證券,7030,致和-台北,7031,Sell,5386青雲,"-311","0","311"
致和證券,7030,致和-台北,7031,Sell,1710東聯,"-245","0","245"
致和證券,7030,致和-台北,7031,Sell,6207雷科,"-228","0","228"
致和證券,7030,致和-台北,7031,Sell,3016嘉晶,"-220","0","220"
致和證券,7030,致和-台北,7031,Sell,8227巨有科技,"-217","0","217"
致和證券,7030,致和-台北,7031,Sell,2303聯電,"-217","142","359"
致和證券,7030,致和-台北,7031,Sell,3036文曄,"-97","0","97"
致和證券,7030,致和-台北,7031,Sell,2465麗臺,"-92","0","92"
致和證券,7030,致和-台北,7031,Sell,00635U期元大S＆P黃金,"-91","0","91"
致和證券,7030,致和-台北,7031,Sell,6245立端,"-83","0","83"
致和證券,7030,致和-台北,7031,Sell,6799來頡,"-79","0","79"
致和證券,7030,致和-台北,7031,Sell,00712復華富時不動產,"-77","0","77"
致和證券,7030,致和-台北,7031,Sell,2409友達,"-61","0","61"
致和證券,7030,致和-台北,7031,Sell,6961旅天下,"-50","0","50"
致和證券,7030,致和-台北,7031,Sell,2884玉山金,"-46","0","46"
致和證券,7030,致和-台北,7031,Sell,2392正崴,"-43","0","43"
致和證券,7030,致和-台北,7031,Sell,3033威健,"-42","0","42"
致和證券,7030,致和-台北,7031,Sell,00631L元大台灣50正2,"-37","0","37"
致和證券,7030,致和-台北,7031,Sell,1608華榮,"-37","0","37"
致和證券,7030,致和-台北,7031,Sell,00403A主動統一升級50,"-31","0","31"
致和證券,7030,致和-台北,7031,Sell,3354律勝,"-30","0","30"
致和證券,7030,致和-台北,7031,Sell,00632R元大台灣50反1,"-29","10","39"
致和證券,7030,致和-台北,7031,Sell,5536聖暉*,"-17","0","17"
致和證券,7030,致和-台北,7031,Sell,3006晶豪科,"-13","0","13"
致和證券,7030,致和-台北,7031,Sell,6112邁達特,"-8","0","8"
致和證券,7030,致和-台北,7031,Sell,2609陽明,"-7","291","298"
致和證券,7030,致和-台北,7031,Sell,6139亞翔,"-4","0","4"
致和證券,7030,致和-台北,7031,Sell,1471首利,"-1","0","1"
