BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
高橋,5320,高橋,5320,Buy,2308台達電,"17829","20105","2276"
高橋,5320,高橋,5320,Buy,6683雍智科技,"14496","14496","0"
高橋,5320,高橋,5320,Buy,3231緯創,"10147","12953","2806"
高橋,5320,高橋,5320,Buy,6147頎邦,"8382","11954","3572"
高橋,5320,高橋,5320,Buy,2492華新科,"6733","16828","10095"
高橋,5320,高橋,5320,Buy,2330台積電,"5827","17379","11552"
高橋,5320,高橋,5320,Buy,2408南亞科,"5433","17188","11755"
高橋,5320,高橋,5320,Buy,6488環球晶,"4939","7677","2738"
高橋,5320,高橋,5320,Buy,3260威剛,"4456","4544","88"
高橋,5320,高橋,5320,Buy,4939亞電,"4270","4437","167"
高橋,5320,高橋,5320,Buy,00919群益台灣精選高息,"3826","4834","1008"
高橋,5320,高橋,5320,Buy,2301光寶科,"3772","3773","1"
高橋,5320,高橋,5320,Buy,2344華邦電,"3641","8406","4765"
高橋,5320,高橋,5320,Buy,6426統新,"3570","6429","2859"
高橋,5320,高橋,5320,Buy,2615萬海,"3521","4512","991"
高橋,5320,高橋,5320,Buy,2327國巨*,"3428","11554","8126"
高橋,5320,高橋,5320,Buy,00712復華富時不動產,"3128","3128","0"
高橋,5320,高橋,5320,Buy,2369菱生,"3120","3120","0"
高橋,5320,高橋,5320,Buy,2382廣達,"3040","3040","0"
高橋,5320,高橋,5320,Buy,3376新日興,"3024","3214","190"
高橋,5320,高橋,5320,Buy,00680L元大美債20正2,"2947","2947","0"
高橋,5320,高橋,5320,Buy,3481群創,"2862","4590","1728"
高橋,5320,高橋,5320,Buy,2317鴻海,"2770","9583","6813"
高橋,5320,高橋,5320,Buy,6505台塑化,"2764","2764","0"
高橋,5320,高橋,5320,Buy,2059川湖,"2650","2650","0"
高橋,5320,高橋,5320,Buy,2368金像電,"2462","2462","0"
高橋,5320,高橋,5320,Buy,6669緯穎,"2456","2465","9"
高橋,5320,高橋,5320,Buy,3234光環,"2440","2643","203"
高橋,5320,高橋,5320,Buy,6617共信-KY,"2251","2251","0"
高橋,5320,高橋,5320,Buy,3665貿聯-KY,"2231","2241","10"
高橋,5320,高橋,5320,Buy,3406玉晶光,"2151","2151","0"
