BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-佳里,0039003800310065,Buy,3661世芯-KY,"54599","58744","4145"
元大證券,9800,元大-佳里,0039003800310065,Buy,6515穎崴,"14347","14520","173"
元大證券,9800,元大-佳里,0039003800310065,Buy,2492華新科,"10244","18839","8595"
元大證券,9800,元大-佳里,0039003800310065,Buy,2344華邦電,"9909","15503","5594"
元大證券,9800,元大-佳里,0039003800310065,Buy,00918大華優利高填息30,"7549","8270","721"
元大證券,9800,元大-佳里,0039003800310065,Buy,5386青雲,"7064","8916","1852"
元大證券,9800,元大-佳里,0039003800310065,Buy,2327國巨*,"6768","9791","3023"
元大證券,9800,元大-佳里,0039003800310065,Buy,2308台達電,"6366","9943","3577"
元大證券,9800,元大-佳里,0039003800310065,Buy,4958臻鼎-KY,"5807","25262","19455"
元大證券,9800,元大-佳里,0039003800310065,Buy,6770力積電,"5794","20105","14311"
元大證券,9800,元大-佳里,0039003800310065,Buy,6223旺矽,"5604","5801","197"
元大證券,9800,元大-佳里,0039003800310065,Buy,00631L元大台灣50正2,"4873","6275","1402"
元大證券,9800,元大-佳里,0039003800310065,Buy,3006晶豪科,"4816","15729","10913"
元大證券,9800,元大-佳里,0039003800310065,Buy,6147頎邦,"4268","5263","995"
元大證券,9800,元大-佳里,0039003800310065,Buy,3167大量,"4122","5823","1701"
元大證券,9800,元大-佳里,0039003800310065,Buy,3481群創,"3967","5763","1796"
元大證券,9800,元大-佳里,0039003800310065,Buy,3029零壹,"3698","3698","0"
元大證券,9800,元大-佳里,0039003800310065,Buy,2409友達,"3605","12266","8661"
元大證券,9800,元大-佳里,0039003800310065,Buy,0050元大台灣50,"3584","4710","1126"
元大證券,9800,元大-佳里,0039003800310065,Buy,00406A主動中信台灣收益,"3425","3501","76"
元大證券,9800,元大-佳里,0039003800310065,Buy,2408南亞科,"3301","10005","6704"
元大證券,9800,元大-佳里,0039003800310065,Buy,3105穩懋,"3179","3705","526"
元大證券,9800,元大-佳里,0039003800310065,Buy,00673R期元大S＆P原油反1,"3096","3106","10"
元大證券,9800,元大-佳里,0039003800310065,Buy,8150南茂,"2583","3218","635"
元大證券,9800,元大-佳里,0039003800310065,Buy,1303南亞,"2579","6209","3630"
元大證券,9800,元大-佳里,0039003800310065,Buy,6505台塑化,"2520","7336","4816"
元大證券,9800,元大-佳里,0039003800310065,Buy,5439高技,"2511","2632","121"
元大證券,9800,元大-佳里,0039003800310065,Buy,3026禾伸堂,"2486","6606","4120"
元大證券,9800,元大-佳里,0039003800310065,Buy,2481強茂,"2376","3989","1613"
元大證券,9800,元大-佳里,0039003800310065,Buy,2338光罩,"2295","7698","5403"
元大證券,9800,元大-佳里,0039003800310065,Buy,4991環宇-KY,"2268","2783","515"
元大證券,9800,元大-佳里,0039003800310065,Buy,6239力成,"2190","2776","586"
元大證券,9800,元大-佳里,0039003800310065,Buy,2330台積電,"2071","7174","5103"
元大證券,9800,元大-佳里,0039003800310065,Buy,2301光寶科,"2008","3245","1237"
元大證券,9800,元大-佳里,0039003800310065,Buy,00919群益台灣精選高息,"2005","2078","73"
元大證券,9800,元大-佳里,0039003800310065,Buy,00981A主動統一台股增長,"1903","2325","422"
元大證券,9800,元大-佳里,0039003800310065,Buy,2449京元電子,"1567","1865","298"
元大證券,9800,元大-佳里,0039003800310065,Buy,006208富邦台50,"1523","1523","0"
元大證券,9800,元大-佳里,0039003800310065,Buy,6213聯茂,"1457","4684","3227"
元大證券,9800,元大-佳里,0039003800310065,Buy,2317鴻海,"1394","2734","1340"
元大證券,9800,元大-佳里,0039003800310065,Buy,3035智原,"1375","1375","0"
元大證券,9800,元大-佳里,0039003800310065,Buy,3234光環,"1311","1323","12"
元大證券,9800,元大-佳里,0039003800310065,Buy,00878國泰永續高股息,"1299","1437","138"
元大證券,9800,元大-佳里,0039003800310065,Buy,6547高端疫苗,"1297","1298","1"
元大證券,9800,元大-佳里,0039003800310065,Buy,00685L群益臺灣加權正2,"1191","1509","318"
元大證券,9800,元大-佳里,0039003800310065,Buy,00929復華台灣科技優息,"1176","1233","57"
元大證券,9800,元大-佳里,0039003800310065,Buy,00403A主動統一升級50,"1153","2037","884"
元大證券,9800,元大-佳里,0039003800310065,Buy,2337旺宏,"1143","1619","476"
元大證券,9800,元大-佳里,0039003800310065,Buy,5351鈺創,"1142","2485","1343"
元大證券,9800,元大-佳里,0039003800310065,Buy,6442光聖,"1138","3527","2389"
元大證券,9800,元大-佳里,0039003800310065,Sell,3374精材,"-7549","3702","11251"
元大證券,9800,元大-佳里,0039003800310065,Sell,2351順德,"-7329","234","7563"
元大證券,9800,元大-佳里,0039003800310065,Sell,0056元大高股息,"-4453","1688","6141"
元大證券,9800,元大-佳里,0039003800310065,Sell,6231系微,"-3089","42","3131"
元大證券,9800,元大-佳里,0039003800310065,Sell,3293鈊象,"-2572","208","2780"
元大證券,9800,元大-佳里,0039003800310065,Sell,6538倉和,"-2553","0","2553"
元大證券,9800,元大-佳里,0039003800310065,Sell,8996高力,"-2517","4408","6925"
元大證券,9800,元大-佳里,0039003800310065,Sell,6488環球晶,"-2364","3065","5429"
元大證券,9800,元大-佳里,0039003800310065,Sell,3406玉晶光,"-2222","4430","6652"
元大證券,9800,元大-佳里,0039003800310065,Sell,7750新代,"-2197","2382","4579"
元大證券,9800,元大-佳里,0039003800310065,Sell,2609陽明,"-2166","593","2759"
元大證券,9800,元大-佳里,0039003800310065,Sell,3189景碩,"-2103","2568","4671"
元大證券,9800,元大-佳里,0039003800310065,Sell,3605宏致,"-2002","263","2265"
元大證券,9800,元大-佳里,0039003800310065,Sell,6830汎銓,"-1709","43","1752"
元大證券,9800,元大-佳里,0039003800310065,Sell,6415矽力*-KY,"-1682","16","1698"
元大證券,9800,元大-佳里,0039003800310065,Sell,6182合晶,"-1678","1259","2937"
元大證券,9800,元大-佳里,0039003800310065,Sell,3532台勝科,"-1611","1335","2946"
元大證券,9800,元大-佳里,0039003800310065,Sell,00720B元大投資級公司債,"-1565","0","1565"
