BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-崇德,0039003800310053,Buy,3661世芯-KY,"53826","54022","196"
元大證券,9800,元大-崇德,0039003800310053,Buy,2330台積電,"37123","54805","17682"
元大證券,9800,元大-崇德,0039003800310053,Buy,2344華邦電,"22934","25362","2428"
元大證券,9800,元大-崇德,0039003800310053,Buy,2357華碩,"20965","23760","2795"
元大證券,9800,元大-崇德,0039003800310053,Buy,2481強茂,"18055","19883","1828"
元大證券,9800,元大-崇德,0039003800310053,Buy,3374精材,"15087","16575","1488"
元大證券,9800,元大-崇德,0039003800310053,Buy,3711日月光投控,"14443","21280","6837"
元大證券,9800,元大-崇德,0039003800310053,Buy,6239力成,"14259","14815","556"
元大證券,9800,元大-崇德,0039003800310053,Buy,3443創意,"12542","24887","12345"
元大證券,9800,元大-崇德,0039003800310053,Buy,2454聯發科,"11891","13147","1256"
元大證券,9800,元大-崇德,0039003800310053,Buy,2801彰銀,"11126","11181","55"
元大證券,9800,元大-崇德,0039003800310053,Buy,2308台達電,"9366","13626","4260"
元大證券,9800,元大-崇德,0039003800310053,Buy,0050元大台灣50,"7925","11429","3504"
元大證券,9800,元大-崇德,0039003800310053,Buy,2409友達,"7729","22980","15251"
元大證券,9800,元大-崇德,0039003800310053,Buy,00631L元大台灣50正2,"7343","11824","4481"
元大證券,9800,元大-崇德,0039003800310053,Buy,6515穎崴,"7109","7378","269"
元大證券,9800,元大-崇德,0039003800310053,Buy,2327國巨*,"6901","15532","8631"
元大證券,9800,元大-崇德,0039003800310053,Buy,6770力積電,"6855","8128","1273"
元大證券,9800,元大-崇德,0039003800310053,Buy,8358金居,"6745","14546","7801"
元大證券,9800,元大-崇德,0039003800310053,Buy,2492華新科,"6391","19163","12772"
元大證券,9800,元大-崇德,0039003800310053,Buy,3008大立光,"6228","7518","1290"
元大證券,9800,元大-崇德,0039003800310053,Buy,2883凱基金,"5941","8069","2128"
元大證券,9800,元大-崇德,0039003800310053,Buy,00685L群益臺灣加權正2,"5871","6273","402"
元大證券,9800,元大-崇德,0039003800310053,Buy,00981A主動統一台股增長,"5813","6668","855"
元大證券,9800,元大-崇德,0039003800310053,Buy,2301光寶科,"5728","8307","2579"
元大證券,9800,元大-崇德,0039003800310053,Buy,8150南茂,"5253","5608","355"
元大證券,9800,元大-崇德,0039003800310053,Buy,2449京元電子,"5171","5173","2"
元大證券,9800,元大-崇德,0039003800310053,Buy,6672騰輝電子-KY,"4978","5293","315"
元大證券,9800,元大-崇德,0039003800310053,Buy,3105穩懋,"4741","6533","1792"
元大證券,9800,元大-崇德,0039003800310053,Buy,3481群創,"4409","8152","3743"
元大證券,9800,元大-崇德,0039003800310053,Buy,1303南亞,"4130","11284","7154"
元大證券,9800,元大-崇德,0039003800310053,Buy,00919群益台灣精選高息,"4106","4493","387"
元大證券,9800,元大-崇德,0039003800310053,Buy,3006晶豪科,"3985","6025","2040"
元大證券,9800,元大-崇德,0039003800310053,Buy,2892第一金,"3905","3905","0"
元大證券,9800,元大-崇德,0039003800310053,Buy,00406A主動中信台灣收益,"3582","3620","38"
元大證券,9800,元大-崇德,0039003800310053,Buy,2383台光電,"3402","3434","32"
元大證券,9800,元大-崇德,0039003800310053,Buy,7734印能科技,"3345","3345","0"
元大證券,9800,元大-崇德,0039003800310053,Buy,8436大江,"3210","3210","0"
元大證券,9800,元大-崇德,0039003800310053,Buy,4931新盛力,"3113","3113","0"
元大證券,9800,元大-崇德,0039003800310053,Buy,00918大華優利高填息30,"3099","3205","106"
元大證券,9800,元大-崇德,0039003800310053,Buy,00673R期元大S＆P原油反1,"2925","2955","30"
元大證券,9800,元大-崇德,0039003800310053,Buy,3264欣銓,"2803","5804","3001"
元大證券,9800,元大-崇德,0039003800310053,Buy,6173信昌電,"2793","21417","18624"
元大證券,9800,元大-崇德,0039003800310053,Buy,6944兆聯實業,"2789","2789","0"
元大證券,9800,元大-崇德,0039003800310053,Buy,2408南亞科,"2707","31710","29003"
元大證券,9800,元大-崇德,0039003800310053,Buy,7788松川精密,"2337","2920","583"
元大證券,9800,元大-崇德,0039003800310053,Buy,3702大聯大,"2079","4280","2201"
元大證券,9800,元大-崇德,0039003800310053,Buy,3450聯鈞,"2042","2092","50"
元大證券,9800,元大-崇德,0039003800310053,Buy,3293鈊象,"2022","3422","1400"
元大證券,9800,元大-崇德,0039003800310053,Buy,6213聯茂,"1886","5526","3640"
元大證券,9800,元大-崇德,0039003800310053,Sell,00888永豐台灣ESG,"-13448","102","13550"
元大證券,9800,元大-崇德,0039003800310053,Sell,3624光頡,"-7853","8240","16093"
元大證券,9800,元大-崇德,0039003800310053,Sell,3045台灣大,"-7351","0","7351"
元大證券,9800,元大-崇德,0039003800310053,Sell,2303聯電,"-4913","12513","17426"
元大證券,9800,元大-崇德,0039003800310053,Sell,2884玉山金,"-4871","217","5088"
元大證券,9800,元大-崇德,0039003800310053,Sell,4979華星光,"-4584","1217","5801"
元大證券,9800,元大-崇德,0039003800310053,Sell,6182合晶,"-4234","1295","5529"
元大證券,9800,元大-崇德,0039003800310053,Sell,3042晶技,"-3853","545","4398"
元大證券,9800,元大-崇德,0039003800310053,Sell,00830國泰費城半導體,"-3465","280","3745"
元大證券,9800,元大-崇德,0039003800310053,Sell,3231緯創,"-3299","1338","4637"
元大證券,9800,元大-崇德,0039003800310053,Sell,6510精測,"-3296","169","3465"
元大證券,9800,元大-崇德,0039003800310053,Sell,2882國泰金,"-3148","109","3257"
元大證券,9800,元大-崇德,0039003800310053,Sell,3491昇達科,"-3103","0","3103"
元大證券,9800,元大-崇德,0039003800310053,Sell,3532台勝科,"-3086","872","3958"
元大證券,9800,元大-崇德,0039003800310053,Sell,00719B元大美債1-3,"-3082","0","3082"
元大證券,9800,元大-崇德,0039003800310053,Sell,00632R元大台灣50反1,"-2967","953","3920"
元大證券,9800,元大-崇德,0039003800310053,Sell,2354鴻準,"-2829","72","2901"
元大證券,9800,元大-崇德,0039003800310053,Sell,2609陽明,"-2339","2523","4862"
元大證券,9800,元大-崇德,0039003800310053,Sell,3037欣興,"-2270","3123","5393"
元大證券,9800,元大-崇德,0039003800310053,Sell,2885元大金,"-2169","10","2179"
元大證券,9800,元大-崇德,0039003800310053,Sell,2368金像電,"-1925","110","2035"
元大證券,9800,元大-崇德,0039003800310053,Sell,8042金山電,"-1835","586","2421"
元大證券,9800,元大-崇德,0039003800310053,Sell,4908前鼎,"-1668","743","2411"
元大證券,9800,元大-崇德,0039003800310053,Sell,4958臻鼎-KY,"-1590","3629","5219"
元大證券,9800,元大-崇德,0039003800310053,Sell,2377微星,"-1414","226","1640"
元大證券,9800,元大-崇德,0039003800310053,Sell,3693營邦,"-1400","7","1407"
元大證券,9800,元大-崇德,0039003800310053,Sell,3583辛耘,"-1390","14","1404"
元大證券,9800,元大-崇德,0039003800310053,Sell,1560中砂,"-1324","0","1324"
元大證券,9800,元大-崇德,0039003800310053,Sell,6683雍智科技,"-1305","0","1305"
元大證券,9800,元大-崇德,0039003800310053,Sell,3324雙鴻,"-1277","4088","5365"
元大證券,9800,元大-崇德,0039003800310053,Sell,6187萬潤,"-1254","6","1260"
元大證券,9800,元大-崇德,0039003800310053,Sell,5289宜鼎,"-1209","86","1295"
元大證券,9800,元大-崇德,0039003800310053,Sell,2634漢翔,"-1173","2009","3182"
元大證券,9800,元大-崇德,0039003800310053,Sell,8996高力,"-1154","2935","4089"
元大證券,9800,元大-崇德,0039003800310053,Sell,1785光洋科,"-1080","268","1348"
元大證券,9800,元大-崇德,0039003800310053,Sell,6209今國光,"-1051","1176","2227"
元大證券,9800,元大-崇德,0039003800310053,Sell,8039台虹,"-1033","6951","7984"
元大證券,9800,元大-崇德,0039003800310053,Sell,3011今皓,"-936","50","986"
元大證券,9800,元大-崇德,0039003800310053,Sell,2382廣達,"-931","1076","2007"
元大證券,9800,元大-崇德,0039003800310053,Sell,3017奇鋐,"-891","60","951"
元大證券,9800,元大-崇德,0039003800310053,Sell,00403A主動統一升級50,"-861","1572","2433"
元大證券,9800,元大-崇德,0039003800310053,Sell,2466冠西電,"-856","0","856"
