BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
土銀,1030,土銀-新竹,1035,Buy,6531愛普*,"20700","21684","984"
土銀,1030,土銀-新竹,1035,Buy,2308台達電,"17723","26824","9101"
土銀,1030,土銀-新竹,1035,Buy,2330台積電,"12854","12927","73"
土銀,1030,土銀-新竹,1035,Buy,2345智邦,"12452","12452","0"
土銀,1030,土銀-新竹,1035,Buy,2454聯發科,"12164","12398","234"
土銀,1030,土銀-新竹,1035,Buy,3661世芯-KY,"9194","13025","3831"
土銀,1030,土銀-新竹,1035,Buy,2301光寶科,"7372","7372","0"
土銀,1030,土銀-新竹,1035,Buy,3189景碩,"7094","8985","1891"
土銀,1030,土銀-新竹,1035,Buy,3617碩天,"6194","6194","0"
土銀,1030,土銀-新竹,1035,Buy,2327國巨*,"6139","6196","57"
土銀,1030,土銀-新竹,1035,Buy,6770力積電,"5146","6780","1634"
土銀,1030,土銀-新竹,1035,Buy,3711日月光投控,"4708","5366","658"
土銀,1030,土銀-新竹,1035,Buy,8299群聯,"4269","6300","2031"
土銀,1030,土銀-新竹,1035,Buy,2338光罩,"4113","5596","1483"
土銀,1030,土銀-新竹,1035,Buy,3481群創,"4071","4329","258"
土銀,1030,土銀-新竹,1035,Buy,2492華新科,"3975","15933","11958"
土銀,1030,土銀-新竹,1035,Buy,6139亞翔,"3892","3892","0"
土銀,1030,土銀-新竹,1035,Buy,00927群益半導體收益,"3695","3695","0"
土銀,1030,土銀-新竹,1035,Buy,6907雅特力-KY,"3502","4595","1093"
土銀,1030,土銀-新竹,1035,Buy,3264欣銓,"3450","3735","285"
土銀,1030,土銀-新竹,1035,Buy,2408南亞科,"3433","6910","3477"
土銀,1030,土銀-新竹,1035,Buy,6409旭隼,"3391","3391","0"
土銀,1030,土銀-新竹,1035,Buy,1303南亞,"3049","4304","1255"
土銀,1030,土銀-新竹,1035,Buy,4749新應材,"3030","3030","0"
土銀,1030,土銀-新竹,1035,Buy,1604聲寶,"2973","2973","0"
土銀,1030,土銀-新竹,1035,Buy,0050元大台灣50,"2937","3270","333"
土銀,1030,土銀-新竹,1035,Buy,00981A主動統一台股增長,"2797","2797","0"
土銀,1030,土銀-新竹,1035,Buy,2221大甲,"2442","4611","2169"
土銀,1030,土銀-新竹,1035,Buy,2449京元電子,"2239","2357","118"
土銀,1030,土銀-新竹,1035,Buy,00918大華優利高填息30,"2216","2216","0"
土銀,1030,土銀-新竹,1035,Buy,2360致茂,"2191","2191","0"
土銀,1030,土銀-新竹,1035,Buy,8064東捷,"2109","2115","6"
土銀,1030,土銀-新竹,1035,Buy,6173信昌電,"2099","4936","2837"
土銀,1030,土銀-新竹,1035,Buy,8358金居,"2009","2009","0"
土銀,1030,土銀-新竹,1035,Buy,00919群益台灣精選高息,"1904","1904","0"
土銀,1030,土銀-新竹,1035,Buy,6239力成,"1814","2090","276"
土銀,1030,土銀-新竹,1035,Buy,1560中砂,"1533","2339","806"
土銀,1030,土銀-新竹,1035,Buy,6739竹陞科技,"1494","1629","135"
土銀,1030,土銀-新竹,1035,Buy,2379瑞昱,"1415","1415","0"
土銀,1030,土銀-新竹,1035,Buy,6182合晶,"1249","1371","122"
土銀,1030,土銀-新竹,1035,Buy,009816凱基台灣TOP50,"1120","1389","269"
土銀,1030,土銀-新竹,1035,Buy,00404A主動聯博動能50,"1078","1078","0"
土銀,1030,土銀-新竹,1035,Buy,1301台塑,"1040","1040","0"
土銀,1030,土銀-新竹,1035,Buy,00881國泰台灣科技龍頭,"962","962","0"
土銀,1030,土銀-新竹,1035,Buy,8150南茂,"940","1895","955"
土銀,1030,土銀-新竹,1035,Buy,00878國泰永續高股息,"928","928","0"
土銀,1030,土銀-新竹,1035,Buy,2409友達,"907","2785","1878"
土銀,1030,土銀-新竹,1035,Buy,9945潤泰新,"839","839","0"
土銀,1030,土銀-新竹,1035,Buy,6147頎邦,"825","1218","393"
土銀,1030,土銀-新竹,1035,Buy,2451創見,"808","833","25"
土銀,1030,土銀-新竹,1035,Sell,2884玉山金,"-3654","232","3886"
土銀,1030,土銀-新竹,1035,Sell,4958臻鼎-KY,"-3574","2496","6070"
土銀,1030,土銀-新竹,1035,Sell,3019亞光,"-3233","139","3372"
土銀,1030,土銀-新竹,1035,Sell,4931新盛力,"-2361","251","2612"
土銀,1030,土銀-新竹,1035,Sell,7799禾榮科,"-2138","0","2138"
土銀,1030,土銀-新竹,1035,Sell,2609陽明,"-2019","1080","3099"
土銀,1030,土銀-新竹,1035,Sell,2303聯電,"-2006","6363","8369"
土銀,1030,土銀-新竹,1035,Sell,2634漢翔,"-2005","323","2328"
土銀,1030,土銀-新竹,1035,Sell,2354鴻準,"-1449","0","1449"
土銀,1030,土銀-新竹,1035,Sell,8111立碁,"-1154","418","1572"
土銀,1030,土銀-新竹,1035,Sell,6274台燿,"-1146","1604","2750"
土銀,1030,土銀-新竹,1035,Sell,6781AES-KY,"-1005","1015","2020"
土銀,1030,土銀-新竹,1035,Sell,1808潤隆,"-992","0","992"
土銀,1030,土銀-新竹,1035,Sell,3441聯一光,"-923","164","1087"
土銀,1030,土銀-新竹,1035,Sell,8240華宏,"-917","609","1526"
土銀,1030,土銀-新竹,1035,Sell,3231緯創,"-902","1683","2585"
土銀,1030,土銀-新竹,1035,Sell,2344華邦電,"-802","5436","6238"
土銀,1030,土銀-新竹,1035,Sell,2413環科,"-800","292","1092"
土銀,1030,土銀-新竹,1035,Sell,8422可寧衛*,"-783","0","783"
土銀,1030,土銀-新竹,1035,Sell,6488環球晶,"-739","1058","1797"
土銀,1030,土銀-新竹,1035,Sell,00946群益科技高息成長,"-730","0","730"
土銀,1030,土銀-新竹,1035,Sell,8227巨有科技,"-717","0","717"
土銀,1030,土銀-新竹,1035,Sell,2395研華,"-690","10","700"
土銀,1030,土銀-新竹,1035,Sell,2371大同,"-686","0","686"
土銀,1030,土銀-新竹,1035,Sell,2382廣達,"-679","67","746"
土銀,1030,土銀-新竹,1035,Sell,3718中光電投控,"-650","0","650"
土銀,1030,土銀-新竹,1035,Sell,00940元大台灣價值高息,"-636","0","636"
土銀,1030,土銀-新竹,1035,Sell,5880合庫金,"-563","27","590"
土銀,1030,土銀-新竹,1035,Sell,4971IET-KY,"-563","0","563"
土銀,1030,土銀-新竹,1035,Sell,6831邁科,"-556","0","556"
土銀,1030,土銀-新竹,1035,Sell,3363上詮,"-517","857","1374"
土銀,1030,土銀-新竹,1035,Sell,00965元大航太防衛科技,"-498","0","498"
土銀,1030,土銀-新竹,1035,Sell,1513中興電,"-497","164","661"
土銀,1030,土銀-新竹,1035,Sell,2486一詮,"-492","238","730"
土銀,1030,土銀-新竹,1035,Sell,5347世界,"-473","0","473"
土銀,1030,土銀-新竹,1035,Sell,6505台塑化,"-471","2670","3141"
土銀,1030,土銀-新竹,1035,Sell,8050廣積,"-450","114","564"
土銀,1030,土銀-新竹,1035,Sell,7717萊德光電-KY,"-450","52","502"
土銀,1030,土銀-新竹,1035,Sell,3532台勝科,"-421","834","1255"
土銀,1030,土銀-新竹,1035,Sell,2444兆勁,"-393","0","393"
土銀,1030,土銀-新竹,1035,Sell,6209今國光,"-378","180","558"
土銀,1030,土銀-新竹,1035,Sell,2605新興,"-371","0","371"
土銀,1030,土銀-新竹,1035,Sell,3260威剛,"-359","448","807"
土銀,1030,土銀-新竹,1035,Sell,4722國精化,"-357","0","357"
土銀,1030,土銀-新竹,1035,Sell,5340建榮,"-341","86","427"
土銀,1030,土銀-新竹,1035,Sell,2881富邦金,"-337","2","339"
土銀,1030,土銀-新竹,1035,Sell,3135凌航,"-326","0","326"
