BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,3661世芯-KY,"7587","7587","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,6770力積電,"5679","9995","4316"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2409友達,"3103","5451","2348"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2408南亞科,"2221","3214","993"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,8046南電,"2155","2155","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2330台積電,"1795","7158","5363"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,8039台虹,"1643","3564","1921"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,5347世界,"1415","1415","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,00712復華富時不動產,"1400","1400","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,1303南亞,"1351","3351","2000"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2492華新科,"1279","25182","23903"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,6526達發,"1274","1274","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,0050元大台灣50,"1266","2017","751"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,00918大華優利高填息30,"1256","1256","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2305全友,"1217","1255","38"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,6147頎邦,"1187","1378","191"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2327國巨*,"1169","3973","2804"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,8358金居,"1129","3578","2449"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,6505台塑化,"1125","1212","87"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2344華邦電,"1072","2619","1547"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2454聯發科,"1039","6028","4989"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2303聯電,"998","2837","1839"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,00631L元大台灣50正2,"900","972","72"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,3711日月光投控,"888","1564","676"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,00406A主動中信台灣收益,"859","859","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,5536聖暉*,"843","2530","1687"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,3481群創,"817","1454","637"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,6415矽力*-KY,"808","808","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,00981A主動統一台股增長,"784","784","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,6173信昌電,"778","1248","470"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2027大成鋼,"747","747","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2313華通,"722","722","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2352佳世達,"722","722","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,6139亞翔,"714","714","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,3167大量,"625","877","252"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2324仁寶,"617","769","152"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,6239力成,"609","882","273"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,3006晶豪科,"608","608","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,3693營邦,"575","682","107"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2449京元電子,"555","555","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,2428興勤,"513","513","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,7795長廣,"509","509","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,8086宏捷科,"498","530","32"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,00401A主動摩根台灣鑫收,"491","491","0"
宏遠證券,1260,宏遠-新化,0031003200360058,Buy,5351鈺創,"486","486","0"
