BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
富邦證券,9600,富邦-左營,0039003600360046,Buy,2454聯發科,"19725","20516","791"
富邦證券,9600,富邦-左營,0039003600360046,Buy,3661世芯-KY,"19251","22948","3697"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2408南亞科,"13447","24612","11165"
富邦證券,9600,富邦-左營,0039003600360046,Buy,0050元大台灣50,"10841","13784","2943"
富邦證券,9600,富邦-左營,0039003600360046,Buy,00631L元大台灣50正2,"9729","10489","760"
富邦證券,9600,富邦-左營,0039003600360046,Buy,9939宏全,"9034","9034","0"
富邦證券,9600,富邦-左營,0039003600360046,Buy,3105穩懋,"8334","9661","1327"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2327國巨*,"7682","11879","4197"
富邦證券,9600,富邦-左營,0039003600360046,Buy,4576大銀微系統,"7524","7772","248"
富邦證券,9600,富邦-左營,0039003600360046,Buy,3711日月光投控,"6698","14440","7742"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2308台達電,"6107","12586","6479"
富邦證券,9600,富邦-左營,0039003600360046,Buy,1303南亞,"5779","7426","1647"
富邦證券,9600,富邦-左營,0039003600360046,Buy,00981A主動統一台股增長,"5537","5771","234"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2344華邦電,"4686","8738","4052"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6139亞翔,"4504","4519","15"
富邦證券,9600,富邦-左營,0039003600360046,Buy,8358金居,"3865","10750","6885"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6811宏碁資訊,"3843","3843","0"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2049上銀,"3544","3560","16"
富邦證券,9600,富邦-左營,0039003600360046,Buy,00406A主動中信台灣收益,"3415","3509","94"
富邦證券,9600,富邦-左營,0039003600360046,Buy,00685L群益臺灣加權正2,"3200","3581","381"
富邦證券,9600,富邦-左營,0039003600360046,Buy,00919群益台灣精選高息,"2990","4769","1779"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2345智邦,"2947","3026","79"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6770力積電,"2815","13717","10902"
富邦證券,9600,富邦-左營,0039003600360046,Buy,8299群聯,"2804","2806","2"
富邦證券,9600,富邦-左營,0039003600360046,Buy,3081聯亞,"2652","5539","2887"
富邦證券,9600,富邦-左營,0039003600360046,Buy,4749新應材,"2488","2508","20"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6805富世達,"2274","4409","2135"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6147頎邦,"2135","2680","545"
富邦證券,9600,富邦-左營,0039003600360046,Buy,3706神達,"2110","2269","159"
富邦證券,9600,富邦-左營,0039003600360046,Buy,3532台勝科,"2084","6665","4581"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2360致茂,"2064","2173","109"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6239力成,"2048","3110","1062"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6531愛普*,"1940","2969","1029"
富邦證券,9600,富邦-左營,0039003600360046,Buy,00712復華富時不動產,"1849","1849","0"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2481強茂,"1801","3365","1564"
富邦證券,9600,富邦-左營,0039003600360046,Buy,1722台肥,"1762","1762","0"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2301光寶科,"1761","4160","2399"
富邦證券,9600,富邦-左營,0039003600360046,Buy,3035智原,"1744","2707","963"
富邦證券,9600,富邦-左營,0039003600360046,Buy,5388中磊,"1731","1731","0"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6274台燿,"1645","7241","5596"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6547高端疫苗,"1560","1973","413"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6782視陽,"1558","1558","0"
富邦證券,9600,富邦-左營,0039003600360046,Buy,3008大立光,"1555","1630","75"
富邦證券,9600,富邦-左營,0039003600360046,Buy,8033雷虎,"1545","2977","1432"
富邦證券,9600,富邦-左營,0039003600360046,Buy,00918大華優利高填息30,"1483","1869","386"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6291沛亨,"1425","1439","14"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2449京元電子,"1370","3775","2405"
富邦證券,9600,富邦-左營,0039003600360046,Buy,3026禾伸堂,"1345","8333","6988"
富邦證券,9600,富邦-左營,0039003600360046,Buy,2002中鋼,"1344","1392","48"
富邦證券,9600,富邦-左營,0039003600360046,Buy,6187萬潤,"1225","1287","62"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2357華碩,"-16441","2861","19302"
富邦證券,9600,富邦-左營,0039003600360046,Sell,3045台灣大,"-12000","0","12000"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2887台新新光金,"-8574","63","8637"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2404漢唐,"-6413","2772","9185"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2855統一證,"-5884","0","5884"
富邦證券,9600,富邦-左營,0039003600360046,Sell,009816凱基台灣TOP50,"-5249","1823","7072"
富邦證券,9600,富邦-左營,0039003600360046,Sell,5483中美晶,"-3697","724","4421"
富邦證券,9600,富邦-左營,0039003600360046,Sell,6510精測,"-3435","7135","10570"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2723美食-KY,"-3357","0","3357"
富邦證券,9600,富邦-左營,0039003600360046,Sell,5351鈺創,"-3220","190","3410"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2884玉山金,"-2885","47","2932"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2492華新科,"-2553","15522","18075"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2645長榮航太,"-2394","176","2570"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2883凱基金,"-2159","81","2240"
富邦證券,9600,富邦-左營,0039003600360046,Sell,6672騰輝電子-KY,"-2096","0","2096"
富邦證券,9600,富邦-左營,0039003600360046,Sell,3037欣興,"-2090","2281","4371"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2455全新,"-2087","0","2087"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2615萬海,"-2034","225","2259"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2641正德,"-1979","0","1979"
富邦證券,9600,富邦-左營,0039003600360046,Sell,4958臻鼎-KY,"-1901","4295","6196"
富邦證券,9600,富邦-左營,0039003600360046,Sell,3491昇達科,"-1879","0","1879"
富邦證券,9600,富邦-左營,0039003600360046,Sell,1560中砂,"-1810","0","1810"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2330台積電,"-1685","17469","19154"
富邦證券,9600,富邦-左營,0039003600360046,Sell,8042金山電,"-1668","0","1668"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2409友達,"-1520","7872","9392"
富邦證券,9600,富邦-左營,0039003600360046,Sell,00735國泰臺韓科技,"-1454","110","1564"
富邦證券,9600,富邦-左營,0039003600360046,Sell,3324雙鴻,"-1405","1","1406"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2885元大金,"-1250","131","1381"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2303聯電,"-1247","6519","7766"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2891中信金,"-1202","144","1346"
富邦證券,9600,富邦-左營,0039003600360046,Sell,6834天二科技,"-1121","212","1333"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2880華南金,"-1116","0","1116"
富邦證券,9600,富邦-左營,0039003600360046,Sell,6170統振,"-963","0","963"
富邦證券,9600,富邦-左營,0039003600360046,Sell,8227巨有科技,"-954","476","1430"
富邦證券,9600,富邦-左營,0039003600360046,Sell,4746台耀,"-914","0","914"
富邦證券,9600,富邦-左營,0039003600360046,Sell,6446藥華藥,"-901","394","1295"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2633台灣高鐵,"-888","26","914"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2377微星,"-822","213","1035"
富邦證券,9600,富邦-左營,0039003600360046,Sell,6472保瑞,"-812","0","812"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2356英業達,"-790","72","862"
富邦證券,9600,富邦-左營,0039003600360046,Sell,00757統一FANG+,"-688","14","702"
富邦證券,9600,富邦-左營,0039003600360046,Sell,3033威健,"-665","42","707"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2412中華電,"-663","38","701"
富邦證券,9600,富邦-左營,0039003600360046,Sell,4979華星光,"-598","703","1301"
富邦證券,9600,富邦-左營,0039003600360046,Sell,3189景碩,"-596","9966","10562"
富邦證券,9600,富邦-左營,0039003600360046,Sell,4967十銓,"-587","3","590"
富邦證券,9600,富邦-左營,0039003600360046,Sell,2385群光,"-575","0","575"
富邦證券,9600,富邦-左營,0039003600360046,Sell,6278台表科,"-559","0","559"
富邦證券,9600,富邦-左營,0039003600360046,Sell,00878國泰永續高股息,"-551","969","1520"
富邦證券,9600,富邦-左營,0039003600360046,Sell,3441聯一光,"-542","2110","2652"
