BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-小港,003900380039005a,Buy,2330台積電,"36853","41868","5015"
元大證券,9800,元大-小港,003900380039005a,Buy,2344華邦電,"19169","29231","10062"
元大證券,9800,元大-小港,003900380039005a,Buy,2409友達,"7516","15385","7869"
元大證券,9800,元大-小港,003900380039005a,Buy,0050元大台灣50,"6912","8285","1373"
元大證券,9800,元大-小港,003900380039005a,Buy,5209新鼎,"6896","6896","0"
元大證券,9800,元大-小港,003900380039005a,Buy,2408南亞科,"6784","17404","10620"
元大證券,9800,元大-小港,003900380039005a,Buy,00918大華優利高填息30,"6022","7106","1084"
元大證券,9800,元大-小港,003900380039005a,Buy,2308台達電,"5806","5856","50"
元大證券,9800,元大-小港,003900380039005a,Buy,2327國巨*,"5389","9251","3862"
元大證券,9800,元大-小港,003900380039005a,Buy,8227巨有科技,"3925","6652","2727"
元大證券,9800,元大-小港,003900380039005a,Buy,6488環球晶,"3670","4725","1055"
元大證券,9800,元大-小港,003900380039005a,Buy,00919群益台灣精選高息,"3551","4985","1434"
元大證券,9800,元大-小港,003900380039005a,Buy,3260威剛,"2882","3680","798"
元大證券,9800,元大-小港,003900380039005a,Buy,1560中砂,"2738","3011","273"
元大證券,9800,元大-小港,003900380039005a,Buy,3167大量,"2478","2492","14"
元大證券,9800,元大-小港,003900380039005a,Buy,00406A主動中信台灣收益,"2455","2576","121"
元大證券,9800,元大-小港,003900380039005a,Buy,3006晶豪科,"2363","4831","2468"
元大證券,9800,元大-小港,003900380039005a,Buy,3406玉晶光,"2242","2528","286"
元大證券,9800,元大-小港,003900380039005a,Buy,1303南亞,"2192","10117","7925"
元大證券,9800,元大-小港,003900380039005a,Buy,00981A主動統一台股增長,"2151","3450","1299"
元大證券,9800,元大-小港,003900380039005a,Buy,3037欣興,"1940","8007","6067"
元大證券,9800,元大-小港,003900380039005a,Buy,009803玉山市值動能50,"1823","1823","0"
元大證券,9800,元大-小港,003900380039005a,Buy,6782視陽,"1800","1800","0"
元大證券,9800,元大-小港,003900380039005a,Buy,00896中信綠能及電動車,"1743","1799","56"
元大證券,9800,元大-小港,003900380039005a,Buy,5880合庫金,"1611","2199","588"
元大證券,9800,元大-小港,003900380039005a,Buy,00712復華富時不動產,"1554","1554","0"
元大證券,9800,元大-小港,003900380039005a,Buy,3481群創,"1351","4018","2667"
元大證券,9800,元大-小港,003900380039005a,Buy,2492華新科,"1298","3432","2134"
元大證券,9800,元大-小港,003900380039005a,Buy,6446藥華藥,"1298","1372","74"
元大證券,9800,元大-小港,003900380039005a,Buy,1101台泥,"1252","1252","0"
元大證券,9800,元大-小港,003900380039005a,Buy,2467志聖,"1241","1277","36"
元大證券,9800,元大-小港,003900380039005a,Buy,3008大立光,"1195","1731","536"
元大證券,9800,元大-小港,003900380039005a,Buy,2337旺宏,"1157","1912","755"
元大證券,9800,元大-小港,003900380039005a,Buy,6949沛爾生醫*-創,"1121","1227","106"
元大證券,9800,元大-小港,003900380039005a,Buy,00631L元大台灣50正2,"1098","4302","3204"
元大證券,9800,元大-小港,003900380039005a,Buy,8046南電,"1066","2106","1040"
元大證券,9800,元大-小港,003900380039005a,Buy,6415矽力*-KY,"1029","1707","678"
元大證券,9800,元大-小港,003900380039005a,Buy,3231緯創,"1015","1590","575"
元大證券,9800,元大-小港,003900380039005a,Buy,6770力積電,"1006","5024","4018"
