BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-永和,9891,Buy,2330台積電,"24860","35320","10460"
元大證券,9800,元大-永和,9891,Buy,2344華邦電,"15297","20748","5451"
元大證券,9800,元大-永和,9891,Buy,3008大立光,"13958","14345","387"
元大證券,9800,元大-永和,9891,Buy,2408南亞科,"10424","12449","2025"
元大證券,9800,元大-永和,9891,Buy,2327國巨*,"8369","52442","44073"
元大證券,9800,元大-永和,9891,Buy,2409友達,"6190","17694","11504"
元大證券,9800,元大-永和,9891,Buy,3231緯創,"5710","7168","1458"
元大證券,9800,元大-永和,9891,Buy,3081聯亞,"5636","33377","27741"
元大證券,9800,元大-永和,9891,Buy,8996高力,"5463","9178","3715"
元大證券,9800,元大-永和,9891,Buy,6446藥華藥,"4172","4623","451"
元大證券,9800,元大-永和,9891,Buy,3189景碩,"4163","6570","2407"
元大證券,9800,元大-永和,9891,Buy,2049上銀,"4018","4342","324"
元大證券,9800,元大-永和,9891,Buy,1815富喬,"3951","7566","3615"
元大證券,9800,元大-永和,9891,Buy,8299群聯,"3880","4006","126"
元大證券,9800,元大-永和,9891,Buy,6739竹陞科技,"3561","3588","27"
元大證券,9800,元大-永和,9891,Buy,3006晶豪科,"3500","4340","840"
元大證券,9800,元大-永和,9891,Buy,0050元大台灣50,"3458","5516","2058"
元大證券,9800,元大-永和,9891,Buy,3017奇鋐,"3309","3309","0"
元大證券,9800,元大-永和,9891,Buy,00919群益台灣精選高息,"3265","4152","887"
元大證券,9800,元大-永和,9891,Buy,2308台達電,"2366","2410","44"
元大證券,9800,元大-永和,9891,Buy,6121新普,"2267","2646","379"
元大證券,9800,元大-永和,9891,Buy,00918大華優利高填息30,"2065","2243","178"
元大證券,9800,元大-永和,9891,Buy,1301台塑,"2027","2089","62"
元大證券,9800,元大-永和,9891,Buy,3023信邦,"1801","1833","32"
元大證券,9800,元大-永和,9891,Buy,3026禾伸堂,"1617","6052","4435"
元大證券,9800,元大-永和,9891,Buy,009816凱基台灣TOP50,"1589","1951","362"
元大證券,9800,元大-永和,9891,Buy,3533嘉澤,"1588","1604","16"
元大證券,9800,元大-永和,9891,Buy,00406A主動中信台灣收益,"1556","1556","0"
元大證券,9800,元大-永和,9891,Buy,6442光聖,"1529","1610","81"
元大證券,9800,元大-永和,9891,Buy,4958臻鼎-KY,"1527","3475","1948"
元大證券,9800,元大-永和,9891,Buy,6672騰輝電子-KY,"1417","2360","943"
元大證券,9800,元大-永和,9891,Buy,3441聯一光,"1415","1803","388"
元大證券,9800,元大-永和,9891,Buy,8039台虹,"1359","3551","2192"
元大證券,9800,元大-永和,9891,Buy,00770國泰北美科技,"1286","1286","0"
元大證券,9800,元大-永和,9891,Buy,00673R期元大S＆P原油反1,"1090","1090","0"
元大證券,9800,元大-永和,9891,Buy,2467志聖,"1073","1073","0"
元大證券,9800,元大-永和,9891,Buy,2492華新科,"1059","14841","13782"
元大證券,9800,元大-永和,9891,Buy,2615萬海,"1019","1245","226"
元大證券,9800,元大-永和,9891,Buy,4749新應材,"942","946","4"
元大證券,9800,元大-永和,9891,Buy,009803玉山市值動能50,"931","974","43"
元大證券,9800,元大-永和,9891,Buy,2376技嘉,"897","1070","173"
元大證券,9800,元大-永和,9891,Buy,00981A主動統一台股增長,"893","2916","2023"
元大證券,9800,元大-永和,9891,Buy,2426鼎元,"850","2273","1423"
元大證券,9800,元大-永和,9891,Buy,2634漢翔,"842","1289","447"
元大證券,9800,元大-永和,9891,Buy,1717長興,"833","833","0"
元大證券,9800,元大-永和,9891,Buy,6257矽格,"819","1444","625"
元大證券,9800,元大-永和,9891,Buy,7711永擎,"799","799","0"
元大證券,9800,元大-永和,9891,Buy,1560中砂,"750","750","0"
元大證券,9800,元大-永和,9891,Buy,1519華城,"746","746","0"
元大證券,9800,元大-永和,9891,Buy,8064東捷,"729","740","11"
元大證券,9800,元大-永和,9891,Sell,2801彰銀,"-12363","201","12564"
元大證券,9800,元大-永和,9891,Sell,2454聯發科,"-7094","19120","26214"
元大證券,9800,元大-永和,9891,Sell,3661世芯-KY,"-6877","827","7704"
元大證券,9800,元大-永和,9891,Sell,8358金居,"-5483","6130","11613"
