BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
台灣企銀,1110,台灣企銀,1110,Buy,2330台積電,"15357","15703","346"
台灣企銀,1110,台灣企銀,1110,Buy,3443創意,"12619","13150","531"
台灣企銀,1110,台灣企銀,1110,Buy,2344華邦電,"12319","14485","2166"
台灣企銀,1110,台灣企銀,1110,Buy,2409友達,"5189","8773","3584"
台灣企銀,1110,台灣企銀,1110,Buy,00632R元大台灣50反1,"5117","5117","0"
台灣企銀,1110,台灣企銀,1110,Buy,00945B凱基美國非投等債,"4310","4310","0"
台灣企銀,1110,台灣企銀,1110,Buy,1216統一,"4260","4709","449"
台灣企銀,1110,台灣企銀,1110,Buy,3661世芯-KY,"3684","3720","36"
台灣企銀,1110,台灣企銀,1110,Buy,3081聯亞,"2875","5620","2745"
台灣企銀,1110,台灣企銀,1110,Buy,6116彩晶,"2756","2784","28"
台灣企銀,1110,台灣企銀,1110,Buy,6213聯茂,"2515","4563","2048"
台灣企銀,1110,台灣企銀,1110,Buy,0050元大台灣50,"2344","2579","235"
台灣企銀,1110,台灣企銀,1110,Buy,2912統一超,"2160","2160","0"
台灣企銀,1110,台灣企銀,1110,Buy,3029零壹,"1944","2674","730"
台灣企銀,1110,台灣企銀,1110,Buy,2357華碩,"1850","3681","1831"
台灣企銀,1110,台灣企銀,1110,Buy,6669緯穎,"1569","1569","0"
台灣企銀,1110,台灣企銀,1110,Buy,7751竑騰,"1414","1414","0"
台灣企銀,1110,台灣企銀,1110,Buy,2412中華電,"1282","1425","143"
台灣企銀,1110,台灣企銀,1110,Buy,2892第一金,"1204","1605","401"
台灣企銀,1110,台灣企銀,1110,Buy,00918大華優利高填息30,"1171","1171","0"
台灣企銀,1110,台灣企銀,1110,Buy,4939亞電,"1080","1408","328"
台灣企銀,1110,台灣企銀,1110,Buy,00919群益台灣精選高息,"1075","1289","214"
台灣企銀,1110,台灣企銀,1110,Buy,3706神達,"1027","1106","79"
台灣企銀,1110,台灣企銀,1110,Buy,8070長華*,"996","996","0"
台灣企銀,1110,台灣企銀,1110,Buy,2603長榮,"992","7266","6274"
台灣企銀,1110,台灣企銀,1110,Buy,1301台塑,"972","1254","282"
台灣企銀,1110,台灣企銀,1110,Buy,4207環泰,"972","972","0"
台灣企銀,1110,台灣企銀,1110,Buy,3406玉晶光,"953","2901","1948"
台灣企銀,1110,台灣企銀,1110,Buy,8033雷虎,"867","1214","347"
台灣企銀,1110,台灣企銀,1110,Buy,2426鼎元,"853","2642","1789"
台灣企銀,1110,台灣企銀,1110,Buy,3374精材,"800","1725","925"
台灣企銀,1110,台灣企銀,1110,Buy,1815富喬,"790","3248","2458"
台灣企銀,1110,台灣企銀,1110,Buy,3450聯鈞,"771","771","0"
台灣企銀,1110,台灣企銀,1110,Buy,1717長興,"755","762","7"
台灣企銀,1110,台灣企銀,1110,Buy,1519華城,"721","721","0"
台灣企銀,1110,台灣企銀,1110,Buy,3006晶豪科,"677","1219","542"
台灣企銀,1110,台灣企銀,1110,Buy,0056元大高股息,"669","890","221"
台灣企銀,1110,台灣企銀,1110,Buy,2634漢翔,"641","641","0"
台灣企銀,1110,台灣企銀,1110,Buy,9905大華,"639","639","0"
台灣企銀,1110,台灣企銀,1110,Buy,00673R期元大S＆P原油反1,"602","602","0"
台灣企銀,1110,台灣企銀,1110,Buy,3715定穎投控,"598","598","0"
台灣企銀,1110,台灣企銀,1110,Buy,3624光頡,"592","1801","1209"
台灣企銀,1110,台灣企銀,1110,Buy,00631L元大台灣50正2,"561","740","179"
