BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
彰銀,1230,彰銀-七賢,1232,Buy,2330台積電,"73306","73990","684"
彰銀,1230,彰銀-七賢,1232,Buy,00708L期元大S＆P黃金正2,"21118","21118","0"
彰銀,1230,彰銀-七賢,1232,Buy,2801彰銀,"11021","17569","6548"
彰銀,1230,彰銀-七賢,1232,Buy,3008大立光,"8656","8692","36"
彰銀,1230,彰銀-七賢,1232,Buy,2408南亞科,"6503","7927","1424"
彰銀,1230,彰銀-七賢,1232,Buy,2344華邦電,"6076","6237","161"
彰銀,1230,彰銀-七賢,1232,Buy,8358金居,"4512","6006","1494"
彰銀,1230,彰銀-七賢,1232,Buy,6505台塑化,"3663","3826","163"
彰銀,1230,彰銀-七賢,1232,Buy,3211順達,"3246","4323","1077"
彰銀,1230,彰銀-七賢,1232,Buy,1560中砂,"3016","3016","0"
彰銀,1230,彰銀-七賢,1232,Buy,2327國巨*,"1814","2901","1087"
彰銀,1230,彰銀-七賢,1232,Buy,3006晶豪科,"1618","1756","138"
彰銀,1230,彰銀-七賢,1232,Buy,00981A主動統一台股增長,"1378","2075","697"
彰銀,1230,彰銀-七賢,1232,Buy,00918大華優利高填息30,"1333","1333","0"
彰銀,1230,彰銀-七賢,1232,Buy,2308台達電,"1264","1264","0"
彰銀,1230,彰銀-七賢,1232,Buy,2834臺企銀,"1097","1133","36"
彰銀,1230,彰銀-七賢,1232,Buy,3450聯鈞,"1036","1036","0"
彰銀,1230,彰銀-七賢,1232,Buy,00403A主動統一升級50,"985","1005","20"
彰銀,1230,彰銀-七賢,1232,Buy,1815富喬,"973","1458","485"
彰銀,1230,彰銀-七賢,1232,Buy,3029零壹,"904","1021","117"
彰銀,1230,彰銀-七賢,1232,Buy,3189景碩,"887","887","0"
彰銀,1230,彰銀-七賢,1232,Buy,1503士電,"797","797","0"
彰銀,1230,彰銀-七賢,1232,Buy,0050元大台灣50,"795","1589","794"
彰銀,1230,彰銀-七賢,1232,Buy,00632R元大台灣50反1,"795","996","201"
