BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-土城永寧,9875,Buy,2330台積電,"72337","72339","2"
元大證券,9800,元大-土城永寧,9875,Buy,3450聯鈞,"48242","54595","6353"
元大證券,9800,元大-土城永寧,9875,Buy,009829大華韓國KOSPI5,"25104","25104","0"
元大證券,9800,元大-土城永寧,9875,Buy,3008大立光,"14144","14525","381"
元大證券,9800,元大-土城永寧,9875,Buy,2327國巨*,"12135","20167","8032"
元大證券,9800,元大-土城永寧,9875,Buy,6669緯穎,"11573","11756","183"
元大證券,9800,元大-土城永寧,9875,Buy,2455全新,"4996","27675","22679"
元大證券,9800,元大-土城永寧,9875,Buy,3661世芯-KY,"4311","4311","0"
元大證券,9800,元大-土城永寧,9875,Buy,1476儒鴻,"4273","4273","0"
元大證券,9800,元大-土城永寧,9875,Buy,00919群益台灣精選高息,"4267","4458","191"
元大證券,9800,元大-土城永寧,9875,Buy,6805富世達,"4005","12170","8165"
元大證券,9800,元大-土城永寧,9875,Buy,7750新代,"3805","3805","0"
元大證券,9800,元大-土城永寧,9875,Buy,0050元大台灣50,"3668","4112","444"
元大證券,9800,元大-土城永寧,9875,Buy,6285啟碁,"3580","4242","662"
元大證券,9800,元大-土城永寧,9875,Buy,7610聯友金屬-創,"3502","3502","0"
元大證券,9800,元大-土城永寧,9875,Buy,00981A主動統一台股增長,"3042","4378","1336"
元大證券,9800,元大-土城永寧,9875,Buy,2308台達電,"2926","6705","3779"
元大證券,9800,元大-土城永寧,9875,Buy,00712復華富時不動產,"2749","2749","0"
元大證券,9800,元大-土城永寧,9875,Buy,00918大華優利高填息30,"2629","2811","182"
元大證券,9800,元大-土城永寧,9875,Buy,8464億豐,"2239","2239","0"
元大證券,9800,元大-土城永寧,9875,Buy,3006晶豪科,"2029","3228","1199"
元大證券,9800,元大-土城永寧,9875,Buy,2301光寶科,"2004","3385","1381"
元大證券,9800,元大-土城永寧,9875,Buy,00929復華台灣科技優息,"1989","2046","57"
元大證券,9800,元大-土城永寧,9875,Buy,00406A主動中信台灣收益,"1896","2244","348"
元大證券,9800,元大-土城永寧,9875,Buy,8033雷虎,"1858","1858","0"
元大證券,9800,元大-土城永寧,9875,Buy,2454聯發科,"1777","17209","15432"
元大證券,9800,元大-土城永寧,9875,Buy,1808潤隆,"1653","1655","2"
元大證券,9800,元大-土城永寧,9875,Buy,6139亞翔,"1502","1505","3"
元大證券,9800,元大-土城永寧,9875,Buy,1815富喬,"1455","3013","1558"
元大證券,9800,元大-土城永寧,9875,Buy,2351順德,"1444","1444","0"
元大證券,9800,元大-土城永寧,9875,Buy,3583辛耘,"1416","1416","0"
元大證券,9800,元大-土城永寧,9875,Buy,3037欣興,"1351","9939","8588"
元大證券,9800,元大-土城永寧,9875,Buy,3363上詮,"1350","1370","20"
元大證券,9800,元大-土城永寧,9875,Buy,3374精材,"1323","1789","466"
元大證券,9800,元大-土城永寧,9875,Buy,5289宜鼎,"1291","1291","0"
元大證券,9800,元大-土城永寧,9875,Buy,8021尖點,"1288","3015","1727"
元大證券,9800,元大-土城永寧,9875,Buy,2464盟立,"1077","3073","1996"
元大證券,9800,元大-土城永寧,9875,Buy,2072世紀風電,"1013","1268","255"
元大證券,9800,元大-土城永寧,9875,Buy,4938和碩,"973","973","0"
元大證券,9800,元大-土城永寧,9875,Buy,2486一詮,"925","925","0"
元大證券,9800,元大-土城永寧,9875,Buy,2605新興,"905","1196","291"
元大證券,9800,元大-土城永寧,9875,Buy,00999A主動野村臺灣高息,"867","867","0"
