BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-桃園,0039003800380042,Buy,2330台積電,"32702","33588","886"
元大證券,9800,元大-桃園,0039003800380042,Buy,6669緯穎,"14373","16631","2258"
元大證券,9800,元大-桃園,0039003800380042,Buy,6505台塑化,"11364","12696","1332"
元大證券,9800,元大-桃園,0039003800380042,Buy,5536聖暉*,"8395","8395","0"
元大證券,9800,元大-桃園,0039003800380042,Buy,3167大量,"7455","11568","4113"
元大證券,9800,元大-桃園,0039003800380042,Buy,3653健策,"5596","5798","202"
元大證券,9800,元大-桃園,0039003800380042,Buy,6187萬潤,"4787","4920","133"
元大證券,9800,元大-桃園,0039003800380042,Buy,2327國巨*,"4748","20858","16110"
元大證券,9800,元大-桃園,0039003800380042,Buy,00919群益台灣精選高息,"4094","6610","2516"
元大證券,9800,元大-桃園,0039003800380042,Buy,3661世芯-KY,"3816","3850","34"
元大證券,9800,元大-桃園,0039003800380042,Buy,00981A主動統一台股增長,"3667","4831","1164"
元大證券,9800,元大-桃園,0039003800380042,Buy,006208富邦台50,"2742","2748","6"
元大證券,9800,元大-桃園,0039003800380042,Buy,8227巨有科技,"2661","2741","80"
元大證券,9800,元大-桃園,0039003800380042,Buy,7610聯友金屬-創,"2602","2602","0"
元大證券,9800,元大-桃園,0039003800380042,Buy,00406A主動中信台灣收益,"2513","2625","112"
元大證券,9800,元大-桃園,0039003800380042,Buy,6291沛亨,"2399","2448","49"
元大證券,9800,元大-桃園,0039003800380042,Buy,2301光寶科,"2286","2561","275"
元大證券,9800,元大-桃園,0039003800380042,Buy,3231緯創,"2196","3844","1648"
元大證券,9800,元大-桃園,0039003800380042,Buy,6739竹陞科技,"2154","2154","0"
元大證券,9800,元大-桃園,0039003800380042,Buy,1256鮮活果汁-KY,"2052","2052","0"
元大證券,9800,元大-桃園,0039003800380042,Buy,6861睿生光電,"2035","2265","230"
元大證券,9800,元大-桃園,0039003800380042,Buy,8039台虹,"2025","8083","6058"
元大證券,9800,元大-桃園,0039003800380042,Buy,00631L元大台灣50正2,"1741","3389","1648"
元大證券,9800,元大-桃園,0039003800380042,Buy,3105穩懋,"1739","16283","14544"
元大證券,9800,元大-桃園,0039003800380042,Buy,00918大華優利高填息30,"1734","3558","1824"
元大證券,9800,元大-桃園,0039003800380042,Buy,2317鴻海,"1723","2236","513"
元大證券,9800,元大-桃園,0039003800380042,Buy,1326台化,"1574","4207","2633"
元大證券,9800,元大-桃園,0039003800380042,Buy,00929復華台灣科技優息,"1468","1583","115"
元大證券,9800,元大-桃園,0039003800380042,Buy,00953B群益優選非投等債,"1359","1359","0"
元大證券,9800,元大-桃園,0039003800380042,Buy,00991A主動復華未來50,"1329","1536","207"
元大證券,9800,元大-桃園,0039003800380042,Buy,00712復華富時不動產,"1194","1223","29"
元大證券,9800,元大-桃園,0039003800380042,Buy,4939亞電,"1163","3112","1949"
元大證券,9800,元大-桃園,0039003800380042,Buy,2467志聖,"1065","2630","1565"
元大證券,9800,元大-桃園,0039003800380042,Buy,3094聯傑,"1046","1311","265"
元大證券,9800,元大-桃園,0039003800380042,Buy,5309系統電,"1010","1010","0"
元大證券,9800,元大-桃園,0039003800380042,Buy,1605華新,"993","1066","73"
元大證券,9800,元大-桃園,0039003800380042,Buy,00961FT臺灣永續高息,"982","1008","26"
元大證券,9800,元大-桃園,0039003800380042,Buy,2313華通,"951","4932","3981"
元大證券,9800,元大-桃園,0039003800380042,Buy,8042金山電,"905","1133","228"
元大證券,9800,元大-桃園,0039003800380042,Buy,3363上詮,"891","2250","1359"
元大證券,9800,元大-桃園,0039003800380042,Buy,3036文曄,"858","858","0"
元大證券,9800,元大-桃園,0039003800380042,Buy,6239力成,"843","845","2"
元大證券,9800,元大-桃園,0039003800380042,Buy,3374精材,"814","4216","3402"
元大證券,9800,元大-桃園,0039003800380042,Buy,1815富喬,"781","6043","5262"
元大證券,9800,元大-桃園,0039003800380042,Buy,3211順達,"748","748","0"
元大證券,9800,元大-桃園,0039003800380042,Buy,6944兆聯實業,"728","728","0"
