BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-高雄,9206,Buy,3653健策,"24117","232612","208495"
凱基,9200,凱基-高雄,9206,Buy,2330台積電,"19682","21036","1354"
凱基,9200,凱基-高雄,9206,Buy,2455全新,"8917","16253","7336"
凱基,9200,凱基-高雄,9206,Buy,1815富喬,"8828","11201","2373"
凱基,9200,凱基-高雄,9206,Buy,6515穎崴,"5272","11512","6240"
凱基,9200,凱基-高雄,9206,Buy,3374精材,"4645","10154","5509"
凱基,9200,凱基-高雄,9206,Buy,00918大華優利高填息30,"3871","3939","68"
凱基,9200,凱基-高雄,9206,Buy,2301光寶科,"3790","3888","98"
凱基,9200,凱基-高雄,9206,Buy,2492華新科,"3743","5575","1832"
凱基,9200,凱基-高雄,9206,Buy,7610聯友金屬-創,"3652","3652","0"
凱基,9200,凱基-高雄,9206,Buy,3685元創精密,"3558","3558","0"
凱基,9200,凱基-高雄,9206,Buy,00685L群益臺灣加權正2,"3499","4418","919"
凱基,9200,凱基-高雄,9206,Buy,2351順德,"3232","3959","727"
凱基,9200,凱基-高雄,9206,Buy,2449京元電子,"2812","5573","2761"
凱基,9200,凱基-高雄,9206,Buy,00919群益台灣精選高息,"2790","3300","510"
凱基,9200,凱基-高雄,9206,Buy,4979華星光,"2659","3194","535"
凱基,9200,凱基-高雄,9206,Buy,8996高力,"2545","2545","0"
凱基,9200,凱基-高雄,9206,Buy,2834臺企銀,"2379","2456","77"
凱基,9200,凱基-高雄,9206,Buy,0050元大台灣50,"2339","2644","305"
凱基,9200,凱基-高雄,9206,Buy,00981A主動統一台股增長,"2296","2523","227"
凱基,9200,凱基-高雄,9206,Buy,3540曜越,"2045","2045","0"
凱基,9200,凱基-高雄,9206,Buy,3029零壹,"2032","4781","2749"
凱基,9200,凱基-高雄,9206,Buy,00631L元大台灣50正2,"1910","3799","1889"
凱基,9200,凱基-高雄,9206,Buy,8070長華*,"1748","1748","0"
凱基,9200,凱基-高雄,9206,Buy,2327國巨*,"1716","4441","2725"
凱基,9200,凱基-高雄,9206,Buy,2887台新新光金,"1517","1755","238"
凱基,9200,凱基-高雄,9206,Buy,3363上詮,"1405","2156","751"
凱基,9200,凱基-高雄,9206,Buy,6416瑞祺電通,"1335","1335","0"
凱基,9200,凱基-高雄,9206,Buy,6147頎邦,"1258","8921","7663"
凱基,9200,凱基-高雄,9206,Buy,6669緯穎,"1129","3469","2340"
凱基,9200,凱基-高雄,9206,Buy,2889國票金,"1102","1190","88"
凱基,9200,凱基-高雄,9206,Buy,2305全友,"1072","2332","1260"
凱基,9200,凱基-高雄,9206,Buy,00406A主動中信台灣收益,"1058","1157","99"
凱基,9200,凱基-高雄,9206,Buy,1303南亞,"1044","10405","9361"
凱基,9200,凱基-高雄,9206,Buy,2472立隆電,"1041","1041","0"
凱基,9200,凱基-高雄,9206,Buy,2015豐興,"958","958","0"
凱基,9200,凱基-高雄,9206,Buy,3141晶宏,"943","1500","557"
凱基,9200,凱基-高雄,9206,Buy,1717長興,"934","1006","72"
凱基,9200,凱基-高雄,9206,Buy,3441聯一光,"913","2164","1251"
凱基,9200,凱基-高雄,9206,Buy,00881國泰台灣科技龍頭,"893","992","99"
凱基,9200,凱基-高雄,9206,Buy,0052富邦科技,"868","930","62"
凱基,9200,凱基-高雄,9206,Buy,2317鴻海,"867","2355","1488"
凱基,9200,凱基-高雄,9206,Buy,3167大量,"815","4087","3272"
凱基,9200,凱基-高雄,9206,Buy,3211順達,"758","3330","2572"
凱基,9200,凱基-高雄,9206,Buy,7765中華資安,"737","737","0"
凱基,9200,凱基-高雄,9206,Buy,3105穩懋,"711","28245","27534"
凱基,9200,凱基-高雄,9206,Buy,2883凱基金,"699","976","277"
凱基,9200,凱基-高雄,9206,Buy,00712復華富時不動產,"697","738","41"
凱基,9200,凱基-高雄,9206,Buy,4576大銀微系統,"689","689","0"
凱基,9200,凱基-高雄,9206,Buy,00961FT臺灣永續高息,"676","676","0"
凱基,9200,凱基-高雄,9206,Sell,9958世紀鋼,"-86354","981","87335"
凱基,9200,凱基-高雄,9206,Sell,6274台燿,"-33168","17432","50600"
凱基,9200,凱基-高雄,9206,Sell,6830汎銓,"-26087","1081","27168"
凱基,9200,凱基-高雄,9206,Sell,2383台光電,"-24880","51623","76503"
凱基,9200,凱基-高雄,9206,Sell,2882國泰金,"-14785","23130","37915"
凱基,9200,凱基-高雄,9206,Sell,3450聯鈞,"-12453","7410","19863"
凱基,9200,凱基-高雄,9206,Sell,3260威剛,"-11257","0","11257"
凱基,9200,凱基-高雄,9206,Sell,6672騰輝電子-KY,"-7593","4190","11783"
凱基,9200,凱基-高雄,9206,Sell,2408南亞科,"-7259","11701","18960"
凱基,9200,凱基-高雄,9206,Sell,3324雙鴻,"-6930","1437","8367"
凱基,9200,凱基-高雄,9206,Sell,2308台達電,"-6914","2055","8969"
凱基,9200,凱基-高雄,9206,Sell,2454聯發科,"-6718","736","7454"
凱基,9200,凱基-高雄,9206,Sell,3008大立光,"-6105","7404","13509"
凱基,9200,凱基-高雄,9206,Sell,2344華邦電,"-5593","6201","11794"
凱基,9200,凱基-高雄,9206,Sell,5871中租-KY,"-5094","6690","11784"
凱基,9200,凱基-高雄,9206,Sell,3406玉晶光,"-4912","979","5891"
凱基,9200,凱基-高雄,9206,Sell,6770力積電,"-4448","1788","6236"
凱基,9200,凱基-高雄,9206,Sell,8299群聯,"-4423","5921","10344"
凱基,9200,凱基-高雄,9206,Sell,2481強茂,"-4367","4747","9114"
凱基,9200,凱基-高雄,9206,Sell,2360致茂,"-4180","0","4180"
凱基,9200,凱基-高雄,9206,Sell,6187萬潤,"-3705","2465","6170"
凱基,9200,凱基-高雄,9206,Sell,2379瑞昱,"-3611","715","4326"
凱基,9200,凱基-高雄,9206,Sell,6683雍智科技,"-3504","17491","20995"
凱基,9200,凱基-高雄,9206,Sell,5269祥碩,"-3269","1516","4785"
凱基,9200,凱基-高雄,9206,Sell,6271同欣電,"-2713","222","2935"
凱基,9200,凱基-高雄,9206,Sell,5314世紀*,"-2673","237","2910"
凱基,9200,凱基-高雄,9206,Sell,2393億光,"-2336","63","2399"
凱基,9200,凱基-高雄,9206,Sell,3081聯亞,"-2119","3600","5719"
凱基,9200,凱基-高雄,9206,Sell,2356英業達,"-2081","0","2081"
凱基,9200,凱基-高雄,9206,Sell,5274信驊,"-2036","0","2036"
凱基,9200,凱基-高雄,9206,Sell,7828創新服務,"-1980","0","1980"
凱基,9200,凱基-高雄,9206,Sell,2368金像電,"-1946","12889","14835"
凱基,9200,凱基-高雄,9206,Sell,3042晶技,"-1874","366","2240"
凱基,9200,凱基-高雄,9206,Sell,6173信昌電,"-1853","7714","9567"
凱基,9200,凱基-高雄,9206,Sell,4967十銓,"-1620","0","1620"
凱基,9200,凱基-高雄,9206,Sell,3481群創,"-1454","662","2116"
凱基,9200,凱基-高雄,9206,Sell,8261富鼎,"-1365","338","1703"
凱基,9200,凱基-高雄,9206,Sell,2609陽明,"-1350","727","2077"
凱基,9200,凱基-高雄,9206,Sell,2426鼎元,"-1244","2967","4211"
凱基,9200,凱基-高雄,9206,Sell,5425台半,"-1213","1897","3110"
凱基,9200,凱基-高雄,9206,Sell,2059川湖,"-1176","72","1248"
凱基,9200,凱基-高雄,9206,Sell,3532台勝科,"-1166","4987","6153"
凱基,9200,凱基-高雄,9206,Sell,6290良維,"-1070","0","1070"
凱基,9200,凱基-高雄,9206,Sell,4958臻鼎-KY,"-1016","8883","9899"
凱基,9200,凱基-高雄,9206,Sell,2412中華電,"-1013","0","1013"
凱基,9200,凱基-高雄,9206,Sell,6488環球晶,"-985","8311","9296"
凱基,9200,凱基-高雄,9206,Sell,4977眾達-KY,"-874","0","874"
凱基,9200,凱基-高雄,9206,Sell,5536聖暉*,"-849","13","862"
凱基,9200,凱基-高雄,9206,Sell,3016嘉晶,"-807","1122","1929"
凱基,9200,凱基-高雄,9206,Sell,8150南茂,"-805","480","1285"
