BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2330台積電,"30706","34730","4024"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2887台新新光金,"17803","18377","574"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,6669緯穎,"12402","14557","2155"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00918大華優利高填息30,"7143","7271","128"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,3374精材,"6093","10774","4681"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2327國巨*,"4838","14010","9172"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,8046南電,"4620","6881","2261"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00631L元大台灣50正2,"4020","5193","1173"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,1303南亞,"3721","11669","7948"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,6213聯茂,"3387","8599","5212"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00637L元大滬深300正2,"3129","3129","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,3006晶豪科,"3071","5882","2811"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,1528恩德,"2990","3714","724"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,4958臻鼎-KY,"2756","5943","3187"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2492華新科,"2499","4906","2407"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00406A主動中信台灣收益,"2438","2438","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00712復華富時不動產,"2270","2640","370"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,8112至上,"2153","2153","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2404漢唐,"2125","2125","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2317鴻海,"1924","2418","494"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,5274信驊,"1889","2033","144"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2360致茂,"1847","2122","275"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,6442光聖,"1827","1827","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00919群益台灣精選高息,"1799","2970","1171"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,8021尖點,"1628","7310","5682"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,3189景碩,"1616","11445","9829"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,6274台燿,"1542","3121","1579"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2301光寶科,"1471","2643","1172"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,3363上詮,"1379","2057","678"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00997A主動群益美國增長,"1315","1315","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2059川湖,"1291","1424","133"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2324仁寶,"1226","1375","149"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00935野村臺灣新科技50,"1190","1190","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,6706惠特,"1179","1179","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00878國泰永續高股息,"1106","1484","378"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00679B元大美債20年,"1069","1120","51"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,1815富喬,"1062","4414","3352"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,6805富世達,"1022","3072","2050"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2337旺宏,"916","2329","1413"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,6285啟碁,"915","2010","1095"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,3481群創,"909","12512","11603"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,4991環宇-KY,"895","1750","855"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00662富邦NASDAQ,"849","849","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,1301台塑,"817","817","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,8039台虹,"816","1917","1101"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,00947台新臺灣IC設計,"811","848","37"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,2351順德,"789","1284","495"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,5871中租-KY,"785","897","112"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,1560中砂,"745","745","0"
永豐金,9A00,永豐金-中壢,0039004100390039,Buy,1326台化,"730","796","66"
永豐金,9A00,永豐金-中壢,0039004100390039,Sell,6147頎邦,"-21152","4336","25488"
永豐金,9A00,永豐金-中壢,0039004100390039,Sell,3008大立光,"-19532","220","19752"
