BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-左營,0039003800390044,Buy,3661世芯-KY,"11084","11084","0"
元大證券,9800,元大-左營,0039003800390044,Buy,00918大華優利高填息30,"10757","10954","197"
元大證券,9800,元大-左營,0039003800390044,Buy,8358金居,"9903","20672","10769"
元大證券,9800,元大-左營,0039003800390044,Buy,6274台燿,"7257","13971","6714"
元大證券,9800,元大-左營,0039003800390044,Buy,4958臻鼎-KY,"7252","13507","6255"
元大證券,9800,元大-左營,0039003800390044,Buy,2383台光電,"7129","7183","54"
元大證券,9800,元大-左營,0039003800390044,Buy,2481強茂,"6633","13380","6747"
元大證券,9800,元大-左營,0039003800390044,Buy,3094聯傑,"6604","6950","346"
元大證券,9800,元大-左營,0039003800390044,Buy,3450聯鈞,"6396","10859","4463"
元大證券,9800,元大-左營,0039003800390044,Buy,00981A主動統一台股增長,"6394","6752","358"
元大證券,9800,元大-左營,0039003800390044,Buy,2408南亞科,"6294","21890","15596"
元大證券,9800,元大-左營,0039003800390044,Buy,3037欣興,"5896","20030","14134"
元大證券,9800,元大-左營,0039003800390044,Buy,6442光聖,"5347","6872","1525"
元大證券,9800,元大-左營,0039003800390044,Buy,6213聯茂,"5302","7340","2038"
元大證券,9800,元大-左營,0039003800390044,Buy,00406A主動中信台灣收益,"5053","6250","1197"
元大證券,9800,元大-左營,0039003800390044,Buy,2368金像電,"4803","15546","10743"
元大證券,9800,元大-左營,0039003800390044,Buy,3481群創,"4138","7897","3759"
元大證券,9800,元大-左營,0039003800390044,Buy,4971IET-KY,"3556","5275","1719"
元大證券,9800,元大-左營,0039003800390044,Buy,2344華邦電,"3213","17475","14262"
元大證券,9800,元大-左營,0039003800390044,Buy,3026禾伸堂,"3018","7191","4173"
元大證券,9800,元大-左營,0039003800390044,Buy,2377微星,"2901","3437","536"
元大證券,9800,元大-左營,0039003800390044,Buy,2338光罩,"2488","3753","1265"
元大證券,9800,元大-左營,0039003800390044,Buy,8110華東,"2147","2191","44"
元大證券,9800,元大-左營,0039003800390044,Buy,2369菱生,"2072","2133","61"
元大證券,9800,元大-左營,0039003800390044,Buy,6531愛普*,"2017","2933","916"
元大證券,9800,元大-左營,0039003800390044,Buy,2409友達,"1913","9047","7134"
元大證券,9800,元大-左營,0039003800390044,Buy,6173信昌電,"1907","7078","5171"
元大證券,9800,元大-左營,0039003800390044,Buy,3441聯一光,"1869","9900","8031"
元大證券,9800,元大-左營,0039003800390044,Buy,2388威盛,"1831","1831","0"
