BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐證券,7000,Buy,6446藥華藥,"524389","584820","60431"
兆豐證券,7000,兆豐證券,7000,Buy,1590亞德客-KY,"248270","249530","1260"
兆豐證券,7000,兆豐證券,7000,Buy,2368金像電,"213016","214394","1378"
兆豐證券,7000,兆豐證券,7000,Buy,3406玉晶光,"206525","206525","0"
兆豐證券,7000,兆豐證券,7000,Buy,2345智邦,"196777","251227","54450"
兆豐證券,7000,兆豐證券,7000,Buy,3037欣興,"119301","122350","3049"
兆豐證券,7000,兆豐證券,7000,Buy,2408南亞科,"103394","114062","10668"
兆豐證券,7000,兆豐證券,7000,Buy,2481強茂,"101533","102208","675"
兆豐證券,7000,兆豐證券,7000,Buy,3324雙鴻,"99470","104440","4970"
兆豐證券,7000,兆豐證券,7000,Buy,6805富世達,"88720","88720","0"
兆豐證券,7000,兆豐證券,7000,Buy,4966譜瑞-KY,"85014","85569","555"
兆豐證券,7000,兆豐證券,7000,Buy,2449京元電子,"54442","85184","30742"
兆豐證券,7000,兆豐證券,7000,Buy,3443創意,"48831","119500","70669"
兆豐證券,7000,兆豐證券,7000,Buy,2645長榮航太,"42111","42111","0"
兆豐證券,7000,兆豐證券,7000,Buy,3491昇達科,"41980","46450","4470"
兆豐證券,7000,兆豐證券,7000,Buy,2454聯發科,"37150","48697","11547"
兆豐證券,7000,兆豐證券,7000,Buy,0050元大台灣50,"34147","35906","1759"
兆豐證券,7000,兆豐證券,7000,Buy,3189景碩,"33853","34706","853"
兆豐證券,7000,兆豐證券,7000,Buy,2308台達電,"29704","45144","15440"
兆豐證券,7000,兆豐證券,7000,Buy,3665貿聯-KY,"19335","45560","26225"
兆豐證券,7000,兆豐證券,7000,Buy,3167大量,"17131","17550","419"
兆豐證券,7000,兆豐證券,7000,Buy,1717長興,"17056","17056","0"
兆豐證券,7000,兆豐證券,7000,Buy,2409友達,"16729","17161","432"
兆豐證券,7000,兆豐證券,7000,Buy,3081聯亞,"15628","80228","64600"
兆豐證券,7000,兆豐證券,7000,Buy,2542興富發,"14389","14389","0"
兆豐證券,7000,兆豐證券,7000,Buy,3017奇鋐,"12858","55711","42853"
兆豐證券,7000,兆豐證券,7000,Buy,2327國巨*,"12268","14769","2501"
兆豐證券,7000,兆豐證券,7000,Buy,2426鼎元,"12144","12544","400"
兆豐證券,7000,兆豐證券,7000,Buy,7792安葆,"11719","11719","0"
兆豐證券,7000,兆豐證券,7000,Buy,3653健策,"11266","11266","0"
兆豐證券,7000,兆豐證券,7000,Buy,1303南亞,"10794","24463","13669"
兆豐證券,7000,兆豐證券,7000,Buy,1560中砂,"10453","13841","3388"
兆豐證券,7000,兆豐證券,7000,Buy,6683雍智科技,"10371","13057","2686"
兆豐證券,7000,兆豐證券,7000,Buy,1815富喬,"9599","11001","1402"
兆豐證券,7000,兆豐證券,7000,Buy,3533嘉澤,"9587","9587","0"
兆豐證券,7000,兆豐證券,7000,Buy,3005神基,"9448","9641","193"
兆豐證券,7000,兆豐證券,7000,Buy,3264欣銓,"9214","17000","7786"
兆豐證券,7000,兆豐證券,7000,Buy,3008大立光,"8720","21857","13137"
兆豐證券,7000,兆豐證券,7000,Buy,8464億豐,"8216","8216","0"
兆豐證券,7000,兆豐證券,7000,Buy,8046南電,"7860","7893","33"
兆豐證券,7000,兆豐證券,7000,Buy,6438迅得,"7831","7831","0"
兆豐證券,7000,兆豐證券,7000,Buy,2404漢唐,"7585","36610","29025"
兆豐證券,7000,兆豐證券,7000,Buy,5269祥碩,"7450","7450","0"
兆豐證券,7000,兆豐證券,7000,Buy,2002中鋼,"7055","7095","40"
兆豐證券,7000,兆豐證券,7000,Buy,8150南茂,"6949","7794","845"
兆豐證券,7000,兆豐證券,7000,Buy,0056元大高股息,"6870","7211","341"
兆豐證券,7000,兆豐證券,7000,Buy,5536聖暉*,"6584","7005","421"
兆豐證券,7000,兆豐證券,7000,Buy,5289宜鼎,"6485","7790","1305"
兆豐證券,7000,兆豐證券,7000,Buy,6515穎崴,"6484","6484","0"
兆豐證券,7000,兆豐證券,7000,Buy,4991環宇-KY,"6023","6070","47"
兆豐證券,7000,兆豐證券,7000,Sell,2383台光電,"-1068624","170846","1239470"
兆豐證券,7000,兆豐證券,7000,Sell,2317鴻海,"-192039","23937","215976"
兆豐證券,7000,兆豐證券,7000,Sell,3034聯詠,"-110426","4985","115411"
兆豐證券,7000,兆豐證券,7000,Sell,2303聯電,"-67956","684997","752953"
兆豐證券,7000,兆豐證券,7000,Sell,5483中美晶,"-64272","2060","66332"
兆豐證券,7000,兆豐證券,7000,Sell,1727中華化,"-41833","10300","52133"
兆豐證券,7000,兆豐證券,7000,Sell,3231緯創,"-41646","5974","47620"
兆豐證券,7000,兆豐證券,7000,Sell,6239力成,"-38500","2887","41387"
兆豐證券,7000,兆豐證券,7000,Sell,8996高力,"-34281","219","34500"
兆豐證券,7000,兆豐證券,7000,Sell,6669緯穎,"-29973","10527","40500"
兆豐證券,7000,兆豐證券,7000,Sell,2330台積電,"-15386","42270","57656"
兆豐證券,7000,兆豐證券,7000,Sell,8103瀚荃,"-8908","427","9335"
兆豐證券,7000,兆豐證券,7000,Sell,9941裕融,"-8179","0","8179"
兆豐證券,7000,兆豐證券,7000,Sell,6146耕興,"-7979","0","7979"
兆豐證券,7000,兆豐證券,7000,Sell,8299群聯,"-7963","4177","12140"
兆豐證券,7000,兆豐證券,7000,Sell,2439美律,"-7785","0","7785"
兆豐證券,7000,兆豐證券,7000,Sell,6510精測,"-7646","0","7646"
兆豐證券,7000,兆豐證券,7000,Sell,00631L元大台灣50正2,"-7464","670","8134"
兆豐證券,7000,兆豐證券,7000,Sell,3450聯鈞,"-7341","1252","8593"
兆豐證券,7000,兆豐證券,7000,Sell,3026禾伸堂,"-7132","4757","11889"
兆豐證券,7000,兆豐證券,7000,Sell,3265台星科,"-6472","0","6472"
兆豐證券,7000,兆豐證券,7000,Sell,2820華票,"-6387","0","6387"
兆豐證券,7000,兆豐證券,7000,Sell,6620漢達,"-6171","1798","7969"
兆豐證券,7000,兆豐證券,7000,Sell,6223旺矽,"-5947","120","6067"
兆豐證券,7000,兆豐證券,7000,Sell,9802鈺齊-KY,"-5866","0","5866"
兆豐證券,7000,兆豐證券,7000,Sell,7744崴寶,"-5768","0","5768"
兆豐證券,7000,兆豐證券,7000,Sell,2376技嘉,"-5404","1820","7224"
兆豐證券,7000,兆豐證券,7000,Sell,4958臻鼎-KY,"-4746","4882","9628"
兆豐證券,7000,兆豐證券,7000,Sell,5314世紀*,"-4564","1655","6219"
兆豐證券,7000,兆豐證券,7000,Sell,4749新應材,"-4525","0","4525"
兆豐證券,7000,兆豐證券,7000,Sell,3293鈊象,"-4299","29","4328"
兆豐證券,7000,兆豐證券,7000,Sell,3467台灣精材,"-4115","453","4568"
兆豐證券,7000,兆豐證券,7000,Sell,3711日月光投控,"-3974","4846","8820"
兆豐證券,7000,兆豐證券,7000,Sell,3661世芯-KY,"-3971","13951","17922"
兆豐證券,7000,兆豐證券,7000,Sell,9910豐泰,"-3150","0","3150"
兆豐證券,7000,兆豐證券,7000,Sell,3023信邦,"-3110","329","3439"
兆豐證券,7000,兆豐證券,7000,Sell,7740熙特爾-創,"-3075","0","3075"
兆豐證券,7000,兆豐證券,7000,Sell,2486一詮,"-3034","464","3498"
兆豐證券,7000,兆豐證券,7000,Sell,5534長虹,"-2534","0","2534"
兆豐證券,7000,兆豐證券,7000,Sell,1229聯華,"-2507","201","2708"
兆豐證券,7000,兆豐證券,7000,Sell,3105穩懋,"-2342","5403","7745"
兆豐證券,7000,兆豐證券,7000,Sell,2363矽統,"-2167","0","2167"
兆豐證券,7000,兆豐證券,7000,Sell,2530華建,"-2060","1170","3230"
兆豐證券,7000,兆豐證券,7000,Sell,2360致茂,"-1982","4879","6861"
兆豐證券,7000,兆豐證券,7000,Sell,2851中再保,"-1911","47","1958"
兆豐證券,7000,兆豐證券,7000,Sell,2548華固,"-1658","0","1658"
兆豐證券,7000,兆豐證券,7000,Sell,6274台燿,"-1590","10939","12529"
兆豐證券,7000,兆豐證券,7000,Sell,2476鉅祥,"-1553","1109","2662"
兆豐證券,7000,兆豐證券,7000,Sell,5347世界,"-1553","686","2239"
兆豐證券,7000,兆豐證券,7000,Sell,6245立端,"-1539","0","1539"
