BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-南京,9862,Buy,7769鴻勁,"36417","39589","3172"
元大證券,9800,元大-南京,9862,Buy,6526達發,"34875","36364","1489"
元大證券,9800,元大-南京,9862,Buy,2449京元電子,"19359","29878","10519"
元大證券,9800,元大-南京,9862,Buy,6223旺矽,"17454","17454","0"
元大證券,9800,元大-南京,9862,Buy,2371大同,"16487","17117","630"
元大證券,9800,元大-南京,9862,Buy,3443創意,"14856","52040","37184"
元大證券,9800,元大-南京,9862,Buy,6805富世達,"12071","19110","7039"
元大證券,9800,元大-南京,9862,Buy,00864B中信美國公債0-1,"9664","9664","0"
元大證券,9800,元大-南京,9862,Buy,8046南電,"9389","15956","6567"
元大證券,9800,元大-南京,9862,Buy,2404漢唐,"9083","9083","0"
元大證券,9800,元大-南京,9862,Buy,2344華邦電,"7988","13690","5702"
元大證券,9800,元大-南京,9862,Buy,4958臻鼎-KY,"7942","29809","21867"
元大證券,9800,元大-南京,9862,Buy,3017奇鋐,"7538","21464","13926"
元大證券,9800,元大-南京,9862,Buy,6446藥華藥,"6251","7642","1391"
元大證券,9800,元大-南京,9862,Buy,4939亞電,"5822","5901","79"
元大證券,9800,元大-南京,9862,Buy,2383台光電,"5812","10819","5007"
元大證券,9800,元大-南京,9862,Buy,8028昇陽半導體,"5725","5725","0"
元大證券,9800,元大-南京,9862,Buy,0050元大台灣50,"5464","15506","10042"
元大證券,9800,元大-南京,9862,Buy,2317鴻海,"5292","5567","275"
元大證券,9800,元大-南京,9862,Buy,6669緯穎,"4909","10050","5141"
元大證券,9800,元大-南京,9862,Buy,3026禾伸堂,"4886","8188","3302"
元大證券,9800,元大-南京,9862,Buy,2408南亞科,"4856","16410","11554"
元大證券,9800,元大-南京,9862,Buy,3008大立光,"4591","31788","27197"
元大證券,9800,元大-南京,9862,Buy,3711日月光投控,"4289","20095","15806"
元大證券,9800,元大-南京,9862,Buy,6488環球晶,"4144","8850","4706"
元大證券,9800,元大-南京,9862,Buy,2345智邦,"3762","9440","5678"
元大證券,9800,元大-南京,9862,Buy,1815富喬,"3748","8998","5250"
元大證券,9800,元大-南京,9862,Buy,6831邁科,"3691","3691","0"
元大證券,9800,元大-南京,9862,Buy,6770力積電,"3677","9069","5392"
元大證券,9800,元大-南京,9862,Buy,2313華通,"3485","3750","265"
元大證券,9800,元大-南京,9862,Buy,2368金像電,"3070","4255","1185"
元大證券,9800,元大-南京,9862,Buy,7828創新服務,"3032","3046","14"
元大證券,9800,元大-南京,9862,Buy,2615萬海,"2974","2997","23"
元大證券,9800,元大-南京,9862,Buy,3665貿聯-KY,"2964","5004","2040"
元大證券,9800,元大-南京,9862,Buy,2455全新,"2807","6269","3462"
元大證券,9800,元大-南京,9862,Buy,6640均華,"2592","2592","0"
元大證券,9800,元大-南京,9862,Buy,3231緯創,"2400","4905","2505"
元大證券,9800,元大-南京,9862,Buy,2360致茂,"2374","2529","155"
元大證券,9800,元大-南京,9862,Buy,2351順德,"2327","2327","0"
元大證券,9800,元大-南京,9862,Buy,00406A主動中信台灣收益,"2092","3317","1225"
元大證券,9800,元大-南京,9862,Buy,3006晶豪科,"2054","3217","1163"
元大證券,9800,元大-南京,9862,Buy,2357華碩,"1991","1997","6"
元大證券,9800,元大-南京,9862,Buy,3491昇達科,"1741","2175","434"
元大證券,9800,元大-南京,9862,Buy,5483中美晶,"1725","2328","603"
元大證券,9800,元大-南京,9862,Buy,6179亞通,"1689","1996","307"
元大證券,9800,元大-南京,9862,Buy,6173信昌電,"1634","4691","3057"
元大證券,9800,元大-南京,9862,Buy,6919康霈*,"1581","1746","165"
元大證券,9800,元大-南京,9862,Buy,8110華東,"1545","1970","425"
元大證券,9800,元大-南京,9862,Buy,00919群益台灣精選高息,"1502","1955","453"
元大證券,9800,元大-南京,9862,Buy,5351鈺創,"1447","1781","334"
元大證券,9800,元大-南京,9862,Sell,2409友達,"-65719","12042","77761"
元大證券,9800,元大-南京,9862,Sell,2308台達電,"-32845","12791","45636"
元大證券,9800,元大-南京,9862,Sell,2330台積電,"-28708","15886","44594"
元大證券,9800,元大-南京,9862,Sell,3374精材,"-22270","3274","25544"
元大證券,9800,元大-南京,9862,Sell,3037欣興,"-18176","8091","26267"
元大證券,9800,元大-南京,9862,Sell,2303聯電,"-9732","14153","23885"
元大證券,9800,元大-南京,9862,Sell,6213聯茂,"-9616","4773","14389"
元大證券,9800,元大-南京,9862,Sell,6739竹陞科技,"-9028","4492","13520"
元大證券,9800,元大-南京,9862,Sell,8299群聯,"-8922","2215","11137"
元大證券,9800,元大-南京,9862,Sell,2454聯發科,"-8706","46496","55202"
元大證券,9800,元大-南京,9862,Sell,1303南亞,"-8550","4101","12651"
元大證券,9800,元大-南京,9862,Sell,7751竑騰,"-5830","0","5830"
元大證券,9800,元大-南京,9862,Sell,2887台新新光金,"-5283","458","5741"
元大證券,9800,元大-南京,9862,Sell,6274台燿,"-5216","3523","8739"
元大證券,9800,元大-南京,9862,Sell,3036文曄,"-5030","218","5248"
元大證券,9800,元大-南京,9862,Sell,3693營邦,"-4825","864","5689"
元大證券,9800,元大-南京,9862,Sell,3653健策,"-4756","1276","6032"
元大證券,9800,元大-南京,9862,Sell,8150南茂,"-4725","399","5124"
元大證券,9800,元大-南京,9862,Sell,1709和益,"-4374","41","4415"
元大證券,9800,元大-南京,9862,Sell,00403A主動統一升級50,"-4362","127","4489"
元大證券,9800,元大-南京,9862,Sell,2327國巨*,"-4061","11530","15591"
元大證券,9800,元大-南京,9862,Sell,3163波若威,"-3977","64","4041"
元大證券,9800,元大-南京,9862,Sell,4771望隼,"-3714","0","3714"
元大證券,9800,元大-南京,9862,Sell,6239力成,"-3331","2103","5434"
元大證券,9800,元大-南京,9862,Sell,3661世芯-KY,"-3308","426","3734"
元大證券,9800,元大-南京,9862,Sell,2301光寶科,"-3256","1315","4571"
元大證券,9800,元大-南京,9862,Sell,2492華新科,"-3222","2240","5462"
元大證券,9800,元大-南京,9862,Sell,00981A主動統一台股增長,"-3199","1925","5124"
元大證券,9800,元大-南京,9862,Sell,3580友威科,"-3111","100","3211"
元大證券,9800,元大-南京,9862,Sell,3707漢磊,"-3032","64","3096"
元大證券,9800,元大-南京,9862,Sell,2451創見,"-2863","15","2878"
元大證券,9800,元大-南京,9862,Sell,3680家登,"-2839","3778","6617"
元大證券,9800,元大-南京,9862,Sell,3105穩懋,"-2807","15644","18451"
元大證券,9800,元大-南京,9862,Sell,00909國泰數位支付服務,"-2637","10","2647"
元大證券,9800,元大-南京,9862,Sell,6683雍智科技,"-2466","7877","10343"
元大證券,9800,元大-南京,9862,Sell,3167大量,"-2328","2016","4344"
元大證券,9800,元大-南京,9862,Sell,3081聯亞,"-2327","1083","3410"
元大證券,9800,元大-南京,9862,Sell,2892第一金,"-2304","198","2502"
元大證券,9800,元大-南京,9862,Sell,3324雙鴻,"-2304","8490","10794"
元大證券,9800,元大-南京,9862,Sell,00679B元大美債20年,"-2284","51","2335"
元大證券,9800,元大-南京,9862,Sell,3211順達,"-2017","2071","4088"
元大證券,9800,元大-南京,9862,Sell,3380明泰,"-1924","3200","5124"
元大證券,9800,元大-南京,9862,Sell,8021尖點,"-1849","1951","3800"
元大證券,9800,元大-南京,9862,Sell,0052富邦科技,"-1822","200","2022"
元大證券,9800,元大-南京,9862,Sell,00631L元大台灣50正2,"-1800","6589","8389"
元大證券,9800,元大-南京,9862,Sell,7711永擎,"-1797","1111","2908"
元大證券,9800,元大-南京,9862,Sell,1560中砂,"-1786","1801","3587"
元大證券,9800,元大-南京,9862,Sell,6834天二科技,"-1735","913","2648"
元大證券,9800,元大-南京,9862,Sell,00685L群益臺灣加權正2,"-1562","692","2254"
元大證券,9800,元大-南京,9862,Sell,00663L國泰臺灣加權正2,"-1560","103","1663"
