BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-大安,9291,Buy,2368金像電,"12366","14457","2091"
凱基,9200,凱基-大安,9291,Buy,3653健策,"11705","11705","0"
凱基,9200,凱基-大安,9291,Buy,2887I台新新光辛特,"8102","8102","0"
凱基,9200,凱基-大安,9291,Buy,2449京元電子,"7831","9856","2025"
凱基,9200,凱基-大安,9291,Buy,3162精確,"7627","7627","0"
凱基,9200,凱基-大安,9291,Buy,2308台達電,"7224","15017","7793"
凱基,9200,凱基-大安,9291,Buy,3008大立光,"6388","6580","192"
凱基,9200,凱基-大安,9291,Buy,3105穩懋,"5853","7850","1997"
凱基,9200,凱基-大安,9291,Buy,4979華星光,"4987","6920","1933"
凱基,9200,凱基-大安,9291,Buy,6274台燿,"4358","5750","1392"
凱基,9200,凱基-大安,9291,Buy,2303聯電,"3708","51341","47633"
凱基,9200,凱基-大安,9291,Buy,2344華邦電,"3085","10801","7716"
凱基,9200,凱基-大安,9291,Buy,5871A中租-KY甲特,"2700","2700","0"
凱基,9200,凱基-大安,9291,Buy,3312弘憶股,"2689","2743","54"
凱基,9200,凱基-大安,9291,Buy,6669緯穎,"2559","2559","0"
凱基,9200,凱基-大安,9291,Buy,6683雍智科技,"2519","2519","0"
凱基,9200,凱基-大安,9291,Buy,2464盟立,"2310","2696","386"
凱基,9200,凱基-大安,9291,Buy,3450聯鈞,"2191","2191","0"
凱基,9200,凱基-大安,9291,Buy,6226光鼎,"2128","2215","87"
凱基,9200,凱基-大安,9291,Buy,6147頎邦,"2006","2740","734"
凱基,9200,凱基-大安,9291,Buy,6278台表科,"1975","3920","1945"
凱基,9200,凱基-大安,9291,Buy,3675德微,"1779","1779","0"
凱基,9200,凱基-大安,9291,Buy,6651全宇昕,"1533","1533","0"
凱基,9200,凱基-大安,9291,Buy,3231緯創,"1355","1543","188"
凱基,9200,凱基-大安,9291,Buy,3441聯一光,"1243","1243","0"
凱基,9200,凱基-大安,9291,Buy,2327國巨*,"1183","6303","5120"
凱基,9200,凱基-大安,9291,Buy,5314世紀*,"1165","1165","0"
凱基,9200,凱基-大安,9291,Buy,3406玉晶光,"1140","1140","0"
凱基,9200,凱基-大安,9291,Buy,1303南亞,"1133","4609","3476"
凱基,9200,凱基-大安,9291,Buy,8028昇陽半導體,"1073","1073","0"
凱基,9200,凱基-大安,9291,Buy,3481群創,"1055","4441","3386"
凱基,9200,凱基-大安,9291,Buy,3029零壹,"970","970","0"
凱基,9200,凱基-大安,9291,Buy,6023元大期,"961","961","0"
凱基,9200,凱基-大安,9291,Buy,6016康和證,"938","938","0"
凱基,9200,凱基-大安,9291,Buy,3022威強電,"932","932","0"
凱基,9200,凱基-大安,9291,Buy,6488環球晶,"932","932","0"
凱基,9200,凱基-大安,9291,Buy,1605華新,"929","929","0"
凱基,9200,凱基-大安,9291,Buy,3017奇鋐,"898","11203","10305"
凱基,9200,凱基-大安,9291,Buy,6223旺矽,"881","881","0"
凱基,9200,凱基-大安,9291,Buy,1736喬山,"738","738","0"
凱基,9200,凱基-大安,9291,Buy,2330台積電,"683","888","205"
凱基,9200,凱基-大安,9291,Buy,8431匯鑽科,"657","657","0"
凱基,9200,凱基-大安,9291,Buy,6933AMAX-KY,"651","651","0"
凱基,9200,凱基-大安,9291,Buy,1815富喬,"649","3567","2918"
凱基,9200,凱基-大安,9291,Buy,2408南亞科,"644","2882","2238"
凱基,9200,凱基-大安,9291,Buy,2382廣達,"612","1025","413"
凱基,9200,凱基-大安,9291,Buy,3380明泰,"607","3879","3272"
凱基,9200,凱基-大安,9291,Buy,4958臻鼎-KY,"555","1495","940"
凱基,9200,凱基-大安,9291,Buy,2313華通,"543","543","0"
凱基,9200,凱基-大安,9291,Buy,3680家登,"537","537","0"
凱基,9200,凱基-大安,9291,Sell,3443創意,"-15155","72","15227"
凱基,9200,凱基-大安,9291,Sell,2454聯發科,"-14970","10972","25942"
凱基,9200,凱基-大安,9291,Sell,3211順達,"-8168","4268","12436"
凱基,9200,凱基-大安,9291,Sell,7769鴻勁,"-5769","241","6010"
凱基,9200,凱基-大安,9291,Sell,8064東捷,"-4866","138","5004"
凱基,9200,凱基-大安,9291,Sell,1709和益,"-4315","2106","6421"
凱基,9200,凱基-大安,9291,Sell,3167大量,"-3854","1007","4861"
凱基,9200,凱基-大安,9291,Sell,2409友達,"-3404","7570","10974"
凱基,9200,凱基-大安,9291,Sell,6706惠特,"-3285","328","3613"
凱基,9200,凱基-大安,9291,Sell,8996高力,"-3141","149","3290"
