BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2408南亞科,"10019","12423","2404"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6515穎崴,"6288","6306","18"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2313華通,"3214","4989","1775"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2317鴻海,"2899","3025","126"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,3189景碩,"2547","13657","11110"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6217中探針,"2442","2789","347"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6669緯穎,"2244","2246","2"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2324仁寶,"2090","2090","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,3406玉晶光,"2060","3012","952"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,4958臻鼎-KY,"1948","4782","2834"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,5465富驊,"1761","1761","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,5386青雲,"1752","1752","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,3034聯詠,"1643","1643","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6442光聖,"1555","1555","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,8046南電,"1318","1329","11"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2891中信金,"1202","1414","212"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,8932智通*,"1130","1130","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,3592瑞鼎,"1118","1118","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,3374精材,"1097","1097","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6147頎邦,"1041","1290","249"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6531愛普*,"947","947","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,7769鴻勁,"890","890","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,5536聖暉*,"870","870","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,5314世紀*,"806","2521","1715"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,3264欣銓,"786","1698","912"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,1519華城,"718","718","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,3363上詮,"690","1353","663"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,8383千附,"678","678","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,3163波若威,"670","1342","672"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,4585達明,"601","601","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,1785光洋科,"585","585","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6770力積電,"567","1186","619"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2489瑞軒,"562","870","308"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,8028昇陽半導體,"560","573","13"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,8996高力,"548","548","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,8064東捷,"545","545","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,5243乙盛-KY,"539","539","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,1717長興,"518","805","287"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,1608華榮,"502","502","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2344華邦電,"468","3004","2536"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6285啟碁,"465","465","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,9921巨大,"454","454","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2345智邦,"444","444","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,4991環宇-KY,"441","495","54"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,00918大華優利高填息30,"439","473","34"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6919康霈*,"421","421","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,6488環球晶,"408","408","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,5481新華,"395","395","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2481強茂,"357","357","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Buy,2615萬海,"354","354","0"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,2454聯發科,"-33707","19909","53616"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,2308台達電,"-18916","1799","20715"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,2330台積電,"-14177","94","14271"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,3450聯鈞,"-9385","4328","13713"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,2327國巨*,"-9301","4513","13814"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,3665貿聯-KY,"-9123","4521","13644"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,2409友達,"-7380","2954","10334"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,3711日月光投控,"-5716","0","5716"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,8299群聯,"-5401","0","5401"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,00981A主動統一台股增長,"-4918","200","5118"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,6446藥華藥,"-4547","2413","6960"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,6239力成,"-4131","1457","5588"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,2303聯電,"-3205","8377","11582"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,1303南亞,"-3176","2633","5809"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,3481群創,"-3108","7333","10441"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,2449京元電子,"-3103","2738","5841"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,6271同欣電,"-2527","230","2757"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,6257矽格,"-2498","1003","3501"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,0050元大台灣50,"-2444","43","2487"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,2881富邦金,"-2433","0","2433"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,3693營邦,"-2119","0","2119"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,6213聯茂,"-2115","1612","3727"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,2368金像電,"-2065","0","2065"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,4904遠傳,"-1908","0","1908"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,3026禾伸堂,"-1698","819","2517"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,8039台虹,"-1570","806","2376"
台灣企銀,1110,台灣企銀-桃園,0031003100310045,Sell,7799禾榮科,"-1548","0","1548"
