BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,2317鴻海,"6281","6281","0"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,4958臻鼎-KY,"5003","9308","4305"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,2303聯電,"3911","7730","3819"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,2344華邦電,"3868","4832","964"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,3529力旺,"2830","2830","0"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,00919群益台灣精選高息,"2761","3343","582"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,6770力積電,"2752","4006","1254"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,00406A主動中信台灣收益,"2442","2481","39"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,5347世界,"2136","3263","1127"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,6147頎邦,"2071","4095","2024"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,6182合晶,"2039","4648","2609"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,5483中美晶,"1989","3383","1394"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,00930永豐ESG低碳高息,"1727","1727","0"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,3189景碩,"1535","5974","4439"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,2337旺宏,"1530","2167","637"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,7769鴻勁,"1501","1501","0"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,5314世紀*,"1350","2857","1507"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,6933AMAX-KY,"1287","1287","0"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,8046南電,"1093","3500","2407"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,6588東典光電,"1051","1165","114"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,5425台半,"1026","1583","557"
宏遠證券,1260,宏遠-光隆,0031003200360069,Buy,00918大華優利高填息30,"1002","1173","171"
