BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國票證券,7790,國票-南崁,0037003700390045,Buy,3665貿聯-KY,"32542","37159","4617"
國票證券,7790,國票-南崁,0037003700390045,Buy,2330台積電,"10008","22682","12674"
國票證券,7790,國票-南崁,0037003700390045,Buy,3231緯創,"6859","6859","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,2382廣達,"6119","10615","4496"
國票證券,7790,國票-南崁,0037003700390045,Buy,2344華邦電,"6054","7356","1302"
國票證券,7790,國票-南崁,0037003700390045,Buy,1303南亞,"4630","8576","3946"
國票證券,7790,國票-南崁,0037003700390045,Buy,2408南亞科,"4423","8594","4171"
國票證券,7790,國票-南崁,0037003700390045,Buy,3481群創,"4025","10781","6756"
國票證券,7790,國票-南崁,0037003700390045,Buy,2308台達電,"3284","19389","16105"
國票證券,7790,國票-南崁,0037003700390045,Buy,2327國巨*,"2940","20709","17769"
國票證券,7790,國票-南崁,0037003700390045,Buy,6669緯穎,"2490","8860","6370"
國票證券,7790,國票-南崁,0037003700390045,Buy,3406玉晶光,"2381","3796","1415"
國票證券,7790,國票-南崁,0037003700390045,Buy,3260威剛,"2322","2322","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,6173信昌電,"2290","7869","5579"
國票證券,7790,國票-南崁,0037003700390045,Buy,2345智邦,"2176","4101","1925"
國票證券,7790,國票-南崁,0037003700390045,Buy,00930永豐ESG低碳高息,"2038","2038","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,2357華碩,"1897","1897","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,6683雍智科技,"1647","1647","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,6223旺矽,"1631","1631","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,6488環球晶,"1568","4883","3315"
國票證券,7790,國票-南崁,0037003700390045,Buy,4979華星光,"1548","10774","9226"
國票證券,7790,國票-南崁,0037003700390045,Buy,2383台光電,"1320","1320","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,5289宜鼎,"1294","1320","26"
國票證券,7790,國票-南崁,0037003700390045,Buy,6207雷科,"1293","1753","460"
國票證券,7790,國票-南崁,0037003700390045,Buy,1590亞德客-KY,"1265","1265","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,2368金像電,"1221","7531","6310"
國票證券,7790,國票-南崁,0037003700390045,Buy,6187萬潤,"1220","1220","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,3006晶豪科,"1176","1176","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,3450聯鈞,"1175","3872","2697"
國票證券,7790,國票-南崁,0037003700390045,Buy,6271同欣電,"1168","1168","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,6515穎崴,"1159","1159","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,6446藥華藥,"1155","4659","3504"
國票證券,7790,國票-南崁,0037003700390045,Buy,2399映泰,"1025","1121","96"
國票證券,7790,國票-南崁,0037003700390045,Buy,1301台塑,"972","1037","65"
國票證券,7790,國票-南崁,0037003700390045,Buy,1326台化,"959","959","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,2313華通,"938","16823","15885"
國票證券,7790,國票-南崁,0037003700390045,Buy,2324仁寶,"937","1234","297"
國票證券,7790,國票-南崁,0037003700390045,Buy,00919群益台灣精選高息,"896","912","16"
國票證券,7790,國票-南崁,0037003700390045,Buy,00927群益半導體收益,"814","814","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,6861睿生光電,"802","802","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,4960誠美材,"713","713","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,2426鼎元,"694","897","203"
國票證券,7790,國票-南崁,0037003700390045,Buy,1504東元,"691","691","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,4991環宇-KY,"661","661","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,2337旺宏,"655","897","242"
國票證券,7790,國票-南崁,0037003700390045,Buy,6706惠特,"641","641","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,1569濱川,"630","1275","645"
國票證券,7790,國票-南崁,0037003700390045,Buy,5351鈺創,"611","655","44"
國票證券,7790,國票-南崁,0037003700390045,Buy,1595川寶,"582","582","0"
國票證券,7790,國票-南崁,0037003700390045,Buy,2464盟立,"575","1566","991"
國票證券,7790,國票-南崁,0037003700390045,Sell,3189景碩,"-34653","1807","36460"
國票證券,7790,國票-南崁,0037003700390045,Sell,2454聯發科,"-15636","899","16535"
國票證券,7790,國票-南崁,0037003700390045,Sell,3037欣興,"-11927","11100","23027"
國票證券,7790,國票-南崁,0037003700390045,Sell,6274台燿,"-8745","4284","13029"
國票證券,7790,國票-南崁,0037003700390045,Sell,8046南電,"-6588","5785","12373"
國票證券,7790,國票-南崁,0037003700390045,Sell,3026禾伸堂,"-6442","3409","9851"
